,Belarus
0,0.047851562
1,0.041748047
2,0.19140625
3,0.33398438
4,-0.07763672
5,0.06347656
6,0.22265625
7,-0.20703125
8,-0.27148438
9,-0.15527344
10,-0.12695312
11,0.03540039
12,-0.071777344
13,0.119628906
14,0.01586914
15,0.018310547
16,-0.107421875
17,0.13085938
18,0.068847656
19,-0.16503906
20,0.38476562
21,-0.10986328
22,-0.010192871
23,-0.13183594
24,0.14746094
25,0.025268555
26,-0.26953125
27,-0.19433594
28,-0.07470703
29,0.37109375
30,-0.39648438
31,-0.18164062
32,-0.017211914
33,-0.17382812
34,0.0859375
35,0.024047852
36,-0.49804688
37,0.15136719
38,0.11621094
39,-0.061767578
40,0.03515625
41,-0.025878906
42,0.453125
43,-0.1171875
44,-0.046142578
45,0.0859375
46,-0.027954102
47,-0.06591797
48,-0.15820312
49,0.15429688
50,-0.17480469
51,0.11669922
52,-0.057128906
53,0.109375
54,-0.1171875
55,-0.16015625
56,-0.46289062
57,0.122558594
58,-0.26953125
59,-0.087890625
60,0.23828125
61,-0.1875
62,0.27539062
63,0.01550293
64,0.061523438
65,-0.35546875
66,0.19628906
67,-0.096191406
68,0.030639648
69,0.107910156
70,-0.17382812
71,-0.07373047
72,-0.06738281
73,-0.234375
74,-0.29492188
75,-0.19335938
76,0.18554688
77,0.13183594
78,0.028320312
79,0.20898438
80,-0.25976562
81,-0.13183594
82,0.17578125
83,0.06542969
84,0.19628906
85,-0.19140625
86,-0.13671875
87,-0.123535156
88,0.12988281
89,0.359375
90,0.17285156
91,-0.11328125
92,-0.3515625
93,0.14453125
94,-0.25195312
95,-0.33398438
96,-0.20117188
97,0.09277344
98,-0.08496094
99,-0.123535156
100,-0.19433594
101,0.27929688
102,-0.23925781
103,-0.103027344
104,-0.012390137
105,-0.012390137
106,0.32617188
107,0.057373047
108,-0.3359375
109,-0.03515625
110,0.034423828
111,0.07763672
112,-0.17675781
113,-0.057861328
114,-0.29296875
115,-0.05908203
116,-0.04296875
117,0.16015625
118,0.37890625
119,0.22851562
120,-0.16113281
121,-0.017700195
122,-0.04248047
123,-0.024780273
124,0.060546875
125,0.18261719
126,0.044433594
127,0.24023438
128,-0.60546875
129,-0.080566406
130,-0.072753906
131,0.38085938
132,-0.031982422
133,-0.11230469
134,-0.20898438
135,-0.10888672
136,-0.19921875
137,0.016845703
138,-0.16015625
139,-0.022949219
140,0.20507812
141,-0.064453125
142,0.084472656
143,0.25976562
144,0.025756836
145,0.06591797
146,0.04272461
147,0.16210938
148,-0.5546875
149,0.22167969
150,0.4921875
151,-0.1015625
152,0.059814453
153,-0.10888672
154,0.52734375
155,0.16601562
156,-0.16796875
157,0.13671875
158,0.234375
159,0.1953125
160,-0.33203125
161,0.390625
162,-0.005645752
163,-0.080566406
164,0.38476562
165,-0.13183594
166,-0.06689453
167,0.23339844
168,0.04736328
169,0.28125
170,-0.20410156
171,0.036132812
172,-0.015991211
173,0.29882812
174,0.0095825195
175,-0.25585938
176,-0.047607422
177,-0.45507812
178,-0.26953125
179,-0.27539062
180,0.19628906
181,-0.049560547
182,-0.028442383
183,0.12597656
184,0.14355469
185,0.007507324
186,0.038085938
187,0.05517578
188,0.08691406
189,-0.08203125
190,-0.07470703
191,-0.05078125
192,0.0546875
193,-0.087890625
194,0.051757812
195,-0.125
196,-0.22851562
197,-0.14257812
198,-0.17285156
199,-0.15039062
200,0.110839844
201,0.11669922
202,0.030517578
203,-0.07910156
204,-0.18261719
205,-0.10839844
206,0.032714844
207,0.07910156
208,-0.37695312
209,-0.23535156
210,-0.06591797
211,-0.109375
212,-0.0703125
213,0.26953125
214,-0.16503906
215,-0.17285156
216,0.03173828
217,0.14746094
218,0.048339844
219,-0.29882812
220,-0.24316406
221,-0.07910156
222,0.25585938
223,-0.15332031
224,0.016845703
225,-0.012084961
226,0.09033203
227,0.01550293
228,0.4375
229,-0.12597656
230,0.04248047
231,0.296875
232,0.33398438
233,0.061523438
234,-0.11279297
235,0.30078125
236,-0.22753906
237,-0.111816406
238,0.036132812
239,-0.10986328
240,0.19335938
241,-0.013305664
242,-0.11425781
243,-0.11279297
244,0.08984375
245,0.023803711
246,-0.16601562
247,0.037841797
248,-0.15136719
249,-0.28125
250,0.17578125
251,0.19238281
252,0.29882812
253,0.28320312
254,-0.036621094
255,0.35351562
256,0.296875
257,-0.05419922
258,0.23828125
259,-0.080566406
260,0.0859375
261,0.265625
262,0.12988281
263,0.25195312
264,0.73046875
265,-0.012573242
266,-0.33398438
267,-0.08496094
268,-0.09277344
269,0.06689453
270,0.021484375
271,0.14160156
272,0.08105469
273,-0.16992188
274,0.11376953
275,0.14160156
276,0.25
277,0.096191406
278,-0.07128906
279,0.19335938
280,0.08984375
281,0.23925781
282,0.16015625
283,0.16113281
284,-0.21386719
285,-0.13671875
286,-0.2734375
287,0.24511719
288,0.21191406
289,0.17480469
290,-0.08154297
291,0.022949219
292,-0.104003906
293,-0.088378906
294,0.1953125
295,0.16210938
296,-0.12451172
297,0.03540039
298,0.13085938
299,0.083984375
