,Bhutan
0,-0.057128906
1,-0.026977539
2,0.103027344
3,0.23828125
4,-0.016479492
5,-0.26171875
6,0.10595703
7,-0.20019531
8,-0.16210938
9,-0.016601562
10,-0.0107421875
11,-0.29101562
12,0.16503906
13,-0.030151367
14,-0.023925781
15,-0.21679688
16,-0.09423828
17,0.14160156
18,-0.10888672
19,0.12792969
20,-0.020996094
21,-0.3671875
22,0.041748047
23,0.0703125
24,-0.061767578
25,-0.111816406
26,-0.28125
27,-0.03515625
28,0.08886719
29,-0.01928711
30,-0.20703125
31,-0.38867188
32,-0.26757812
33,-0.042236328
34,-0.25390625
35,-0.11279297
36,-0.17480469
37,-0.41015625
38,0.31640625
39,-0.24414062
40,-0.18457031
41,0.071777344
42,-0.10595703
43,0.3359375
44,0.21875
45,-0.103027344
46,-0.4296875
47,0.140625
48,0.23632812
49,0.078125
50,-0.16699219
51,-0.35351562
52,0.20507812
53,-0.1171875
54,-0.32421875
55,-0.106933594
56,-0.12988281
57,-0.015319824
58,-0.036621094
59,-0.41015625
60,0.13769531
61,-0.03881836
62,0.19726562
63,0.13964844
64,0.2734375
65,-0.22363281
66,0.25
67,0.08886719
68,-0.063964844
69,0.20117188
70,-0.27539062
71,-0.080078125
72,-0.032470703
73,-0.17675781
74,0.111816406
75,-0.5234375
76,0.14648438
77,-0.010375977
78,0.23730469
79,0.23046875
80,-0.05444336
81,-0.30859375
82,-0.08642578
83,-0.03125
84,-0.068847656
85,-0.13574219
86,0.057373047
87,-0.13964844
88,0.2578125
89,0.055664062
90,0.17871094
91,-0.05493164
92,-0.31835938
93,0.044677734
94,-0.31640625
95,0.041015625
96,0.15625
97,-0.28125
98,0.22265625
99,-0.11328125
100,-0.14941406
101,0.13574219
102,0.034179688
103,0.16308594
104,0.265625
105,0.12109375
106,-0.16113281
107,-0.057617188
108,0.30664062
109,-0.095703125
110,-0.12597656
111,0.25390625
112,-0.13867188
113,-0.33007812
114,0.28515625
115,0.05053711
116,0.17480469
117,-0.079589844
118,0.34570312
119,0.018066406
120,0.006072998
121,0.19433594
122,-0.30273438
123,0.095703125
124,-0.33203125
125,0.55859375
126,0.032226562
127,0.20214844
128,-0.31640625
129,0.24316406
130,-0.09863281
131,0.38085938
132,0.079589844
133,0.1640625
134,-0.125
135,-0.01965332
136,-0.36914062
137,0.010559082
138,-0.21972656
139,0.28125
140,0.12011719
141,-0.20019531
142,0.06591797
143,-0.06347656
144,-0.13183594
145,-0.14257812
146,-0.0703125
147,-0.16113281
148,-0.14160156
149,0.27734375
150,0.13769531
151,-0.18945312
152,0.18945312
153,-0.122558594
154,0.22851562
155,-0.49414062
156,-0.37109375
157,-0.018432617
158,0.25390625
159,0.33984375
160,-0.55859375
161,-0.13085938
162,-0.13574219
163,-0.09277344
164,0.100097656
165,-0.23144531
166,0.05419922
167,-0.16894531
168,-0.061035156
169,0.096191406
170,-0.056884766
171,0.26171875
172,0.21875
173,0.23046875
174,0.16699219
175,0.076660156
176,0.31445312
177,0.049072266
178,-0.15625
179,-0.39453125
180,-0.12890625
181,-0.09667969
182,0.039794922
183,0.053222656
184,0.0126953125
185,0.099609375
186,0.19726562
187,0.078125
188,0.2578125
189,0.359375
190,-0.30664062
191,-0.25390625
192,-0.36132812
193,-0.0030670166
194,0.28710938
195,0.11425781
196,0.049560547
197,-0.035888672
198,-0.052001953
199,-0.2421875
200,0.19921875
201,-0.02722168
202,0.33203125
203,0.100097656
204,0.084472656
205,0.049560547
206,-0.17480469
207,-0.40625
208,-0.1328125
209,0.041015625
210,-0.03491211
211,-0.114746094
212,0.038085938
213,-0.421875
214,-0.115234375
215,0.20507812
216,0.03125
217,0.2734375
218,-0.11035156
219,-0.13085938
220,0.13671875
221,-0.19921875
222,-0.19433594
223,0.092285156
224,-0.092285156
225,0.015136719
226,0.1015625
227,0.22167969
228,0.27148438
229,0.09033203
230,-0.28710938
231,0.2109375
232,0.2421875
233,0.13085938
234,0.18261719
235,0.41210938
236,-0.14257812
237,-0.035888672
238,0.13769531
239,-0.01586914
240,0.203125
241,-0.16015625
242,0.19335938
243,0.10546875
244,0.0003604889
245,-0.024414062
246,-0.29296875
247,-0.23828125
248,0.03125
249,-0.15625
250,-0.080078125
251,0.048828125
252,0.18945312
253,0.14355469
254,-0.008483887
255,0.1796875
256,-0.0011062622
257,-0.091308594
258,-0.20019531
259,-0.123046875
260,-0.0051574707
261,0.45898438
262,0.28515625
263,0.15722656
264,-0.091308594
265,0.16894531
266,-0.34179688
267,-0.061523438
268,0.2890625
269,0.19628906
270,0.12988281
271,0.10205078
272,0.042236328
273,0.14355469
274,0.16796875
275,-0.14746094
276,-0.045898438
277,-0.20019531
278,-0.2734375
279,0.119628906
280,0.22753906
281,-0.25976562
282,0.13574219
283,-0.01977539
284,0.25390625
285,-0.27539062
286,-0.008117676
287,-0.12792969
288,-0.110839844
289,0.17285156
290,-0.20117188
291,-0.03955078
292,-0.06738281
293,-0.22363281
294,-0.20019531
295,-0.05419922
296,-0.29492188
297,0.33398438
298,0.2421875
299,0.36132812
