,Bolivia
0,-0.024536133
1,-0.25195312
2,0.17578125
3,0.35351562
4,-0.017333984
5,-0.21582031
6,-0.04272461
7,-0.2890625
8,-0.33789062
9,-0.08886719
10,-0.037109375
11,-0.05810547
12,-0.06689453
13,0.20996094
14,0.18164062
15,0.063964844
16,-0.007873535
17,0.26953125
18,0.25195312
19,0.107910156
20,0.14550781
21,-0.37109375
22,0.060302734
23,0.12890625
24,0.09716797
25,0.096191406
26,-0.32421875
27,-0.18554688
28,-0.08154297
29,0.15332031
30,0.106933594
31,0.008422852
32,-0.18359375
33,-0.12402344
34,-0.013671875
35,0.072265625
36,-0.13867188
37,-0.18847656
38,0.118652344
39,0.031982422
40,0.27929688
41,0.265625
42,0.21875
43,0.2890625
44,0.11816406
45,0.18847656
46,-0.11376953
47,-0.14550781
48,-0.024169922
49,0.2890625
50,-0.49804688
51,-0.33398438
52,-0.12890625
53,-0.18457031
54,-0.19238281
55,0.010009766
56,-0.43945312
57,-0.096191406
58,-0.15332031
59,0.09033203
60,0.032714844
61,0.10449219
62,0.034423828
63,0.16601562
64,0.12988281
65,-0.06347656
66,0.05419922
67,-0.3671875
68,-0.109375
69,-0.12158203
70,-0.27929688
71,0.034423828
72,-0.06738281
73,-0.15722656
74,-0.095214844
75,-0.13964844
76,0.17089844
77,0.09423828
78,0.0053710938
79,0.19628906
80,0.06542969
81,0.06347656
82,-0.21972656
83,-0.15039062
84,-0.17578125
85,-0.48632812
86,-0.007751465
87,0.037109375
88,-0.032226562
89,0.09033203
90,0.06201172
91,-0.09667969
92,-0.31640625
93,0.040527344
94,-0.25585938
95,-0.18359375
96,-0.13574219
97,-0.29101562
98,0.29492188
99,0.109375
100,-0.12792969
101,0.16015625
102,-0.033935547
103,-0.26757812
104,0.21582031
105,0.020263672
106,0.140625
107,-0.30664062
108,-0.22460938
109,0.107910156
110,-0.03515625
111,0.0066833496
112,0.006652832
113,-0.31835938
114,-0.014892578
115,0.18164062
116,-0.03955078
117,-0.08105469
118,0.21484375
119,0.096191406
120,-0.06591797
121,-0.37109375
122,-0.29492188
123,-0.08203125
124,0.018310547
125,0.18847656
126,-0.100097656
127,0.095703125
128,-0.38867188
129,0.092285156
130,-0.35546875
131,0.23242188
132,0.05102539
133,0.0037994385
134,0.068359375
135,-0.05102539
136,-0.43359375
137,-0.26953125
138,-0.12792969
139,0.14941406
140,-0.075683594
141,-0.41796875
142,-0.1484375
143,0.068359375
144,0.21582031
145,-0.0234375
146,0.0030670166
147,0.016479492
148,-0.002090454
149,-0.05078125
150,0.62890625
151,-0.41210938
152,-0.111816406
153,0.10595703
154,0.17382812
155,-0.01977539
156,-0.49609375
157,0.27539062
158,0.0023040771
159,0.15625
160,-0.043945312
161,0.15332031
162,-0.018066406
163,0.001335144
164,0.13085938
165,-0.07763672
166,-0.02355957
167,0.06738281
168,0.18945312
169,0.0043640137
170,-0.43554688
171,0.16796875
172,0.23339844
173,-0.059814453
174,0.11816406
175,-0.24414062
176,0.018310547
177,-0.32226562
178,-0.23535156
179,0.12109375
180,-0.32421875
181,0.049316406
182,-0.30078125
183,-0.0076293945
184,0.088378906
185,0.017333984
186,0.088378906
187,0.14746094
188,0.044677734
189,0.10644531
190,-0.27148438
191,0.033935547
192,0.0064697266
193,-0.20996094
194,-0.19824219
195,0.11230469
196,-0.0019073486
197,-0.008544922
198,-0.18847656
199,-0.111816406
200,0.13671875
201,-0.123535156
202,-0.03112793
203,0.011169434
204,-0.026611328
205,0.07373047
206,0.09277344
207,-0.106933594
208,-0.40429688
209,-0.19335938
210,0.057373047
211,0.10449219
212,-0.006958008
213,-0.16992188
214,-0.095703125
215,0.0546875
216,-0.037841797
217,0.12695312
218,-0.09765625
219,-0.36523438
220,-0.083496094
221,0.03857422
222,-0.19335938
223,0.048583984
224,-0.15234375
225,-0.059570312
226,0.19824219
227,0.28125
228,0.421875
229,0.3203125
230,0.026611328
231,0.19628906
232,-0.07763672
233,0.057373047
234,0.011962891
235,0.41015625
236,-0.04248047
237,0.015258789
238,0.091796875
239,-0.11816406
240,0.04296875
241,-0.10888672
242,0.01586914
243,0.20996094
244,-0.033447266
245,0.05102539
246,-0.17089844
247,-0.2578125
248,-0.033203125
249,0.115722656
250,-0.119140625
251,-0.10888672
252,0.140625
253,0.0390625
254,0.22265625
255,-0.01586914
256,0.33007812
257,0.084472656
258,0.14550781
259,0.04711914
260,0.078125
261,0.17285156
262,0.20410156
263,0.30859375
264,0.15527344
265,-0.12060547
266,-0.140625
267,0.037597656
268,0.044189453
269,-0.10058594
270,-0.45703125
271,0.14746094
272,0.10595703
273,-0.1484375
274,-0.15039062
275,0.15722656
276,-0.18261719
277,-0.09375
278,-0.06982422
279,0.044189453
280,0.34570312
281,-0.22265625
282,0.02355957
283,0.21289062
284,-0.14453125
285,-0.10888672
286,-0.1328125
287,0.10546875
288,0.23925781
289,-0.053222656
290,-0.08984375
291,-0.27734375
292,-0.24121094
293,-0.009338379
294,0.25976562
295,0.24804688
296,0.09863281
297,0.061767578
298,0.2265625
299,0.007537842
