,Botswana
0,-0.07470703
1,0.037109375
2,-0.107910156
3,-0.12402344
4,-0.19335938
5,-0.15722656
6,0.0073547363
7,-0.140625
8,-0.28515625
9,-0.34960938
10,0.21582031
11,0.07763672
12,0.076171875
13,0.21386719
14,0.26171875
15,0.16308594
16,-0.088378906
17,0.15625
18,-0.096191406
19,0.041503906
20,0.29296875
21,-0.29492188
22,0.06982422
23,-0.0010681152
24,0.15917969
25,0.3125
26,-0.041015625
27,-0.23046875
28,-0.028076172
29,0.13183594
30,-0.13867188
31,-0.57421875
32,-0.10986328
33,-0.27734375
34,0.03491211
35,0.13964844
36,-0.40039062
37,0.12158203
38,0.23339844
39,-0.27734375
40,-0.055664062
41,-0.24511719
42,0.07128906
43,0.3046875
44,-0.20117188
45,0.27148438
46,-0.25390625
47,-0.099609375
48,0.16210938
49,-0.044433594
50,-0.20117188
51,-0.5390625
52,0.056152344
53,-0.13769531
54,0.012023926
55,0.1171875
56,-0.49414062
57,-0.0049743652
58,-0.109375
59,-0.118652344
60,0.111328125
61,-0.2890625
62,0.23046875
63,0.08935547
64,-0.072265625
65,-0.14355469
66,0.17871094
67,-0.3125
68,0.11669922
69,-0.05053711
70,-0.375
71,-0.26367188
72,0.125
73,0.21777344
74,0.045898438
75,-0.21484375
76,0.18359375
77,0.12792969
78,0.0035552979
79,0.29492188
80,-0.075683594
81,-0.15527344
82,-0.23925781
83,-0.023071289
84,-0.25195312
85,-0.016601562
86,-0.125
87,-0.04272461
88,-0.0015945435
89,-0.04736328
90,-0.026245117
91,0.083984375
92,-0.20898438
93,0.05029297
94,-0.024780273
95,0.028442383
96,0.41210938
97,0.021484375
98,0.23730469
99,-0.051513672
100,0.26171875
101,0.12451172
102,0.118652344
103,-0.18652344
104,-0.15820312
105,0.012756348
106,0.23242188
107,-0.075683594
108,-0.017089844
109,0.038330078
110,-0.017700195
111,0.140625
112,-0.029174805
113,0.21191406
114,0.18359375
115,0.115722656
116,0.17871094
117,-0.3203125
118,0.28710938
119,-0.12988281
120,-0.21972656
121,-0.052246094
122,-0.34570312
123,0.022949219
124,-0.234375
125,0.2890625
126,-0.15917969
127,-0.05078125
128,-0.29296875
129,-0.052734375
130,0.072265625
131,0.05053711
132,-0.11621094
133,0.0015487671
134,-0.359375
135,-0.026733398
136,-0.2421875
137,0.057128906
138,0.007385254
139,0.18066406
140,0.099609375
141,-0.123535156
142,0.17578125
143,0.13574219
144,-0.14746094
145,0.3359375
146,-0.03173828
147,-0.048095703
148,0.18945312
149,0.03173828
150,0.09863281
151,-0.15625
152,-0.10058594
153,0.076171875
154,0.29492188
155,-0.15136719
156,-0.33007812
157,0.1796875
158,0.020263672
159,0.024047852
160,-0.37890625
161,0.2265625
162,0.009338379
163,0.050048828
164,-0.053955078
165,-0.11425781
166,0.045898438
167,-0.12695312
168,-0.060791016
169,0.14746094
170,-0.011352539
171,0.2265625
172,0.038085938
173,0.17871094
174,-0.16113281
175,-0.23339844
176,0.38671875
177,-0.5390625
178,0.1796875
179,-0.2734375
180,-0.07910156
181,-0.022338867
182,-0.13867188
183,-0.13769531
184,-0.16308594
185,-0.08642578
186,0.140625
187,-0.25585938
188,-0.11328125
189,0.296875
190,-0.25
191,-0.24511719
192,-0.30273438
193,0.16113281
194,-0.13085938
195,0.34960938
196,0.09277344
197,-0.1015625
198,-0.063964844
199,-0.26171875
200,0.20703125
201,-0.21484375
202,0.111816406
203,-0.015197754
204,-0.2734375
205,0.125
206,-0.064453125
207,-0.19921875
208,-0.359375
209,0.024291992
210,-0.07910156
211,-0.19726562
212,-0.013427734
213,0.18652344
214,-0.017456055
215,0.005432129
216,0.15820312
217,0.047607422
218,0.079589844
219,0.14355469
220,-0.14746094
221,-0.015563965
222,-0.203125
223,0.26953125
224,0.17285156
225,0.1796875
226,0.12109375
227,-0.009643555
228,0.40234375
229,0.004058838
230,-0.084472656
231,0.015991211
232,0.029296875
233,0.13769531
234,0.15429688
235,0.375
236,-0.100097656
237,0.19726562
238,-0.11279297
239,0.04736328
240,0.068847656
241,-0.41210938
242,0.010681152
243,-0.061035156
244,0.0859375
245,-0.104003906
246,-0.23339844
247,-0.15625
248,-0.09082031
249,-0.03955078
250,0.21386719
251,0.56640625
252,0.27148438
253,0.056884766
254,0.19921875
255,0.119628906
256,0.024902344
257,0.15039062
258,-0.01550293
259,-0.06640625
260,0.07714844
261,0.05883789
262,0.25195312
263,0.47851562
264,0.14648438
265,-0.061523438
266,-0.4140625
267,0.10058594
268,-0.092285156
269,0.25195312
270,0.049804688
271,0.19824219
272,-0.060546875
273,0.07421875
274,0.1875
275,-0.17675781
276,0.15429688
277,0.007385254
278,0.14355469
279,0.01965332
280,0.15625
281,-0.41796875
282,0.2109375
283,-0.33203125
284,-0.11621094
285,-0.16210938
286,0.048339844
287,-0.030151367
288,0.032714844
289,-0.0107421875
290,-0.10986328
291,0.13183594
292,-0.4296875
293,-0.12109375
294,-0.23046875
295,0.265625
296,-0.17675781
297,-0.04296875
298,-0.068359375
299,-0.06298828
