,Brazil
0,-0.034423828
1,0.05102539
2,0.1328125
3,0.010009766
4,-0.017089844
5,-0.1953125
6,-0.16210938
7,-0.328125
8,-0.09814453
9,-0.08935547
10,0.13183594
11,-0.08642578
12,0.13671875
13,-0.07373047
14,0.07910156
15,0.123046875
16,0.111328125
17,0.16308594
18,0.15625
19,0.03564453
20,0.171875
21,-0.14648438
22,0.057861328
23,0.12988281
24,0.083984375
25,0.03149414
26,-0.16308594
27,-0.18554688
28,-0.23339844
29,0.28710938
30,-0.013427734
31,-0.030517578
32,-0.35351562
33,-0.13769531
34,0.060058594
35,-0.106933594
36,-0.21191406
37,-0.17675781
38,0.10595703
39,0.18164062
40,0.1875
41,0.14355469
42,0.036132812
43,0.37109375
44,-0.012084961
45,0.032714844
46,-0.020263672
47,-7.677078e-05
48,0.037353516
49,0.11328125
50,-0.08203125
51,0.0703125
52,-0.106933594
53,-0.16992188
54,0.084472656
55,0.39648438
56,-0.34375
57,-0.08886719
58,0.042236328
59,-0.060546875
60,-0.09765625
61,-0.004272461
62,-0.08642578
63,-0.028808594
64,0.046875
65,-0.014038086
66,0.078125
67,-0.35351562
68,0.071777344
69,-0.1796875
70,-0.28710938
71,0.016113281
72,-0.01361084
73,0.18457031
74,-0.015991211
75,0.14941406
76,0.17578125
77,-0.057861328
78,-0.04321289
79,0.29101562
80,-0.20898438
81,0.0063171387
82,-0.03149414
83,-0.17871094
84,0.12597656
85,-0.15917969
86,0.08642578
87,0.036865234
88,0.15917969
89,0.11425781
90,0.18066406
91,0.11621094
92,-0.47851562
93,0.140625
94,-0.23339844
95,-0.21289062
96,-0.076171875
97,-0.14550781
98,0.27734375
99,0.12695312
100,-0.04272461
101,-0.16992188
102,0.02331543
103,0.2265625
104,0.015625
105,0.0859375
106,0.13085938
107,-0.49804688
108,-0.20214844
109,0.10058594
110,0.014831543
111,-0.048828125
112,-0.006286621
113,-0.17089844
114,-0.06933594
115,0.20507812
116,-0.099609375
117,-0.033935547
118,0.20410156
119,0.08105469
120,0.08251953
121,-0.33984375
122,-0.24609375
123,0.04638672
124,-0.15820312
125,0.060302734
126,0.14160156
127,-0.057861328
128,-0.41796875
129,0.04663086
130,-0.13867188
131,-0.064453125
132,0.05102539
133,-0.41796875
134,0.024169922
135,-0.083496094
136,-0.27539062
137,-0.010314941
138,0.087890625
139,-0.048339844
140,0.25390625
141,-0.265625
142,0.21289062
143,0.020019531
144,0.14648438
145,0.14648438
146,0.08642578
147,0.13378906
148,-0.037109375
149,-0.20019531
150,0.24707031
151,-0.22167969
152,0.1171875
153,0.14550781
154,0.10498047
155,-0.11621094
156,-0.49023438
157,0.1640625
158,0.091308594
159,0.04321289
160,0.14355469
161,0.02709961
162,0.12402344
163,0.08935547
164,0.27734375
165,0.0014266968
166,-0.18554688
167,0.056884766
168,0.018920898
169,0.04296875
170,-0.27929688
171,0.296875
172,0.13085938
173,-0.063964844
174,-0.0073547363
175,-0.28515625
176,0.08251953
177,-0.18359375
178,-0.2578125
179,0.068359375
180,0.025756836
181,-0.16699219
182,-0.09863281
183,-0.060791016
184,0.25976562
185,-0.0032348633
186,0.26171875
187,0.013000488
188,0.040283203
189,0.17089844
190,-0.009338379
191,-0.1015625
192,-0.055419922
193,-0.35742188
194,0.04711914
195,0.33007812
196,0.10986328
197,-0.20898438
198,-0.3125
199,-0.49023438
200,0.076660156
201,-0.009155273
202,-0.21972656
203,-0.11376953
204,-0.109375
205,0.07080078
206,-0.08691406
207,-0.21191406
208,-0.37304688
209,-0.0025787354
210,-0.12597656
211,0.103515625
212,0.05029297
213,0.15429688
214,-0.23730469
215,-0.028564453
216,0.06542969
217,-0.08154297
218,-0.19042969
219,-0.09375
220,-0.390625
221,0.06542969
222,-0.2890625
223,0.09423828
224,-0.14941406
225,-0.08984375
226,0.16992188
227,0.08935547
228,0.20800781
229,0.07861328
230,-0.19726562
231,-0.060058594
232,0.07470703
233,0.11621094
234,0.13378906
235,-0.06298828
236,-0.17871094
237,-0.001121521
238,-0.12597656
239,-0.032226562
240,0.047851562
241,-0.28320312
242,-0.13183594
243,0.05493164
244,-0.13867188
245,0.0037841797
246,-0.036376953
247,-0.21582031
248,0.01574707
249,-0.007751465
250,0.1015625
251,0.10986328
252,0.08642578
253,-0.025878906
254,0.2265625
255,-0.036132812
256,0.09375
257,-0.083984375
258,-0.005065918
259,0.055419922
260,0.15722656
261,0.07128906
262,0.18847656
263,0.24316406
264,0.33789062
265,-0.13476562
266,-0.24707031
267,0.056396484
268,0.061523438
269,0.109375
270,-0.41015625
271,0.07763672
272,-0.002746582
273,-0.296875
274,0.022583008
275,-0.04711914
276,-0.24609375
277,0.057373047
278,0.06347656
279,0.13085938
280,-0.052978516
281,-0.12792969
282,0.08300781
283,-0.13476562
284,-0.29492188
285,-0.017822266
286,0.0012969971
287,-0.08886719
288,-0.08300781
289,-0.0008392334
290,0.11376953
291,-0.08984375
292,0.0041503906
293,0.009155273
294,-0.018920898
295,0.25195312
296,0.12695312
297,-0.100097656
298,-0.0035247803
299,-0.21191406
