,Burkina_Faso
0,0.06591797
1,-0.03491211
2,0.31835938
3,0.22167969
4,-0.07421875
5,-0.003112793
6,-0.123046875
7,-0.57421875
8,-0.18945312
9,-0.053222656
10,0.265625
11,-0.072265625
12,0.19433594
13,0.037597656
14,0.076660156
15,0.265625
16,-0.17773438
17,0.11035156
18,-0.28710938
19,0.31054688
20,0.20996094
21,-0.32421875
22,0.009643555
23,-0.064453125
24,0.095703125
25,-0.16992188
26,0.0030670166
27,-0.51953125
28,0.04248047
29,-0.08886719
30,-0.26757812
31,-0.20214844
32,-0.11328125
33,-0.15234375
34,-0.12695312
35,0.15820312
36,-0.25195312
37,0.12695312
38,0.076660156
39,-0.16796875
40,-0.103515625
41,0.42773438
42,-0.08886719
43,0.25
44,0.140625
45,0.17285156
46,-0.14941406
47,-0.037841797
48,0.07080078
49,-0.007232666
50,-0.13378906
51,-0.31835938
52,-0.07421875
53,-0.1171875
54,-0.19921875
55,0.16210938
56,-0.51953125
57,-0.12792969
58,-0.3046875
59,0.03930664
60,0.009765625
61,-0.140625
62,0.080078125
63,0.23535156
64,-0.12158203
65,-0.265625
66,-0.040283203
67,-0.28710938
68,0.16503906
69,0.23535156
70,0.014404297
71,-0.14160156
72,0.048339844
73,0.057373047
74,-0.17871094
75,-0.008972168
76,-0.051513672
77,0.06201172
78,-0.026245117
79,0.38867188
80,-0.23828125
81,-0.12792969
82,-0.16601562
83,-0.16015625
84,0.08691406
85,-0.06689453
86,0.024658203
87,0.0546875
88,-0.19433594
89,-0.068847656
90,-0.0056152344
91,0.10644531
92,-0.22363281
93,-0.25195312
94,-0.017944336
95,-0.47460938
96,0.024780273
97,-0.30859375
98,-0.037841797
99,0.140625
100,-0.036376953
101,-0.42382812
102,-0.32617188
103,-0.12451172
104,-0.43359375
105,0.025756836
106,0.18164062
107,-0.22851562
108,0.005218506
109,0.107421875
110,-0.021972656
111,0.20214844
112,0.06933594
113,-0.26367188
114,-0.15722656
115,-0.04296875
116,0.22363281
117,-0.009033203
118,0.18359375
119,-0.07421875
120,-0.14160156
121,-0.12011719
122,-0.41015625
123,0.03466797
124,0.036376953
125,0.30078125
126,-0.41015625
127,-0.06225586
128,-0.44140625
129,0.033935547
130,0.19433594
131,0.14257812
132,-0.17871094
133,5.865097e-05
134,-0.15429688
135,0.08105469
136,-0.19628906
137,-0.043701172
138,0.18847656
139,0.49609375
140,0.083496094
141,-0.10888672
142,0.09716797
143,0.011474609
144,0.25976562
145,0.080566406
146,-0.05859375
147,-0.08886719
148,0.140625
149,-0.26171875
150,0.041748047
151,-0.15722656
152,0.032958984
153,0.21582031
154,0.34179688
155,-0.22070312
156,-0.07324219
157,0.27929688
158,0.030883789
159,0.092285156
160,-0.22753906
161,0.19433594
162,0.09765625
163,0.056884766
164,-0.111816406
165,-0.25585938
166,-0.030883789
167,0.14453125
168,0.036865234
169,-0.10205078
170,-0.21484375
171,0.4140625
172,-0.053222656
173,0.05834961
174,-0.012451172
175,-0.119140625
176,-0.032470703
177,-0.35351562
178,0.1484375
179,-0.13671875
180,-0.17382812
181,-0.20410156
182,-0.06689453
183,-0.07324219
184,0.052246094
185,0.10205078
186,-0.02746582
187,-0.12988281
188,0.018310547
189,0.12988281
190,-0.03466797
191,-0.19628906
192,-0.3671875
193,-0.05810547
194,0.037353516
195,0.31445312
196,0.022827148
197,0.05102539
198,-0.19824219
199,-0.22949219
200,0.27929688
201,-0.001625061
202,0.16015625
203,-0.22167969
204,0.0068359375
205,-0.008605957
206,0.09814453
207,0.01574707
208,-0.3359375
209,-0.08691406
210,0.06542969
211,0.021850586
212,-0.12695312
213,0.25585938
214,-0.20898438
215,-0.03491211
216,-0.12988281
217,-0.25585938
218,0.0059509277
219,-0.203125
220,-0.10449219
221,-0.039794922
222,-0.19140625
223,0.13867188
224,0.20117188
225,0.10839844
226,0.06347656
227,0.23632812
228,0.5390625
229,-0.15820312
230,0.095703125
231,0.27539062
232,0.010498047
233,0.17382812
234,-0.12011719
235,0.27539062
236,0.048828125
237,0.22753906
238,0.040771484
239,0.033691406
240,0.36523438
241,-0.091308594
242,0.31640625
243,0.17480469
244,0.030395508
245,-0.09375
246,-0.296875
247,-0.25195312
248,-0.21875
249,-0.44335938
250,0.19921875
251,0.36328125
252,0.20214844
253,0.046875
254,0.05908203
255,0.21484375
256,-0.024536133
257,-0.045166016
258,0.24414062
259,0.10253906
260,0.041748047
261,0.23242188
262,0.23339844
263,0.26757812
264,0.34179688
265,-0.005706787
266,-0.40429688
267,-0.20898438
268,-0.11230469
269,0.34179688
270,-0.13671875
271,0.05908203
272,0.011230469
273,-0.27539062
274,0.31445312
275,0.13378906
276,0.05810547
277,-0.025634766
278,0.08203125
279,0.17382812
280,-0.024902344
281,-0.41210938
282,0.08105469
283,0.09472656
284,-0.34765625
285,0.038085938
286,-0.18847656
287,-0.09863281
288,0.02331543
289,-0.0625
290,-0.21191406
291,0.17675781
292,-0.17578125
293,-0.24707031
294,-0.107910156
295,0.41796875
296,-0.3125
297,-0.119140625
298,-0.01550293
299,0.09033203
