,Cameroon
0,0.265625
1,0.15332031
2,0.029663086
3,0.034423828
4,0.068359375
5,-0.27539062
6,-0.19042969
7,-0.328125
8,-0.20996094
9,-0.09765625
10,0.0703125
11,0.15917969
12,0.061523438
13,-0.07763672
14,0.020141602
15,0.3203125
16,-0.16113281
17,0.075683594
18,-0.107421875
19,0.34375
20,0.25
21,-0.29296875
22,-0.0055236816
23,0.039794922
24,0.16992188
25,0.005432129
26,-0.022460938
27,-0.5625
28,0.22363281
29,0.1640625
30,0.02734375
31,-0.24804688
32,-0.140625
33,-0.37109375
34,-0.19433594
35,0.12207031
36,-0.29882812
37,0.021118164
38,-0.0146484375
39,0.19238281
40,-0.114746094
41,0.07714844
42,0.025390625
43,0.30664062
44,0.109375
45,0.16894531
46,-0.0859375
47,-0.067871094
48,0.0050964355
49,-0.004180908
50,-0.053466797
51,-0.22167969
52,-0.115722656
53,-0.26171875
54,-0.18164062
55,0.16699219
56,-0.5390625
57,-0.18359375
58,-0.13085938
59,-0.040039062
60,0.08203125
61,-0.17089844
62,-0.052978516
63,0.10449219
64,-0.20898438
65,-0.29296875
66,0.2578125
67,-0.13378906
68,-0.008422852
69,0.20996094
70,-0.23242188
71,-0.09765625
72,-0.049316406
73,0.043945312
74,-0.052490234
75,0.080566406
76,-0.06933594
77,-0.10888672
78,0.03881836
79,0.2734375
80,-0.20019531
81,-0.23242188
82,-0.12158203
83,-0.0005531311
84,0.20605469
85,-0.15234375
86,0.1875
87,-0.021240234
88,0.15527344
89,0.06738281
90,0.16601562
91,-0.018432617
92,-0.33398438
93,0.25195312
94,0.07324219
95,-0.1015625
96,0.00077819824
97,-0.28125
98,0.13671875
99,0.11376953
100,-0.171875
101,-0.15429688
102,-0.061279297
103,-0.031982422
104,-0.019897461
105,0.13769531
106,0.16015625
107,-0.4765625
108,0.15722656
109,0.17871094
110,-0.030883789
111,0.122558594
112,0.072753906
113,-0.07421875
114,-0.2578125
115,-0.060058594
116,0.024536133
117,0.35546875
118,0.24707031
119,0.12451172
120,-0.2578125
121,-0.12695312
122,-0.34960938
123,0.123535156
124,-0.140625
125,0.13671875
126,-0.3359375
127,-0.045166016
128,-0.31640625
129,0.017211914
130,-0.0005607605
131,0.28515625
132,-0.18652344
133,-0.29882812
134,-0.03515625
135,-0.08984375
136,-0.21289062
137,0.031982422
138,-0.044433594
139,0.067871094
140,0.13378906
141,-0.07470703
142,0.07910156
143,0.017211914
144,0.09716797
145,0.27539062
146,-0.021850586
147,-0.063964844
148,0.16503906
149,-0.05810547
150,-0.06982422
151,0.020629883
152,-0.083984375
153,0.13671875
154,0.3671875
155,-0.23632812
156,-0.034423828
157,0.27148438
158,-0.041015625
159,-0.19433594
160,-0.09863281
161,0.12597656
162,0.019042969
163,0.29101562
164,0.1015625
165,0.083496094
166,-0.0859375
167,-0.08886719
168,-0.14160156
169,0.15820312
170,-0.14648438
171,0.5078125
172,-0.27929688
173,0.048095703
174,0.022338867
175,-0.15917969
176,0.22265625
177,-0.16992188
178,0.17089844
179,-0.34570312
180,0.020996094
181,-0.36132812
182,-0.09814453
183,-0.025268555
184,-0.04272461
185,0.123535156
186,-0.07128906
187,-0.265625
188,-0.14453125
189,0.22460938
190,-0.03173828
191,-0.17773438
192,-0.056884766
193,-0.12597656
194,-0.041992188
195,0.37109375
196,0.13574219
197,0.2265625
198,-0.37109375
199,-0.21679688
200,0.06347656
201,-0.14648438
202,-0.067871094
203,-0.33007812
204,0.099609375
205,-0.056884766
206,0.09082031
207,-0.22265625
208,-0.07421875
209,0.08984375
210,-0.37109375
211,-0.095214844
212,-0.2265625
213,0.17578125
214,-0.19726562
215,-0.06933594
216,0.21972656
217,-0.20507812
218,-0.12890625
219,-0.04272461
220,-0.34960938
221,-0.06347656
222,-0.18457031
223,0.12011719
224,0.07421875
225,0.119628906
226,0.19628906
227,0.1640625
228,0.43359375
229,-0.17773438
230,-0.025634766
231,0.009399414
232,0.033447266
233,0.1796875
234,0.016845703
235,0.122558594
236,0.08251953
237,0.10986328
238,-0.04272461
239,0.033447266
240,0.33789062
241,-0.33789062
242,0.24511719
243,-0.123535156
244,0.04248047
245,-0.15820312
246,-0.4609375
247,-0.11816406
248,-0.203125
249,-0.3359375
250,0.13476562
251,0.3125
252,0.28710938
253,0.109375
254,0.12402344
255,0.092285156
256,-0.25585938
257,-0.036132812
258,0.07373047
259,0.0625
260,0.15722656
261,0.16699219
262,0.27929688
263,0.43164062
264,0.14746094
265,0.026489258
266,-0.453125
267,-0.13867188
268,-0.15820312
269,0.23046875
270,-0.041992188
271,-0.009399414
272,0.03564453
273,0.095214844
274,0.33789062
275,0.03930664
276,-0.12988281
277,0.049804688
278,-0.06982422
279,0.107421875
280,-0.10253906
281,-0.39257812
282,0.05444336
283,0.03149414
284,-0.032470703
285,0.16308594
286,-0.036621094
287,0.020385742
288,-0.055664062
289,-0.071777344
290,-0.05859375
291,0.026611328
292,0.042236328
293,-0.078125
294,-0.035888672
295,0.21582031
296,-0.31835938
297,-0.23535156
298,0.03930664
299,0.27929688
