,Canary_Islands
0,0.16894531
1,-0.10546875
2,-0.099121094
3,0.23339844
4,0.119628906
5,-0.30078125
6,-0.20996094
7,-0.037353516
8,-0.13867188
9,0.06225586
10,0.18847656
11,-0.09375
12,-0.13769531
13,-0.03564453
14,0.25976562
15,0.20605469
16,-0.095214844
17,0.13183594
18,0.25976562
19,0.25390625
20,0.32617188
21,-0.21679688
22,0.111328125
23,0.01361084
24,0.12597656
25,-0.12988281
26,-0.08251953
27,0.053710938
28,-0.020996094
29,0.14160156
30,0.11621094
31,0.023925781
32,0.12109375
33,0.032958984
34,0.114746094
35,-0.21777344
36,-0.75390625
37,-0.21191406
38,-0.06591797
39,0.010803223
40,0.11376953
41,0.15332031
42,-0.09472656
43,0.2734375
44,0.19335938
45,-0.28515625
46,-0.14941406
47,-0.13183594
48,-0.0057678223
49,0.068359375
50,0.13378906
51,0.033203125
52,0.53125
53,-0.10644531
54,-0.23632812
55,0.026245117
56,-0.29101562
57,0.075683594
58,-0.28515625
59,0.026855469
60,-0.064941406
61,-0.203125
62,0.04272461
63,-0.27734375
64,0.32617188
65,-0.16992188
66,-0.15429688
67,-0.15136719
68,-0.25
69,-0.015991211
70,-0.3515625
71,-0.04711914
72,-0.05126953
73,0.61328125
74,-0.09033203
75,0.0032196045
76,0.06640625
77,-0.27148438
78,-0.22558594
79,-0.021118164
80,0.10498047
81,0.071777344
82,0.06542969
83,-0.43164062
84,-0.08544922
85,0.017089844
86,-0.16796875
87,0.14941406
88,-0.0008239746
89,0.44726562
90,0.24902344
91,-0.06591797
92,-0.3671875
93,0.21972656
94,0.17578125
95,-0.25585938
96,0.22363281
97,-0.39648438
98,0.3203125
99,0.045654297
100,-0.13378906
101,-0.10839844
102,0.053222656
103,-0.034179688
104,-0.017578125
105,0.24902344
106,0.12695312
107,-0.20605469
108,0.037109375
109,0.0033416748
110,-0.13671875
111,0.15429688
112,0.2421875
113,0.03173828
114,-0.064453125
115,-0.15625
116,0.03515625
117,0.26171875
118,0.30273438
119,-0.025512695
120,-0.33789062
121,-0.28710938
122,0.018554688
123,-0.17871094
124,0.35742188
125,-0.08251953
126,-0.234375
127,-0.10205078
128,-0.32421875
129,0.15917969
130,0.03515625
131,-0.13183594
132,-0.33398438
133,0.122558594
134,0.09082031
135,-0.14941406
136,-0.296875
137,0.03466797
138,0.28515625
139,0.09716797
140,-0.05908203
141,-0.109375
142,0.091308594
143,0.15136719
144,0.25585938
145,0.15625
146,0.025024414
147,0.053466797
148,0.0023345947
149,-0.119628906
150,0.14550781
151,0.063964844
152,-0.3984375
153,0.19238281
154,0.17578125
155,-0.3515625
156,-0.17480469
157,0.011962891
158,0.12597656
159,-0.17675781
160,-0.19824219
161,0.30078125
162,-0.037353516
163,-0.19726562
164,0.296875
165,0.13574219
166,-0.012023926
167,-0.11767578
168,-0.16894531
169,0.16113281
170,-0.018188477
171,0.22753906
172,0.07714844
173,0.021484375
174,-0.5078125
175,-0.06347656
176,0.1796875
177,-0.18066406
178,0.047851562
179,-0.11621094
180,-0.16894531
181,-0.23242188
182,-0.13085938
183,0.02368164
184,0.37109375
185,-0.111816406
186,-0.13964844
187,-0.087890625
188,0.16796875
189,-0.12792969
190,0.08105469
191,0.083984375
192,0.05444336
193,0.23828125
194,-0.15039062
195,0.6015625
196,0.18359375
197,-0.11328125
198,-0.095703125
199,-0.100097656
200,0.26953125
201,-0.083496094
202,0.016723633
203,0.041992188
204,-0.03955078
205,-0.16992188
206,0.26953125
207,-0.03491211
208,-0.15429688
209,-0.20898438
210,0.024902344
211,-0.25585938
212,-0.06640625
213,0.22753906
214,-0.16503906
215,-0.12402344
216,0.095214844
217,-0.16796875
218,0.25390625
219,0.17382812
220,0.15722656
221,0.12792969
222,-0.08496094
223,0.1796875
224,-0.22460938
225,-0.21484375
226,0.11425781
227,0.29296875
228,0.3359375
229,-0.032470703
230,0.067871094
231,0.037597656
232,-0.08203125
233,-0.12695312
234,-0.021850586
235,0.265625
236,0.014526367
237,0.033203125
238,0.10888672
239,-0.265625
240,-0.07080078
241,-0.015258789
242,0.15332031
243,-0.11230469
244,0.092285156
245,0.025878906
246,-0.078125
247,0.016723633
248,0.18164062
249,-0.21582031
250,0.19042969
251,-0.25585938
252,-0.103515625
253,0.24511719
254,0.37109375
255,0.0030822754
256,0.15136719
257,0.20605469
258,0.080566406
259,-0.09326172
260,0.40039062
261,-0.037597656
262,-0.29492188
263,0.26171875
264,0.203125
265,-0.3125
266,-0.04272461
267,-0.13964844
268,-0.16015625
269,-0.09472656
270,-0.13085938
271,0.111816406
272,0.16210938
273,0.20117188
274,-0.04345703
275,0.26953125
276,-0.40820312
277,0.055419922
278,-0.23144531
279,-0.10498047
280,-0.10986328
281,-0.18261719
282,-0.24609375
283,-0.33984375
284,0.13867188
285,-0.07861328
286,-0.21386719
287,0.33007812
288,-0.22949219
289,0.1328125
290,0.14453125
291,0.36132812
292,-0.088378906
293,0.033203125
294,0.05859375
295,0.47460938
296,-0.024414062
297,0.109375
298,0.4765625
299,0.025024414
