,Cayman_Islands
0,-0.3359375
1,-0.18261719
2,-0.30078125
3,-0.013671875
4,0.10644531
5,0.07861328
6,-0.09423828
7,-0.002090454
8,0.15917969
9,0.052978516
10,-0.011657715
11,0.029907227
12,0.17382812
13,0.0038909912
14,0.1796875
15,0.16992188
16,-0.017822266
17,0.24414062
18,-0.07080078
19,0.09277344
20,0.36328125
21,-0.22949219
22,0.27734375
23,0.20703125
24,0.32421875
25,0.18847656
26,0.43554688
27,-0.13378906
28,-0.11279297
29,0.296875
30,0.04272461
31,-0.23730469
32,-0.09082031
33,0.028442383
34,0.05810547
35,-0.22949219
36,0.057373047
37,-0.25195312
38,0.075683594
39,-0.02746582
40,-0.1171875
41,0.096191406
42,-0.09423828
43,0.35351562
44,-0.09716797
45,-0.07421875
46,-0.25
47,-0.032470703
48,0.15136719
49,0.02319336
50,0.16113281
51,-0.16015625
52,0.42382812
53,-0.12988281
54,-0.0078125
55,0.39453125
56,-0.31445312
57,-0.07324219
58,-0.16210938
59,0.08203125
60,-0.022583008
61,-0.19433594
62,0.1328125
63,-0.20507812
64,0.099609375
65,-0.16503906
66,-0.14648438
67,0.083496094
68,-0.12402344
69,-0.21582031
70,-0.19921875
71,-0.16503906
72,0.2734375
73,0.053710938
74,0.24121094
75,0.01184082
76,0.10595703
77,-0.13378906
78,0.19238281
79,-0.19921875
80,-0.36914062
81,-0.2890625
82,-0.36914062
83,-0.12109375
84,-0.20996094
85,0.04248047
86,-0.045898438
87,0.0046081543
88,0.171875
89,0.33984375
90,0.4375
91,-0.06640625
92,-0.08642578
93,0.10986328
94,0.171875
95,0.08154297
96,0.6640625
97,-0.18261719
98,0.13476562
99,0.13574219
100,0.20898438
101,0.34375
102,0.12988281
103,0.17285156
104,0.328125
105,-0.063964844
106,0.32226562
107,-0.025268555
108,0.16308594
109,0.076660156
110,-0.4921875
111,0.12109375
112,-0.453125
113,0.17871094
114,0.1171875
115,0.03540039
116,0.04663086
117,-0.119140625
118,0.28320312
119,0.17675781
120,-0.33203125
121,-0.390625
122,0.13867188
123,0.12695312
124,0.19433594
125,0.3828125
126,0.068847656
127,0.034423828
128,-0.09423828
129,0.5703125
130,-0.18652344
131,0.15820312
132,-0.19433594
133,-0.31054688
134,-0.0859375
135,-0.44726562
136,-0.26171875
137,0.051513672
138,-0.06738281
139,0.08251953
140,-0.0043640137
141,0.10253906
142,0.34179688
143,-0.10449219
144,0.20703125
145,0.25
146,0.009460449
147,-0.008605957
148,0.18554688
149,0.1875
150,0.234375
151,-0.2734375
152,-0.14257812
153,0.0126953125
154,0.06591797
155,-0.037597656
156,-0.07421875
157,0.057861328
158,0.45507812
159,0.24707031
160,-0.12597656
161,0.091796875
162,0.12011719
163,-0.083984375
164,-0.118652344
165,-0.33984375
166,-0.18359375
167,0.30273438
168,0.1484375
169,0.011108398
170,-0.095703125
171,0.3125
172,-0.095214844
173,-0.09765625
174,-0.28515625
175,-0.05908203
176,0.19238281
177,0.0029144287
178,-0.21679688
179,-0.31054688
180,-0.12207031
181,-0.1328125
182,0.052978516
183,-0.037353516
184,-0.11767578
185,-0.28125
186,0.17871094
187,0.031982422
188,0.16796875
189,0.2734375
190,0.036376953
191,0.11035156
192,-0.09326172
193,0.110839844
194,-0.046875
195,0.39453125
196,-0.25976562
197,-0.03857422
198,0.01184082
199,-0.296875
200,0.24902344
201,-0.31445312
202,0.15136719
203,0.06298828
204,-0.10595703
205,0.0546875
206,-0.05810547
207,0.14941406
208,0.017700195
209,0.008483887
210,0.005126953
211,-0.12451172
212,0.08935547
213,0.29296875
214,0.05908203
215,0.028686523
216,-0.096191406
217,-0.14746094
218,0.053222656
219,-0.18847656
220,-0.052734375
221,0.08642578
222,-0.12597656
223,-0.38085938
224,-0.1875
225,0.104003906
226,0.25976562
227,0.13476562
228,0.016479492
229,-0.1328125
230,-0.27734375
231,-0.12988281
232,0.14453125
233,-0.18652344
234,0.07128906
235,0.044433594
236,0.005340576
237,-0.13574219
238,0.19140625
239,-0.10498047
240,-0.07128906
241,-0.171875
242,-0.007873535
243,0.15917969
244,-0.07763672
245,-0.009216309
246,0.27734375
247,0.328125
248,0.390625
249,0.14160156
250,-0.053222656
251,-0.12060547
252,0.18359375
253,0.04345703
254,-0.030273438
255,-0.004699707
256,-0.046875
257,0.328125
258,-0.19628906
259,-0.0115356445
260,0.25976562
261,0.3203125
262,0.06738281
263,-0.26367188
264,-0.060546875
265,0.15820312
266,-0.20996094
267,0.017211914
268,0.005004883
269,-0.024291992
270,-0.14160156
271,0.29882812
272,0.060546875
273,0.07128906
274,-0.2265625
275,0.028808594
276,-0.06591797
277,-0.048095703
278,-0.29296875
279,0.24707031
280,-0.02758789
281,-0.23046875
282,-0.037109375
283,-0.024414062
284,0.055908203
285,0.04296875
286,-0.27539062
287,-0.104003906
288,0.052246094
289,0.265625
290,0.07080078
291,0.026245117
292,-0.16113281
293,-0.15039062
294,-0.0703125
295,0.20703125
296,0.06640625
297,-0.06738281
298,-0.06738281
299,-0.12792969
