,Chad
0,0.18261719
1,0.09277344
2,-0.005126953
3,-0.048339844
4,-0.07324219
5,-0.103515625
6,-0.20410156
7,-0.38085938
8,-0.080566406
9,-0.11035156
10,0.0055236816
11,-0.079589844
12,0.07421875
13,0.067871094
14,0.0038452148
15,-0.092285156
16,0.09033203
17,0.123535156
18,-0.04663086
19,-0.0115356445
20,0.05493164
21,-0.06738281
22,0.25195312
23,-0.10253906
24,0.078125
25,-0.29492188
26,0.01184082
27,0.18554688
28,0.20214844
29,0.10058594
30,-0.13671875
31,0.08886719
32,0.022338867
33,-0.31445312
34,-0.14160156
35,0.044677734
36,-0.008239746
37,0.10595703
38,0.08105469
39,0.11425781
40,-0.051757812
41,0.13964844
42,-0.088378906
43,-0.041259766
44,0.053710938
45,0.34765625
46,-0.17773438
47,0.0016860962
48,0.16308594
49,0.140625
50,-0.12207031
51,-0.203125
52,-0.31640625
53,-0.38867188
54,-0.12451172
55,-0.021606445
56,-0.084472656
57,0.18652344
58,-0.10644531
59,-0.23144531
60,0.12890625
61,-0.052490234
62,-0.15136719
63,0.07324219
64,-0.25
65,-0.20605469
66,-0.03173828
67,-0.2734375
68,-0.15039062
69,-0.06982422
70,0.19628906
71,-0.092285156
72,0.07421875
73,-0.095703125
74,0.055419922
75,-0.13769531
76,-0.027709961
77,-0.23339844
78,-0.004058838
79,0.28125
80,0.000869751
81,-0.37304688
82,-0.06225586
83,-0.033203125
84,0.11035156
85,-0.2890625
86,-0.0060424805
87,0.26953125
88,0.026123047
89,-0.034179688
90,0.015625
91,-0.13085938
92,-0.16113281
93,0.0390625
94,-0.07861328
95,0.036376953
96,0.067871094
97,-0.017456055
98,-0.08544922
99,-0.1484375
100,-0.12988281
101,0.14941406
102,-0.043701172
103,-0.44140625
104,-0.040039062
105,0.0053710938
106,0.23535156
107,-0.16308594
108,-0.15332031
109,0.05126953
110,-0.11425781
111,-0.028930664
112,-0.01940918
113,-0.056396484
114,-0.045410156
115,-0.08300781
116,0.008972168
117,0.38085938
118,-0.048095703
119,-0.0859375
120,-0.125
121,0.055908203
122,-0.12451172
123,0.026611328
124,-0.021850586
125,-0.03125
126,-0.17089844
127,-0.03540039
128,-0.13476562
129,-0.14550781
130,-0.012207031
131,-0.16796875
132,-0.13671875
133,0.11035156
134,0.04345703
135,-0.0020141602
136,-0.18066406
137,0.25585938
138,0.12451172
139,0.14160156
140,0.18652344
141,0.07470703
142,0.3046875
143,-0.22558594
144,-0.20898438
145,0.3203125
146,0.23242188
147,-0.057373047
148,0.09423828
149,-0.27539062
150,0.07519531
151,0.25390625
152,-0.06738281
153,0.06298828
154,-0.052978516
155,0.06542969
156,-0.11279297
157,0.19726562
158,-0.21289062
159,0.01373291
160,-0.19335938
161,0.25390625
162,0.11035156
163,0.05078125
164,-0.107910156
165,-0.12597656
166,0.13769531
167,-0.22460938
168,0.103515625
169,0.018676758
170,0.018798828
171,0.0054626465
172,0.12207031
173,-0.049072266
174,0.20996094
175,-0.008178711
176,0.16894531
177,-0.060791016
178,-0.12695312
179,-0.26953125
180,-0.421875
181,-0.16308594
182,0.15136719
183,0.1015625
184,-0.2734375
185,-0.106933594
186,0.2265625
187,-0.24707031
188,0.2734375
189,-0.041015625
190,0.11279297
191,-0.09716797
192,-0.044677734
193,-0.11767578
194,0.16894531
195,0.19628906
196,0.007598877
197,-0.0036773682
198,0.087890625
199,-0.24511719
200,0.22851562
201,-0.056640625
202,0.38671875
203,0.092285156
204,0.10986328
205,0.12890625
206,-0.05126953
207,0.0020446777
208,-0.05810547
209,0.26757812
210,0.084472656
211,-0.37304688
212,0.06347656
213,0.19042969
214,0.06298828
215,0.05810547
216,-0.016723633
217,-0.1015625
218,-0.095703125
219,-0.14257812
220,0.18164062
221,-0.13964844
222,0.30078125
223,-0.15820312
224,0.12695312
225,0.01928711
226,0.17871094
227,0.33007812
228,0.056396484
229,-0.00390625
230,0.12011719
231,0.16503906
232,0.19140625
233,-0.11669922
234,0.033447266
235,0.14941406
236,0.15039062
237,-0.20800781
238,-0.21972656
239,-0.063964844
240,0.15039062
241,0.18847656
242,0.064453125
243,-0.1484375
244,0.29882812
245,0.31835938
246,-0.14160156
247,-0.11376953
248,0.10546875
249,-0.3203125
250,-0.16503906
251,0.17382812
252,-0.08203125
253,0.13378906
254,-0.14257812
255,0.023803711
256,0.3828125
257,-0.045410156
258,0.26953125
259,-0.12890625
260,-0.23339844
261,0.22363281
262,-0.104003906
263,0.21386719
264,0.24804688
265,0.24316406
266,0.045166016
267,-0.06591797
268,-0.15722656
269,0.1328125
270,-0.049316406
271,-0.023071289
272,-0.17089844
273,-0.107421875
274,-0.16113281
275,0.15234375
276,0.032958984
277,0.14160156
278,-0.06738281
279,-0.17285156
280,0.20800781
281,-0.15429688
282,-0.03955078
283,0.08300781
284,-0.16308594
285,-0.022827148
286,-0.03466797
287,-0.07763672
288,0.44335938
289,0.009460449
290,-0.036132812
291,0.203125
292,-0.030517578
293,0.084472656
294,-0.11035156
295,-0.045410156
296,-0.1171875
297,0.14355469
298,0.13574219
299,-0.20800781
