,Chile
0,-0.27539062
1,-0.16699219
2,0.25390625
3,0.41796875
4,0.06982422
5,-0.28515625
6,-0.15136719
7,-0.32226562
8,0.13085938
9,-0.12158203
10,0.020751953
11,0.010986328
12,0.23925781
13,-0.030151367
14,0.14941406
15,0.068847656
16,0.12988281
17,0.38085938
18,0.203125
19,0.09082031
20,0.25976562
21,-0.13476562
22,-0.15917969
23,0.04736328
24,-0.043945312
25,-0.22363281
26,-0.12207031
27,-0.203125
28,-0.12011719
29,0.015563965
30,0.11328125
31,-0.20117188
32,-0.24804688
33,-0.3359375
34,0.08886719
35,0.14160156
36,-0.16992188
37,-0.14550781
38,0.26171875
39,0.07421875
40,0.10107422
41,0.107421875
42,0.061035156
43,0.1796875
44,0.23339844
45,0.22167969
46,0.044189453
47,0.008056641
48,-0.015075684
49,0.1328125
50,-0.20019531
51,-0.13769531
52,0.140625
53,-0.06689453
54,-0.16601562
55,0.30859375
56,-0.24609375
57,-0.061523438
58,-0.111816406
59,-0.08935547
60,-0.14941406
61,0.018798828
62,-0.22265625
63,-0.063964844
64,-0.010437012
65,-0.09326172
66,0.20996094
67,-0.52734375
68,0.091308594
69,-0.24414062
70,-0.39257812
71,-0.114746094
72,0.042236328
73,-0.04248047
74,0.19433594
75,-0.10986328
76,0.05126953
77,-0.048828125
78,-0.036865234
79,0.15234375
80,-0.07324219
81,0.10644531
82,-0.06347656
83,-0.45507812
84,-0.23242188
85,-0.2734375
86,-0.19433594
87,0.15625
88,-0.18945312
89,0.04711914
90,0.21191406
91,-0.01184082
92,-0.31835938
93,0.29101562
94,-0.12792969
95,-0.29492188
96,-0.03930664
97,-0.23242188
98,0.14648438
99,0.16503906
100,-0.15917969
101,0.14160156
102,-0.16113281
103,0.061279297
104,0.11767578
105,0.08984375
106,0.12695312
107,-0.33203125
108,-0.2578125
109,0.21386719
110,0.13867188
111,-0.12695312
112,0.19238281
113,-0.24121094
114,-0.033447266
115,0.44335938
116,-0.011169434
117,-0.075683594
118,0.34179688
119,0.11376953
120,-0.08642578
121,-0.35546875
122,-0.055664062
123,0.08496094
124,0.06298828
125,0.037353516
126,0.045654297
127,0.103027344
128,-0.42578125
129,0.23730469
130,-0.2265625
131,-0.04711914
132,-0.119140625
133,-0.16796875
134,0.008544922
135,-0.2109375
136,-0.31640625
137,0.05102539
138,0.045654297
139,0.16699219
140,0.07861328
141,-0.43359375
142,0.068359375
143,0.25195312
144,0.23046875
145,-0.07861328
146,-0.09082031
147,0.0008163452
148,0.064941406
149,-0.076171875
150,0.38671875
151,-0.4140625
152,-0.18945312
153,0.13574219
154,-0.055419922
155,-0.171875
156,-0.421875
157,0.08203125
158,0.07519531
159,0.19824219
160,-0.059570312
161,0.20703125
162,-0.03564453
163,0.053955078
164,0.2890625
165,-0.12451172
166,0.12695312
167,0.1875
168,0.033935547
169,-0.09472656
170,-0.24707031
171,0.30859375
172,0.13769531
173,0.052734375
174,-0.13964844
175,-0.114746094
176,-0.027832031
177,-0.078125
178,-0.052734375
179,0.140625
180,-0.22265625
181,-0.15136719
182,-0.28125
183,-0.053955078
184,0.08203125
185,-0.24414062
186,0.04272461
187,-0.14453125
188,-0.11425781
189,0.11279297
190,-0.296875
191,0.115234375
192,-0.051513672
193,-0.06738281
194,-0.08642578
195,0.44140625
196,0.16113281
197,-0.22363281
198,-0.21191406
199,-0.20019531
200,-0.0057373047
201,0.038085938
202,-0.0043945312
203,-0.21484375
204,0.0023498535
205,0.05859375
206,-0.0010223389
207,-0.13964844
208,-0.23144531
209,-0.091796875
210,-0.041992188
211,0.13183594
212,0.20019531
213,0.26953125
214,-0.114746094
215,-0.008300781
216,-0.08496094
217,-0.076660156
218,-0.125
219,-0.15429688
220,0.029174805
221,-0.13867188
222,-0.12060547
223,-0.02709961
224,-0.24707031
225,-0.027832031
226,0.18164062
227,0.390625
228,0.22265625
229,0.107910156
230,-0.1328125
231,0.04736328
232,0.0107421875
233,0.09375
234,0.0057678223
235,0.078125
236,-0.34179688
237,0.12792969
238,-0.057373047
239,-0.10107422
240,-0.15332031
241,0.018432617
242,0.060546875
243,0.20507812
244,0.0119018555
245,-0.01574707
246,-0.1796875
247,-0.11035156
248,-0.16796875
249,0.044433594
250,-0.056396484
251,0.22460938
252,0.18945312
253,-0.076171875
254,0.21972656
255,0.087402344
256,0.107910156
257,0.15429688
258,0.16113281
259,-0.04272461
260,0.091796875
261,-0.13964844
262,-0.01977539
263,0.14355469
264,0.1796875
265,-0.31054688
266,-0.23632812
267,-0.04272461
268,0.14648438
269,-0.114746094
270,-0.359375
271,0.22851562
272,0.24316406
273,-0.16113281
274,0.25585938
275,0.25195312
276,-0.07421875
277,0.046875
278,-0.032470703
279,0.15332031
280,0.110839844
281,-0.022216797
282,0.044921875
283,0.16601562
284,0.052490234
285,-0.025390625
286,-0.07421875
287,-0.084472656
288,0.15527344
289,0.09326172
290,0.10058594
291,-0.30859375
292,-0.20117188
293,0.087402344
294,0.036376953
295,0.061523438
296,0.07714844
297,-0.011962891
298,0.016845703
299,-0.06542969
