,Cook_Islands
0,0.13867188
1,-0.18066406
2,0.11035156
3,-0.36914062
4,-0.004699707
5,-0.021972656
6,-0.24121094
7,-0.047607422
8,-0.06542969
9,0.032470703
10,0.2734375
11,-0.013000488
12,0.14453125
13,-0.14746094
14,-0.018188477
15,0.32421875
16,-0.02319336
17,0.045654297
18,0.032226562
19,0.36523438
20,0.29882812
21,-0.24121094
22,0.26953125
23,-0.02758789
24,0.20996094
25,-0.018798828
26,-0.018432617
27,-0.10107422
28,0.05883789
29,0.07373047
30,-0.049804688
31,-0.17285156
32,-0.16601562
33,-0.05029297
34,0.40039062
35,-0.023925781
36,-0.21582031
37,0.12060547
38,-0.026489258
39,-0.16503906
40,-0.13183594
41,0.057861328
42,0.100097656
43,0.37890625
44,-0.21777344
45,-0.076171875
46,-0.24023438
47,-0.0064086914
48,0.16699219
49,0.030761719
50,-0.119140625
51,-0.08544922
52,0.24023438
53,-0.2578125
54,-0.29101562
55,0.10546875
56,-0.55078125
57,-0.0087890625
58,-0.036621094
59,-0.36132812
60,-0.23730469
61,-0.004333496
62,-0.20800781
63,-0.049804688
64,0.14550781
65,0.10595703
66,-0.17382812
67,-0.15234375
68,0.0032653809
69,-0.06542969
70,-0.15527344
71,-0.25585938
72,-0.087402344
73,0.06982422
74,0.052001953
75,-0.0703125
76,0.095214844
77,-0.16601562
78,0.12402344
79,0.16210938
80,-0.25195312
81,-0.10253906
82,-0.26757812
83,-0.16113281
84,-0.19824219
85,-0.19140625
86,-0.28515625
87,-0.28125
88,-0.087402344
89,0.26171875
90,0.32421875
91,-0.10839844
92,-0.34960938
93,0.28710938
94,0.06225586
95,-0.07714844
96,0.2109375
97,-0.29492188
98,0.12695312
99,-0.025878906
100,-0.09326172
101,0.22851562
102,0.17773438
103,-0.12451172
104,0.020263672
105,0.12695312
106,0.06347656
107,-0.045898438
108,0.18847656
109,0.31835938
110,-0.09033203
111,0.12695312
112,0.09765625
113,0.15039062
114,-0.12597656
115,0.13671875
116,-0.16992188
117,-0.13671875
118,0.18261719
119,-0.084472656
120,-0.21972656
121,-0.076660156
122,0.037109375
123,0.29882812
124,0.15234375
125,0.43554688
126,0.064941406
127,0.26367188
128,-0.31445312
129,0.37109375
130,0.05908203
131,0.2421875
132,-0.23925781
133,0.11035156
134,-0.33398438
135,-0.12695312
136,-0.328125
137,-0.035888672
138,-0.0069885254
139,0.19726562
140,-0.079589844
141,-0.20507812
142,0.45703125
143,0.063964844
144,0.57421875
145,0.30859375
146,-0.24804688
147,-0.20019531
148,-0.07763672
149,0.31835938
150,0.22558594
151,-0.31835938
152,0.07910156
153,0.009033203
154,0.07714844
155,-0.37890625
156,0.06347656
157,-0.42578125
158,0.18457031
159,0.34375
160,-0.26171875
161,0.15527344
162,0.12792969
163,-0.04272461
164,-0.15234375
165,-0.41601562
166,0.19140625
167,0.18847656
168,0.067871094
169,0.0022125244
170,0.060791016
171,0.22949219
172,0.19824219
173,-0.015136719
174,-0.028808594
175,-0.32617188
176,0.26171875
177,-0.114746094
178,0.27539062
179,0.45117188
180,0.25390625
181,-0.38085938
182,-0.09863281
183,-0.020874023
184,-0.35351562
185,-0.042236328
186,-0.08984375
187,-0.3671875
188,-0.044189453
189,0.12011719
190,-0.0625
191,-0.18457031
192,-0.16503906
193,-0.16601562
194,0.30078125
195,0.29296875
196,0.3125
197,0.14648438
198,-0.14746094
199,-0.37109375
200,0.08496094
201,-0.34960938
202,0.125
203,-0.18457031
204,-0.13574219
205,0.140625
206,-0.031982422
207,-0.056396484
208,0.003189087
209,-0.16796875
210,-0.13769531
211,-0.18457031
212,-0.063964844
213,-0.071777344
214,0.07910156
215,-0.15039062
216,0.15429688
217,-0.048583984
218,0.24804688
219,-0.14941406
220,-0.056640625
221,0.042236328
222,-0.07470703
223,-0.083984375
224,-0.16894531
225,-0.01586914
226,0.33203125
227,0.3515625
228,0.14941406
229,0.09277344
230,-0.12402344
231,-0.07763672
232,0.17089844
233,0.0046691895
234,0.022460938
235,0.38476562
236,0.25390625
237,0.096191406
238,0.110839844
239,0.30859375
240,0.25390625
241,0.106933594
242,0.38867188
243,-0.25390625
244,-0.017944336
245,-0.20214844
246,-0.0043945312
247,0.18164062
248,0.11035156
249,-0.29101562
250,-0.16210938
251,0.1484375
252,0.29492188
253,-0.008361816
254,0.061523438
255,0.029663086
256,0.41992188
257,-0.12792969
258,0.22363281
259,-0.11230469
260,0.31445312
261,0.24804688
262,-0.13378906
263,0.041015625
264,-0.22851562
265,-0.14941406
266,-0.30664062
267,-0.046142578
268,0.072753906
269,-0.13183594
270,-0.21582031
271,0.107910156
272,0.103027344
273,0.32226562
274,-0.03149414
275,0.087890625
276,-0.045410156
277,-0.061767578
278,-0.060791016
279,0.4140625
280,-0.1015625
281,-0.26171875
282,-0.03955078
283,-0.16015625
284,0.111816406
285,0.203125
286,0.025756836
287,0.103515625
288,-0.008483887
289,0.34179688
290,0.16699219
291,0.010559082
292,-0.004272461
293,-0.14160156
294,-0.15917969
295,0.15820312
296,0.0138549805
297,0.038330078
298,0.064941406
299,0.11816406
