,Croatia
0,0.13574219
1,-0.107421875
2,0.1640625
3,-0.18261719
4,-0.031982422
5,-0.21191406
6,-0.0058288574
7,-0.33984375
8,-0.051513672
9,0.12890625
10,0.016357422
11,0.16308594
12,0.18945312
13,0.06347656
14,0.09667969
15,-0.020751953
16,-0.19824219
17,0.023925781
18,0.08935547
19,-0.05078125
20,0.36328125
21,-0.045898438
22,-0.09375
23,0.045898438
24,-0.14550781
25,0.088378906
26,-0.03125
27,-0.20507812
28,0.0065307617
29,0.19628906
30,-0.11621094
31,-0.13671875
32,-0.046142578
33,-0.20410156
34,0.14941406
35,-0.100097656
36,-0.1328125
37,0.12451172
38,0.15234375
39,-0.02355957
40,0.15039062
41,0.09472656
42,0.33789062
43,0.001953125
44,0.115234375
45,-0.12695312
46,0.19824219
47,-0.041015625
48,0.08105469
49,0.31445312
50,-0.09375
51,0.064941406
52,0.006225586
53,-0.03564453
54,-0.28320312
55,0.09033203
56,-0.453125
57,-0.19628906
58,-0.14160156
59,0.13183594
60,0.10644531
61,0.09375
62,-0.15039062
63,-0.080078125
64,-0.04345703
65,-0.092285156
66,0.5625
67,-0.22949219
68,-0.08105469
69,-0.14453125
70,-0.18652344
71,-0.1328125
72,0.17773438
73,-0.19042969
74,-0.26953125
75,-0.40234375
76,0.16894531
77,-0.13867188
78,-0.006958008
79,0.29101562
80,-0.2734375
81,-0.23046875
82,-0.15234375
83,-0.234375
84,0.19921875
85,0.05517578
86,-0.099121094
87,0.026367188
88,0.3984375
89,-0.0014877319
90,0.23828125
91,-0.115234375
92,-0.453125
93,0.3203125
94,-0.16894531
95,-0.20996094
96,-0.28515625
97,-0.25195312
98,-0.06298828
99,-0.037109375
100,-0.21484375
101,0.15234375
102,0.27148438
103,0.20410156
104,0.17089844
105,0.22851562
106,0.1171875
107,-0.084472656
108,0.036621094
109,-0.10888672
110,0.21289062
111,-0.0625
112,0.0018005371
113,-0.3203125
114,-0.046875
115,0.01586914
116,0.18066406
117,0.096191406
118,0.44335938
119,0.2578125
120,-0.21484375
121,0.060546875
122,-0.020629883
123,-0.095703125
124,0.026123047
125,0.036132812
126,0.109375
127,-0.0073242188
128,-0.60546875
129,0.08154297
130,-0.12109375
131,0.16503906
132,-0.21289062
133,-0.22167969
134,-0.21289062
135,-0.18261719
136,-0.20410156
137,0.13183594
138,0.12988281
139,-0.16308594
140,0.13964844
141,-0.110839844
142,0.3125
143,-0.05126953
144,0.19921875
145,0.04272461
146,0.07324219
147,0.20214844
148,-0.20605469
149,0.20605469
150,0.34570312
151,-0.0024719238
152,0.05078125
153,-0.022338867
154,0.24902344
155,-0.10107422
156,-0.19824219
157,0.02319336
158,0.063964844
159,0.15234375
160,-0.06542969
161,-0.022338867
162,0.0065612793
163,-0.08300781
164,0.18359375
165,0.021850586
166,-0.18261719
167,0.16992188
168,-0.053955078
169,0.08496094
170,-0.2109375
171,0.03466797
172,-0.023803711
173,0.12158203
174,-0.12011719
175,-0.19824219
176,-0.091796875
177,-0.0625
178,0.05419922
179,0.011352539
180,0.18554688
181,-0.24023438
182,-0.13671875
183,-0.06689453
184,-0.095214844
185,0.053222656
186,0.091308594
187,-0.13085938
188,-0.12207031
189,0.14648438
190,-0.109375
191,-0.07861328
192,0.055664062
193,-0.0546875
194,0.30273438
195,0.16796875
196,-0.10546875
197,0.061279297
198,-0.3984375
199,-0.35742188
200,-0.087890625
201,-0.041015625
202,-0.16308594
203,-0.17089844
204,-0.0006980896
205,-0.21875
206,0.11816406
207,-0.26953125
208,-0.21191406
209,0.045410156
210,-0.15722656
211,0.008178711
212,-0.12988281
213,0.30078125
214,-0.19238281
215,0.03857422
216,0.24316406
217,-0.03930664
218,0.09423828
219,-0.24707031
220,-0.34960938
221,-0.17382812
222,-0.12792969
223,-0.033935547
224,-0.14160156
225,0.049804688
226,0.3046875
227,0.08154297
228,0.24511719
229,-0.23730469
230,-0.1953125
231,-0.07373047
232,0.15527344
233,-0.059326172
234,0.020019531
235,0.36914062
236,-0.061523438
237,0.36132812
238,-0.07324219
239,-0.032714844
240,0.23144531
241,0.004333496
242,0.09326172
243,0.25195312
244,0.01965332
245,0.16503906
246,-0.103027344
247,0.079589844
248,0.061767578
249,-0.10498047
250,0.296875
251,0.118652344
252,0.21972656
253,0.37890625
254,0.059326172
255,0.31445312
256,0.46484375
257,0.11816406
258,0.11279297
259,0.076171875
260,0.37890625
261,-0.09716797
262,0.19335938
263,0.17773438
264,0.47460938
265,-0.045898438
266,-0.20703125
267,-0.26367188
268,-0.01977539
269,-0.014709473
270,0.19628906
271,0.23339844
272,0.11816406
273,0.1484375
274,0.31445312
275,-0.13378906
276,0.20605469
277,0.13085938
278,-0.18945312
279,0.018554688
280,-0.063964844
281,0.1875
282,-0.064941406
283,0.088378906
284,-0.20898438
285,0.087402344
286,0.037353516
287,0.04248047
288,-0.015625
289,0.23730469
290,0.23925781
291,0.3046875
292,-0.27539062
293,-0.018432617
294,0.03149414
295,0.18652344
296,-0.1484375
297,0.048828125
298,0.34570312
299,0.30078125
