,Curaçao
0,-0.125
1,-0.375
2,-0.24804688
3,0.25
4,-0.23925781
5,-0.19921875
6,-0.17480469
7,-0.11767578
8,-0.0019989014
9,0.0859375
10,0.13183594
11,0.035888672
12,-0.05102539
13,-0.12890625
14,0.13378906
15,0.35351562
16,-0.18652344
17,0.15234375
18,-0.06982422
19,0.43164062
20,0.33789062
21,-0.37890625
22,0.42382812
23,0.104003906
24,0.033691406
25,0.16992188
26,0.09667969
27,-0.08154297
28,-0.26367188
29,0.2890625
30,0.35546875
31,-0.16992188
32,-0.27929688
33,0.23730469
34,-0.13671875
35,-0.24414062
36,-0.10644531
37,-0.34570312
38,0.15917969
39,-0.30859375
40,0.017944336
41,0.15820312
42,0.09716797
43,0.27539062
44,-0.15722656
45,-0.19140625
46,-0.3359375
47,-0.28125
48,-0.08496094
49,0.36523438
50,-0.23730469
51,-0.14941406
52,0.17089844
53,-0.36523438
54,-0.35742188
55,0.36914062
56,-0.24902344
57,0.092285156
58,-0.31640625
59,-0.111816406
60,0.16601562
61,0.036376953
62,0.1484375
63,0.04272461
64,0.6328125
65,-0.19824219
66,-0.072753906
67,-0.26171875
68,-0.10986328
69,0.024658203
70,-0.06201172
71,0.35351562
72,0.0703125
73,0.05908203
74,0.11767578
75,-0.09716797
76,0.4140625
77,0.009094238
78,-0.00970459
79,0.06738281
80,-0.33789062
81,-0.16503906
82,-0.17773438
83,-0.008056641
84,0.06347656
85,-0.18457031
86,0.15917969
87,0.025756836
88,0.265625
89,0.37890625
90,-0.053222656
91,-0.23144531
92,-0.078125
93,0.19042969
94,-0.25
95,0.29492188
96,0.44140625
97,-0.24023438
98,0.15136719
99,0.203125
100,0.20410156
101,0.47460938
102,-0.05834961
103,0.06689453
104,0.016357422
105,-0.07470703
106,0.10107422
107,-0.32617188
108,-0.22070312
109,0.07714844
110,-0.17773438
111,-0.011779785
112,-0.15332031
113,-0.07421875
114,-0.20410156
115,0.059570312
116,-0.068359375
117,-0.09326172
118,0.29882812
119,-0.265625
120,-0.27539062
121,-0.30273438
122,-0.08496094
123,-0.10449219
124,0.14160156
125,0.1640625
126,-0.10449219
127,0.19628906
128,-0.39257812
129,0.31640625
130,-0.1875
131,0.22070312
132,-0.0062561035
133,-0.068359375
134,0.022460938
135,-0.23925781
136,-0.20507812
137,0.013305664
138,0.114746094
139,-0.19238281
140,-0.14453125
141,0.009399414
142,-0.025878906
143,-0.09033203
144,-0.064453125
145,0.18652344
146,-0.09423828
147,0.05493164
148,-0.17675781
149,0.11425781
150,0.107421875
151,-0.07324219
152,-0.375
153,-0.22949219
154,0.35742188
155,-0.13867188
156,-0.18066406
157,-0.07519531
158,0.27734375
159,0.07763672
160,0.068359375
161,0.1796875
162,0.15332031
163,-0.04345703
164,0.119140625
165,-0.18457031
166,-0.22363281
167,0.15429688
168,-0.029296875
169,0.24023438
170,-0.020751953
171,0.060302734
172,0.140625
173,-0.10546875
174,-0.4375
175,-0.1484375
176,-0.0066223145
177,-0.33789062
178,0.002090454
179,-0.23046875
180,0.111816406
181,-0.26367188
182,0.0859375
183,-0.12597656
184,-0.022460938
185,-0.20507812
186,0.17285156
187,-0.1796875
188,0.13574219
189,-0.088378906
190,-0.091308594
191,-0.125
192,0.03881836
193,0.04638672
194,-0.014587402
195,0.32421875
196,0.10986328
197,0.03515625
198,-0.14648438
199,-0.15332031
200,0.053710938
201,0.11035156
202,-0.05029297
203,-0.20898438
204,0.0046081543
205,-0.045166016
206,0.24414062
207,-0.15722656
208,-0.0703125
209,0.04663086
210,0.20117188
211,-0.17871094
212,-0.30078125
213,0.18066406
214,-0.022705078
215,-0.20410156
216,0.34179688
217,-0.046875
218,0.059570312
219,0.1171875
220,0.2734375
221,-0.036621094
222,-0.33398438
223,0.106933594
224,-0.328125
225,0.078125
226,0.34375
227,0.0234375
228,0.015319824
229,-0.016601562
230,-0.063964844
231,-0.28125
232,0.15332031
233,-0.27539062
234,-0.04711914
235,0.14257812
236,0.2421875
237,-0.10449219
238,0.2265625
239,0.13378906
240,-0.13867188
241,-0.21191406
242,-0.05810547
243,-0.13476562
244,0.078125
245,-0.020263672
246,0.13867188
247,0.06982422
248,0.22851562
249,-0.27734375
250,-0.17578125
251,0.24316406
252,0.0703125
253,0.02709961
254,0.06347656
255,-0.00038909912
256,0.27929688
257,-0.05053711
258,0.21191406
259,-0.16308594
260,0.55859375
261,0.19628906
262,-0.33398438
263,0.17773438
264,-0.0625
265,-0.14160156
266,-0.08886719
267,-0.017456055
268,-0.32226562
269,0.25195312
270,-0.018798828
271,0.31445312
272,-0.053710938
273,0.46679688
274,-0.22070312
275,0.16796875
276,0.009338379
277,0.13867188
278,-0.37890625
279,0.31054688
280,-0.030151367
281,-0.18554688
282,-0.0026855469
283,-0.12792969
284,0.14453125
285,0.09277344
286,0.18066406
287,0.11425781
288,-0.6796875
289,-0.16894531
290,-0.068359375
291,0.053466797
292,0.056152344
293,-0.22070312
294,-0.122558594
295,0.22363281
296,-0.140625
297,0.052490234
298,0.59375
299,0.063964844
