,Cyprus
0,0.35351562
1,-0.032470703
2,-0.18847656
3,-0.01940918
4,0.022583008
5,-0.17675781
6,-0.043945312
7,-0.29882812
8,-0.076171875
9,0.21289062
10,-0.103515625
11,0.045654297
12,0.10644531
13,-0.068359375
14,0.16015625
15,0.13574219
16,-0.11425781
17,0.030029297
18,0.1875
19,0.12060547
20,0.27539062
21,-0.041259766
22,0.07714844
23,0.16015625
24,-0.060546875
25,0.34960938
26,-0.053466797
27,0.20507812
28,0.06298828
29,0.08203125
30,-0.05126953
31,-0.30078125
32,0.12695312
33,-0.037353516
34,0.28710938
35,-0.22558594
36,-0.16503906
37,0.14453125
38,0.22070312
39,-0.1640625
40,0.19042969
41,-0.08496094
42,0.10498047
43,-0.011352539
44,0.07470703
45,-0.07470703
46,-0.4296875
47,0.079589844
48,0.036376953
49,0.079589844
50,0.037841797
51,0.27734375
52,0.018066406
53,0.015136719
54,-0.23339844
55,-0.12158203
56,-0.2890625
57,0.21679688
58,-0.20800781
59,-0.053466797
60,0.009033203
61,-0.06298828
62,0.29492188
63,0.07763672
64,-0.13085938
65,-0.1328125
66,0.28515625
67,-0.22070312
68,-0.30859375
69,-0.21972656
70,-0.23339844
71,-0.15332031
72,0.13671875
73,-0.091308594
74,-0.041992188
75,-0.095703125
76,0.12060547
77,-0.103027344
78,0.04321289
79,0.10595703
80,-0.4609375
81,-0.21679688
82,-0.033447266
83,-0.041015625
84,0.110839844
85,-0.0234375
86,-0.34375
87,-0.10205078
88,0.119628906
89,0.104003906
90,0.40625
91,-0.33007812
92,-0.6484375
93,0.02368164
94,-0.10839844
95,-0.15820312
96,0.05517578
97,-0.11767578
98,0.18164062
99,0.15820312
100,-0.004119873
101,0.080566406
102,0.29101562
103,-0.043945312
104,0.044433594
105,0.12597656
106,0.19628906
107,-0.10498047
108,0.064453125
109,0.057373047
110,0.017578125
111,-0.13085938
112,-0.075683594
113,0.11376953
114,0.006866455
115,0.038330078
116,0.17773438
117,0.040283203
118,0.30273438
119,0.17480469
120,-0.22851562
121,-0.017333984
122,-0.11816406
123,-0.103027344
124,-0.10888672
125,-0.100097656
126,0.015380859
127,0.06689453
128,-0.6484375
129,0.12695312
130,0.14648438
131,0.122558594
132,-0.51953125
133,-0.052978516
134,-0.19140625
135,-0.25195312
136,-0.26171875
137,-0.071777344
138,0.119140625
139,-0.08642578
140,0.12402344
141,-0.104003906
142,0.16699219
143,-0.05444336
144,-0.026489258
145,-0.022827148
146,-0.18945312
147,0.008361816
148,0.1640625
149,0.2890625
150,0.21386719
151,0.0031738281
152,0.05517578
153,-0.14355469
154,0.24316406
155,-0.10644531
156,-0.15820312
157,0.05517578
158,-0.0038604736
159,0.3046875
160,-0.296875
161,0.21875
162,0.07910156
163,-0.19433594
164,0.296875
165,0.091796875
166,-0.049560547
167,0.34765625
168,-0.16210938
169,0.1953125
170,-0.26171875
171,0.15332031
172,0.22167969
173,0.15039062
174,-0.07861328
175,-0.0023498535
176,0.140625
177,-0.04736328
178,-0.021728516
179,-0.39257812
180,0.008972168
181,-0.17089844
182,-0.047851562
183,0.21191406
184,0.044677734
185,0.16699219
186,0.056884766
187,-0.26367188
188,0.100097656
189,0.0024871826
190,-0.19238281
191,0.027832031
192,-0.016235352
193,0.05419922
194,0.20410156
195,0.48828125
196,0.27539062
197,0.07714844
198,0.028686523
199,-0.33007812
200,0.13378906
201,-0.022094727
202,-0.10449219
203,-0.11035156
204,0.076171875
205,0.005126953
206,0.084472656
207,-0.009155273
208,0.118652344
209,-0.15429688
210,-0.0703125
211,-0.06933594
212,-0.061523438
213,0.33398438
214,-0.14160156
215,0.024536133
216,0.0625
217,-0.029785156
218,0.24609375
219,-0.2578125
220,-0.05029297
221,-0.26757812
222,-0.06542969
223,-0.053710938
224,-0.15234375
225,-0.0037994385
226,0.110839844
227,-0.28710938
228,0.16894531
229,-0.140625
230,0.2734375
231,-0.12402344
232,-0.11279297
233,-0.20507812
234,0.10644531
235,0.23632812
236,-0.11425781
237,0.17871094
238,0.17675781
239,-0.084472656
240,0.18554688
241,-0.14648438
242,-0.111328125
243,0.1875
244,0.17480469
245,0.296875
246,-0.052001953
247,0.30664062
248,0.22851562
249,-0.024047852
250,0.13574219
251,-0.15234375
252,0.13867188
253,0.26171875
254,0.25
255,0.053710938
256,0.21875
257,0.0007324219
258,0.24414062
259,0.18359375
260,0.2890625
261,-0.041015625
262,0.099121094
263,0.076171875
264,0.34179688
265,-0.22558594
266,-0.27148438
267,-0.25390625
268,-0.29101562
269,-0.17480469
270,0.010009766
271,0.039794922
272,0.27539062
273,0.31445312
274,0.025024414
275,0.15332031
276,0.14550781
277,-0.29101562
278,-0.11230469
279,-0.24707031
280,-0.28125
281,0.32226562
282,-0.12158203
283,-0.022094727
284,0.24902344
285,-0.13476562
286,-0.26171875
287,0.06591797
288,-0.12792969
289,0.33984375
290,-0.07421875
291,0.14550781
292,-0.26171875
293,0.09375
294,0.11816406
295,0.36523438
296,-0.43554688
297,0.1171875
298,0.16796875
299,-0.045898438
