,Denmark
0,0.08300781
1,-0.16113281
2,0.07470703
3,-0.0019989014
4,-0.18847656
5,-0.078125
6,-0.045410156
7,-0.23632812
8,-0.010498047
9,0.1484375
10,0.0017318726
11,-0.06298828
12,-0.021240234
13,-0.15820312
14,-0.2109375
15,-0.16308594
16,-0.21191406
17,0.00076675415
18,-0.24511719
19,0.18847656
20,0.10107422
21,0.091796875
22,0.049072266
23,-0.03857422
24,-0.15917969
25,0.13964844
26,-0.13671875
27,-0.03173828
28,-0.072265625
29,0.16601562
30,0.07714844
31,-0.20800781
32,-0.10888672
33,-0.118652344
34,-0.12988281
35,-0.083496094
36,-0.19628906
37,0.099609375
38,0.13867188
39,0.096191406
40,0.17675781
41,0.10986328
42,-0.076171875
43,0.11767578
44,-0.119628906
45,0.30078125
46,-0.104003906
47,-0.21777344
48,0.0018615723
49,-0.041259766
50,-0.16210938
51,-0.055664062
52,-0.061767578
53,-0.17871094
54,-0.21289062
55,-0.10205078
56,-0.40820312
57,-0.19238281
58,-0.3203125
59,-0.100097656
60,-0.020629883
61,-0.01965332
62,0.040771484
63,-0.13476562
64,-0.050048828
65,-0.1953125
66,0.22070312
67,-0.22753906
68,-0.099121094
69,0.17773438
70,-0.061279297
71,-0.07910156
72,-0.005493164
73,-0.09863281
74,-0.06738281
75,-0.08203125
76,0.023803711
77,0.06201172
78,0.18066406
79,0.08105469
80,0.1015625
81,-0.26757812
82,0.1484375
83,-0.09033203
84,-0.059814453
85,-0.15136719
86,-0.10107422
87,-0.04638672
88,0.27929688
89,0.30273438
90,0.25195312
91,-0.13085938
92,-0.32226562
93,0.14648438
94,-0.06933594
95,-0.16699219
96,-0.060791016
97,-0.24023438
98,0.13574219
99,-0.044921875
100,0.14355469
101,-0.1328125
102,-0.017211914
103,0.45117188
104,-0.0072021484
105,0.034179688
106,0.020751953
107,-0.03540039
108,0.16601562
109,-0.049804688
110,0.14160156
111,0.068847656
112,-0.11279297
113,-0.265625
114,0.01159668
115,-0.19726562
116,0.04296875
117,0.018676758
118,0.42578125
119,0.11328125
120,-0.13476562
121,-0.32421875
122,0.064453125
123,-0.029663086
124,-0.18554688
125,0.03930664
126,-0.140625
127,0.02319336
128,-0.45703125
129,0.095703125
130,-0.07714844
131,0.29492188
132,-0.17480469
133,-0.083496094
134,0.037353516
135,-0.23339844
136,-0.053466797
137,0.12988281
138,-0.12109375
139,-0.09814453
140,0.17578125
141,-0.08251953
142,0.18164062
143,-0.27929688
144,0.087890625
145,0.09375
146,-0.024291992
147,-0.0072021484
148,-0.123535156
149,0.1953125
150,0.16308594
151,-0.072265625
152,0.125
153,-0.11230469
154,0.100097656
155,-0.2734375
156,0.018676758
157,-0.034179688
158,0.064941406
159,-0.022094727
160,-0.080566406
161,0.0625
162,0.27734375
163,-0.027709961
164,0.13769531
165,-0.18457031
166,-0.080078125
167,0.053955078
168,-0.27148438
169,0.039794922
170,-0.20117188
171,0.079589844
172,-0.19921875
173,0.01159668
174,-0.23730469
175,-0.06640625
176,0.06933594
177,0.15625
178,-0.14453125
179,0.07519531
180,0.18261719
181,-0.31054688
182,-0.045898438
183,0.05444336
184,0.21191406
185,0.024536133
186,0.107421875
187,-0.19824219
188,-0.05810547
189,0.43554688
190,-0.06591797
191,-0.17675781
192,0.16992188
193,-0.095214844
194,0.1328125
195,0.1953125
196,0.19824219
197,0.04248047
198,-0.17480469
199,-0.33203125
200,-0.171875
201,-0.07519531
202,0.23046875
203,-0.21484375
204,-0.057617188
205,-0.0119018555
206,0.06347656
207,-0.096191406
208,-0.048583984
209,0.018676758
210,0.12890625
211,-0.032226562
212,-0.09667969
213,0.27539062
214,0.00064849854
215,-0.18945312
216,0.042236328
217,-0.06982422
218,0.09472656
219,-0.09423828
220,0.09472656
221,-0.2578125
222,0.171875
223,-0.29101562
224,-0.31835938
225,-0.17871094
226,-0.08251953
227,0.05078125
228,0.32421875
229,-0.3515625
230,-0.032226562
231,0.16992188
232,-0.009521484
233,0.1953125
234,0.16113281
235,0.11035156
236,-0.003112793
237,0.33984375
238,0.018066406
239,-0.064453125
240,0.16796875
241,-0.02758789
242,0.1328125
243,-0.15039062
244,-0.053466797
245,-0.057128906
246,-0.1328125
247,-0.049804688
248,0.006713867
249,-0.3359375
250,-0.13671875
251,0.25390625
252,0.15332031
253,0.26367188
254,-0.16503906
255,0.1796875
256,-0.06591797
257,0.012268066
258,0.06225586
259,-0.20898438
260,0.23046875
261,0.12060547
262,-0.10205078
263,-0.01586914
264,0.21972656
265,0.19921875
266,-0.32421875
267,-0.12060547
268,0.29101562
269,0.118652344
270,-0.01965332
271,0.018920898
272,0.17675781
273,-0.07763672
274,0.05908203
275,0.103027344
276,-0.21484375
277,0.20996094
278,-0.064453125
279,0.106933594
280,-0.11328125
281,-0.24804688
282,-0.040039062
283,0.15820312
284,-0.26171875
285,0.052001953
286,0.21191406
287,-0.20507812
288,-0.012939453
289,0.14941406
290,0.12695312
291,0.084472656
292,0.004119873
293,0.048095703
294,-0.27539062
295,0.24609375
296,-0.05493164
297,0.15820312
298,0.2734375
299,0.1640625
