,Ecuador
0,-0.14550781
1,-0.0028533936
2,0.17089844
3,0.15820312
4,-0.032470703
5,-0.14648438
6,-0.21875
7,-0.25585938
8,-0.091796875
9,-0.068847656
10,0.08544922
11,-0.057617188
12,0.095214844
13,0.018554688
14,0.06347656
15,0.03149414
16,-0.15820312
17,0.2890625
18,0.21777344
19,0.17773438
20,0.21777344
21,-0.19433594
22,-0.03125
23,0.087402344
24,0.0049438477
25,-0.118652344
26,-0.16992188
27,-0.34179688
28,-0.033691406
29,0.26953125
30,0.09326172
31,-0.0546875
32,-0.33203125
33,-0.265625
34,-0.1875
35,0.07128906
36,-0.17382812
37,-0.24707031
38,0.16210938
39,0.038330078
40,-0.0072631836
41,0.13476562
42,0.16113281
43,0.052001953
44,0.06542969
45,0.13085938
46,-0.0048828125
47,-0.103027344
48,-0.010681152
49,0.15429688
50,-0.31445312
51,-0.13574219
52,0.21484375
53,-0.32226562
54,-0.2109375
55,0.21875
56,-0.43554688
57,-0.09863281
58,-0.104003906
59,-0.063964844
60,0.017822266
61,0.061279297
62,-0.072265625
63,0.016357422
64,0.041992188
65,-0.43164062
66,0.15039062
67,-0.20507812
68,0.095703125
69,-0.053222656
70,-0.27539062
71,-0.036132812
72,-0.0033874512
73,-0.1171875
74,0.041992188
75,-0.018310547
76,0.11035156
77,-0.048339844
78,-0.037109375
79,0.1875
80,-0.3828125
81,0.15917969
82,-0.17285156
83,-0.11767578
84,0.08154297
85,-0.48632812
86,-0.10058594
87,0.32226562
88,0.030029297
89,-0.107910156
90,0.30859375
91,-0.013061523
92,-0.33007812
93,0.14550781
94,-0.26757812
95,0.00793457
96,-0.13867188
97,-0.24804688
98,0.27148438
99,-0.0033874512
100,-0.07763672
101,0.14941406
102,-0.048095703
103,-0.07470703
104,0.15820312
105,0.008117676
106,0.35546875
107,-0.40429688
108,-0.22753906
109,0.0032653809
110,-0.063964844
111,0.0390625
112,-0.022705078
113,-0.19335938
114,-0.087890625
115,0.107421875
116,-0.11816406
117,0.15039062
118,0.26171875
119,0.29296875
120,0.10253906
121,-0.33984375
122,-0.12695312
123,0.111816406
124,-0.11328125
125,0.34960938
126,-0.016723633
127,-0.16015625
128,-0.3828125
129,0.091308594
130,-0.27929688
131,0.07128906
132,-0.004638672
133,-0.11767578
134,-0.047851562
135,-0.13085938
136,-0.35351562
137,-0.22460938
138,0.008850098
139,-0.021118164
140,-0.21972656
141,-0.21289062
142,0.09326172
143,0.083984375
144,0.18261719
145,0.0022583008
146,-0.013244629
147,0.095214844
148,-0.06933594
149,-0.057617188
150,0.32617188
151,-0.25976562
152,-0.14257812
153,-0.011962891
154,0.18457031
155,0.044677734
156,-0.32617188
157,0.28515625
158,0.06738281
159,0.39257812
160,0.036621094
161,0.18945312
162,-0.0036315918
163,0.11328125
164,0.2109375
165,0.08105469
166,0.019042969
167,-0.12695312
168,0.171875
169,0.1640625
170,-0.29882812
171,0.234375
172,0.05810547
173,-0.07080078
174,0.03881836
175,-0.30273438
176,0.008483887
177,-0.23828125
178,-0.09765625
179,0.057128906
180,-0.27734375
181,-0.25585938
182,-0.23925781
183,0.010803223
184,0.19921875
185,0.005218506
186,-0.11767578
187,-0.115722656
188,0.052490234
189,-0.048828125
190,-0.24609375
191,-0.22753906
192,0.0021209717
193,-0.18945312
194,-0.099609375
195,0.2890625
196,-0.15722656
197,-0.055908203
198,-0.27734375
199,-0.12109375
200,0.08203125
201,-0.017578125
202,-0.110839844
203,0.021362305
204,0.051757812
205,-0.018310547
206,-0.04736328
207,0.01977539
208,-0.39257812
209,-0.21289062
210,-0.06201172
211,0.05419922
212,-0.24511719
213,0.095214844
214,-0.037109375
215,0.08691406
216,-0.035888672
217,-0.03540039
218,-0.19726562
219,-0.16015625
220,-0.40625
221,-0.052490234
222,-0.17089844
223,-0.15820312
224,-0.18359375
225,-0.059570312
226,0.16015625
227,0.25390625
228,0.3828125
229,0.1875
230,-0.008850098
231,0.07714844
232,-0.09375
233,0.008361816
234,-0.008605957
235,0.43164062
236,-6.03497e-07
237,0.052734375
238,0.012145996
239,0.008056641
240,-0.084472656
241,-0.29296875
242,-0.028198242
243,0.110839844
244,-0.265625
245,0.10986328
246,-0.38085938
247,-0.27929688
248,0.028320312
249,-0.049560547
250,-0.20117188
251,-0.028198242
252,0.060791016
253,-0.026733398
254,0.15429688
255,-0.12890625
256,0.22070312
257,0.04345703
258,0.203125
259,-0.020141602
260,0.23925781
261,0.25585938
262,0.18457031
263,0.38085938
264,0.29296875
265,-0.04638672
266,-0.265625
267,0.072753906
268,0.07421875
269,-0.10986328
270,-0.13085938
271,0.3125
272,0.1328125
273,-0.038085938
274,0.2109375
275,0.15332031
276,-0.18554688
277,0.025146484
278,0.13964844
279,0.13769531
280,0.2734375
281,-0.05834961
282,0.0012359619
283,0.22363281
284,-0.19824219
285,0.0021972656
286,-0.053466797
287,-0.1015625
288,0.13867188
289,0.075683594
290,0.04321289
291,-0.17285156
292,-0.16601562
293,-0.012817383
294,0.19238281
295,0.375
296,0.10107422
297,0.083984375
298,0.25585938
299,0.08203125
