,Eritrea
0,-0.048095703
1,0.095703125
2,0.32226562
3,0.09716797
4,-0.123046875
5,-0.19238281
6,-0.012939453
7,-0.19628906
8,-0.50390625
9,0.16796875
10,0.007171631
11,0.041748047
12,-0.07080078
13,0.09082031
14,0.28320312
15,0.2265625
16,-0.16601562
17,0.08300781
18,-0.16992188
19,0.01184082
20,0.2109375
21,-0.03515625
22,-0.14550781
23,-0.13085938
24,0.421875
25,0.19042969
26,0.25195312
27,0.14160156
28,0.29882812
29,-0.23242188
30,0.05834961
31,-0.2890625
32,-0.06542969
33,-0.056152344
34,-0.15039062
35,0.013977051
36,-0.17285156
37,0.115722656
38,0.30273438
39,-0.18652344
40,0.03173828
41,0.21289062
42,0.096191406
43,0.12011719
44,0.18066406
45,0.33203125
46,-0.28125
47,0.08691406
48,0.018066406
49,-0.21777344
50,-0.030395508
51,-0.35546875
52,-0.42578125
53,-0.32617188
54,-0.15429688
55,-0.05029297
56,-0.3828125
57,0.26171875
58,-0.24902344
59,-0.1171875
60,0.051513672
61,0.022705078
62,0.4140625
63,0.044189453
64,-0.076171875
65,-0.24804688
66,0.024414062
67,-0.3203125
68,-0.18554688
69,0.08935547
70,-0.10546875
71,0.008117676
72,-0.030761719
73,0.026489258
74,-0.02331543
75,-0.48242188
76,0.022094727
77,-0.0065307617
78,-0.1640625
79,0.15429688
80,-0.15136719
81,-0.15917969
82,-0.075683594
83,0.119628906
84,-0.23828125
85,-0.29882812
86,0.09765625
87,0.026855469
88,0.049072266
89,0.10644531
90,-0.20605469
91,-0.095703125
92,-0.39453125
93,-0.02355957
94,0.25
95,-0.28710938
96,-0.033691406
97,0.119140625
98,0.26367188
99,0.20898438
100,-0.234375
101,0.091796875
102,-0.024902344
103,-0.28320312
104,-0.10107422
105,0.29101562
106,0.14941406
107,0.13378906
108,-0.07128906
109,-0.06933594
110,-0.025512695
111,-0.16601562
112,0.049804688
113,-0.079589844
114,-0.16308594
115,-0.25390625
116,0.20410156
117,0.39257812
118,0.36132812
119,-0.038330078
120,-0.3046875
121,0.060546875
122,-0.28515625
123,0.11035156
124,-0.41992188
125,0.3359375
126,-0.3828125
127,0.115722656
128,-0.69921875
129,0.10839844
130,0.24414062
131,0.35742188
132,0.026855469
133,-0.005126953
134,-0.21777344
135,-0.11767578
136,-0.18847656
137,-0.34960938
138,0.11328125
139,0.30078125
140,0.083496094
141,0.06298828
142,0.099609375
143,-0.18066406
144,-0.033447266
145,0.07324219
146,-0.06738281
147,0.23339844
148,-0.036376953
149,0.22460938
150,0.2734375
151,-0.08300781
152,-0.12207031
153,0.005859375
154,0.28125
155,-0.16308594
156,0.13964844
157,0.3671875
158,-0.13183594
159,-0.10205078
160,-0.34765625
161,0.16210938
162,0.125
163,-0.067871094
164,-0.13378906
165,-0.33398438
166,0.09277344
167,0.122558594
168,0.091308594
169,0.328125
170,-0.18066406
171,0.100097656
172,0.037597656
173,0.12207031
174,-0.06225586
175,-0.021850586
176,0.11816406
177,-0.41015625
178,0.05859375
179,-0.5
180,-0.45507812
181,-0.13671875
182,-0.12695312
183,0.05908203
184,-0.23339844
185,-0.041015625
186,-0.04345703
187,-0.10839844
188,0.12060547
189,0.25585938
190,-0.125
191,-0.104003906
192,-0.26171875
193,-0.25976562
194,0.031982422
195,0.34765625
196,-0.067871094
197,-0.14941406
198,-0.13085938
199,-0.22265625
200,0.17285156
201,-0.029785156
202,0.0035705566
203,-0.23242188
204,0.008544922
205,0.071777344
206,0.06347656
207,-0.11230469
208,-0.087890625
209,-0.17578125
210,0.030639648
211,-0.04321289
212,-0.014587402
213,0.040039062
214,-0.2734375
215,0.060546875
216,-0.06982422
217,0.19238281
218,0.072265625
219,-0.29882812
220,-0.067871094
221,0.15429688
222,0.15234375
223,0.15332031
224,0.05859375
225,-0.014404297
226,0.21582031
227,0.08886719
228,0.53515625
229,-0.12695312
230,0.1015625
231,0.06542969
232,-0.1484375
233,-0.051757812
234,0.25390625
235,0.13183594
236,0.044433594
237,0.1875
238,0.23046875
239,-0.1484375
240,0.265625
241,-0.18652344
242,0.041992188
243,0.092285156
244,0.265625
245,0.08300781
246,-0.51171875
247,-0.23730469
248,-0.12011719
249,-0.28515625
250,0.109375
251,-0.08544922
252,0.00048828125
253,0.17382812
254,0.16113281
255,0.06591797
256,0.22070312
257,-0.045166016
258,0.16992188
259,0.31835938
260,-0.0859375
261,0.3984375
262,0.26757812
263,0.27734375
264,0.03564453
265,0.171875
266,-0.59375
267,-0.21875
268,0.06298828
269,-0.017578125
270,-0.06640625
271,0.21972656
272,0.375
273,0.1953125
274,0.111816406
275,0.140625
276,-0.13085938
277,-0.10839844
278,0.26171875
279,-0.15039062
280,-0.06982422
281,-0.122558594
282,-0.012207031
283,-0.17089844
284,-0.13476562
285,-0.31835938
286,-0.10986328
287,0.15527344
288,0.17382812
289,0.12988281
290,-0.007507324
291,0.35351562
292,-0.100097656
293,-0.028930664
294,0.17382812
295,0.111816406
296,-0.3359375
297,0.08496094
298,-0.0027313232
299,0.28515625
