,Estonia
0,0.3203125
1,-0.24707031
2,-0.12109375
3,0.16210938
4,-0.026245117
5,-0.020507812
6,0.20214844
7,-0.111816406
8,-0.11376953
9,-0.0056762695
10,0.08300781
11,-0.087890625
12,0.008239746
13,-0.055419922
14,-0.03149414
15,-0.055419922
16,-0.19726562
17,-0.0019378662
18,-0.18847656
19,-0.08935547
20,0.43945312
21,-0.0390625
22,0.11328125
23,0.10253906
24,-0.083984375
25,0.21679688
26,-0.31445312
27,-0.010559082
28,-0.040771484
29,0.375
30,-0.23242188
31,-0.3046875
32,0.064453125
33,-0.19335938
34,0.036621094
35,-0.3984375
36,-0.3984375
37,0.019042969
38,0.125
39,-0.031982422
40,0.03515625
41,0.06225586
42,0.46875
43,0.06347656
44,0.29296875
45,0.21289062
46,-0.12792969
47,-0.10498047
48,-0.016113281
49,0.31835938
50,-0.22070312
51,0.15527344
52,-0.060058594
53,0.06982422
54,-0.14160156
55,0.1875
56,-0.5703125
57,0.04345703
58,-0.1484375
59,-0.059570312
60,0.203125
61,-0.114746094
62,0.0025634766
63,-0.11279297
64,0.23144531
65,-0.21191406
66,0.3515625
67,-0.025756836
68,-0.091796875
69,0.17089844
70,-0.3046875
71,-0.24023438
72,0.07080078
73,-0.19824219
74,-0.13085938
75,-0.21777344
76,0.35351562
77,0.025878906
78,-0.14550781
79,0.28710938
80,-0.12792969
81,-0.35742188
82,0.13867188
83,0.011474609
84,0.16113281
85,-0.20800781
86,-0.06933594
87,-0.12988281
88,0.21386719
89,0.3671875
90,0.26171875
91,-0.22558594
92,-0.31835938
93,0.22363281
94,-0.25195312
95,-0.24511719
96,-0.19140625
97,-0.15820312
98,0.0071105957
99,0.114746094
100,0.0390625
101,0.040771484
102,0.063964844
103,0.10644531
104,0.00037002563
105,-0.01940918
106,-0.057128906
107,0.048583984
108,0.08886719
109,-0.26171875
110,-0.034179688
111,-0.123535156
112,-0.017578125
113,-0.21386719
114,-0.15234375
115,0.053955078
116,0.00090026855
117,-0.04711914
118,0.3125
119,0.296875
120,-0.16601562
121,0.08300781
122,0.15136719
123,0.13867188
124,0.047851562
125,0.049072266
126,0.008972168
127,0.11767578
128,-0.61328125
129,-0.07324219
130,-0.1640625
131,0.22363281
132,-0.10595703
133,0.06689453
134,0.044921875
135,-0.040771484
136,-0.17773438
137,0.123046875
138,-0.068847656
139,-0.24023438
140,0.10498047
141,0.017822266
142,0.09423828
143,0.11669922
144,-0.091308594
145,0.021118164
146,0.00680542
147,0.063964844
148,-0.359375
149,0.1328125
150,0.29492188
151,-0.037597656
152,0.20410156
153,-0.096191406
154,0.25195312
155,0.088378906
156,-0.09667969
157,0.11425781
158,0.18847656
159,-0.039794922
160,0.072753906
161,0.15917969
162,0.038085938
163,-0.41015625
164,0.35351562
165,-0.24511719
166,-0.114746094
167,0.08984375
168,-0.32421875
169,0.25
170,-0.37890625
171,0.07080078
172,0.033691406
173,0.16796875
174,-0.11425781
175,-0.13085938
176,-0.084472656
177,-0.12890625
178,0.10107422
179,-0.12695312
180,0.46484375
181,-0.28515625
182,-0.15820312
183,-0.13183594
184,0.22753906
185,0.078125
186,0.22167969
187,-0.071777344
188,0.03515625
189,0.18066406
190,-0.2421875
191,-0.27734375
192,0.02758789
193,0.0625
194,0.19335938
195,0.15527344
196,0.07910156
197,0.046142578
198,-0.33203125
199,-0.390625
200,-0.107421875
201,0.095214844
202,0.29882812
203,-0.109375
204,-0.092285156
205,-0.068847656
206,0.18554688
207,-0.12597656
208,-0.28710938
209,-0.037353516
210,0.07861328
211,-0.06591797
212,-0.22460938
213,0.21386719
214,-0.35546875
215,-0.0018157959
216,-0.0007247925
217,-0.027832031
218,-0.020263672
219,-0.025878906
220,-0.04736328
221,-0.13867188
222,0.048828125
223,-0.12988281
224,-0.2734375
225,-0.20410156
226,0.15332031
227,-0.079589844
228,0.3046875
229,-0.27929688
230,-0.11230469
231,-0.036621094
232,0.122558594
233,-0.026123047
234,0.023925781
235,0.296875
236,-0.20703125
237,-0.018676758
238,0.051513672
239,-0.015258789
240,0.06542969
241,-0.0703125
242,-0.17089844
243,0.023803711
244,0.05053711
245,0.17089844
246,-0.035888672
247,0.095703125
248,-0.0078125
249,-0.20507812
250,-0.11669922
251,0.171875
252,0.17773438
253,0.34570312
254,-0.16015625
255,0.18457031
256,0.2890625
257,0.2578125
258,0.20898438
259,-0.0234375
260,0.21972656
261,-0.030395508
262,0.16894531
263,0.26171875
264,0.390625
265,0.052246094
266,-0.40820312
267,-0.20117188
268,-0.021362305
269,0.015625
270,0.03149414
271,-0.0057373047
272,0.1953125
273,0.1875
274,0.060791016
275,-0.20605469
276,0.18945312
277,0.14941406
278,-0.042236328
279,0.045166016
280,-0.0028076172
281,0.17089844
282,0.05444336
283,0.04248047
284,-0.5
285,-0.15332031
286,-0.17480469
287,-0.099121094
288,0.030639648
289,0.30859375
290,0.10888672
291,-0.017089844
292,-0.16210938
293,-0.057861328
294,0.15039062
295,0.13964844
296,-0.15234375
297,0.07128906
298,0.15234375
299,0.2578125
