,European_Union
0,-0.049316406
1,-0.30664062
2,0.28125
3,0.12109375
4,-0.17089844
5,-0.16699219
6,0.020507812
7,-0.1796875
8,-0.020507812
9,-0.025390625
10,-0.10498047
11,0.0015792847
12,0.13769531
13,-0.32226562
14,-0.34179688
15,-0.16601562
16,-0.08251953
17,-0.0053100586
18,-0.083984375
19,-0.0107421875
20,0.21582031
21,0.115722656
22,0.091796875
23,0.100097656
24,0.18945312
25,0.11621094
26,-0.21484375
27,0.119628906
28,0.10253906
29,0.118652344
30,-0.056152344
31,-0.22460938
32,0.13671875
33,0.07861328
34,0.007446289
35,-0.14257812
36,-0.17675781
37,0.12792969
38,0.080566406
39,0.08984375
40,0.24414062
41,0.061035156
42,0.15625
43,0.24902344
44,0.11035156
45,0.095214844
46,-0.30078125
47,0.2734375
48,-0.328125
49,0.16113281
50,-0.009887695
51,0.08544922
52,-0.09814453
53,0.14453125
54,0.23339844
55,-0.087890625
56,-0.42578125
57,0.075683594
58,-0.34765625
59,-0.05834961
60,-0.16601562
61,-0.1875
62,0.03564453
63,0.026367188
64,0.234375
65,-0.11328125
66,0.0625
67,0.13574219
68,-0.15820312
69,-0.203125
70,-0.08935547
71,0.29882812
72,0.23730469
73,0.13964844
74,-0.16308594
75,-0.083496094
76,0.20800781
77,0.009399414
78,0.13769531
79,0.4453125
80,-0.328125
81,-0.2578125
82,0.0138549805
83,0.10888672
84,0.10107422
85,0.19042969
86,-0.10449219
87,-0.31445312
88,0.111816406
89,0.26171875
90,-0.12402344
91,-0.12060547
92,-0.28710938
93,0.012817383
94,-0.08691406
95,-0.27148438
96,-0.045898438
97,-0.36523438
98,0.38476562
99,-0.06640625
100,0.048828125
101,0.07910156
102,-0.13574219
103,-0.05883789
104,0.171875
105,0.15234375
106,-0.16113281
107,-0.14648438
108,0.3359375
109,-0.11621094
110,0.12695312
111,-0.16308594
112,0.11816406
113,0.36328125
114,0.2734375
115,0.13671875
116,-0.14746094
117,-0.0049438477
118,0.38867188
119,0.28710938
120,0.103515625
121,-0.056640625
122,-0.34960938
123,-0.24121094
124,-0.07763672
125,-0.060546875
126,0.11279297
127,-0.063964844
128,-0.3828125
129,0.060058594
130,0.18359375
131,0.27539062
132,-0.15917969
133,-0.09326172
134,-0.21875
135,-0.18164062
136,-0.045654297
137,-0.24121094
138,0.25
139,-0.26953125
140,0.20507812
141,0.041015625
142,-0.22265625
143,0.096191406
144,0.0859375
145,-0.1015625
146,0.25
147,0.15429688
148,-0.24511719
149,-0.05053711
150,0.13769531
151,-0.033691406
152,-0.115234375
153,-0.123535156
154,0.42578125
155,-0.22851562
156,-0.203125
157,-0.013305664
158,0.052734375
159,0.16503906
160,-0.140625
161,-0.028076172
162,0.091796875
163,-0.34960938
164,0.15722656
165,-0.19433594
166,0.24316406
167,0.036376953
168,-0.021484375
169,0.11621094
170,-0.14746094
171,-0.071777344
172,0.095214844
173,0.12060547
174,-0.13476562
175,-0.45117188
176,0.055908203
177,-0.0032196045
178,0.034423828
179,-0.04248047
180,0.09423828
181,-0.00049972534
182,0.3046875
183,-0.12988281
184,0.27929688
185,0.23925781
186,0.05126953
187,-0.076171875
188,-0.05517578
189,0.036376953
190,-0.14160156
191,-0.09326172
192,-0.091308594
193,-0.022338867
194,0.17089844
195,0.34570312
196,0.013244629
197,-0.26171875
198,-0.19628906
199,-0.43359375
200,-0.03540039
201,-0.11035156
202,-0.011352539
203,0.18359375
204,0.04345703
205,0.11767578
206,0.3125
207,-0.2421875
208,-0.14355469
209,-0.25
210,-0.16699219
211,-0.23242188
212,-0.16210938
213,0.55078125
214,-0.11767578
215,-0.022949219
216,-0.17675781
217,0.0006904602
218,0.12792969
219,0.0028686523
220,-0.20117188
221,-0.10888672
222,-0.02746582
223,0.22070312
224,-0.080566406
225,-0.15234375
226,0.28515625
227,0.123535156
228,0.44335938
229,-0.16210938
230,-0.067871094
231,-0.028320312
232,0.18066406
233,-0.0625
234,0.05029297
235,0.057861328
236,-0.12060547
237,0.16601562
238,-0.02746582
239,-0.31445312
240,-0.017578125
241,0.002380371
242,0.064453125
243,0.16894531
244,0.1796875
245,-0.068359375
246,-0.100097656
247,-0.36328125
248,0.045654297
249,-0.19824219
250,-0.0054016113
251,0.092285156
252,-0.041259766
253,0.27148438
254,-0.049072266
255,0.057373047
256,0.38671875
257,-0.29492188
258,0.28125
259,-0.11328125
260,-0.021240234
261,0.06225586
262,-0.05908203
263,0.234375
264,0.25976562
265,-0.05493164
266,-0.25195312
267,-0.41992188
268,-0.30273438
269,-0.17773438
270,-0.115722656
271,0.12451172
272,0.22753906
273,-0.0390625
274,-0.24804688
275,-0.024902344
276,0.055908203
277,0.11230469
278,-0.17089844
279,-0.020507812
280,-0.25976562
281,0.23144531
282,-0.09472656
283,0.17675781
284,-0.04345703
285,0.099609375
286,-0.111328125
287,0.31835938
288,0.17089844
289,0.14746094
290,-0.026489258
291,-0.010864258
292,-0.064941406
293,0.07373047
294,0.04321289
295,0.34179688
296,0.12695312
297,0.17773438
298,0.29492188
299,-0.03515625
