,Eurozone
0,0.15234375
1,-0.110839844
2,-0.13671875
3,0.42382812
4,-0.35351562
5,0.100097656
6,-0.061035156
7,-0.061767578
8,0.044189453
9,0.042236328
10,-0.16308594
11,-0.115722656
12,0.21679688
13,-0.265625
14,-0.06640625
15,0.22460938
16,0.40820312
17,-0.03857422
18,0.067871094
19,-0.036621094
20,0.50390625
21,0.23144531
22,0.453125
23,0.07373047
24,0.12158203
25,0.35351562
26,-0.15625
27,0.35546875
28,0.03564453
29,0.07910156
30,-0.13085938
31,-0.5078125
32,0.40039062
33,-0.16503906
34,-0.34375
35,-0.21582031
36,0.07080078
37,-0.22070312
38,0.25
39,0.42578125
40,0.14453125
41,0.1328125
42,0.4453125
43,0.17871094
44,0.075683594
45,0.19726562
46,-0.18359375
47,0.0625
48,-0.09033203
49,0.18457031
50,-0.16015625
51,0.25585938
52,-0.1875
53,0.30859375
54,0.20996094
55,-0.06738281
56,-0.087890625
57,0.29101562
58,-0.08886719
59,-0.484375
60,-0.06542969
61,-0.15625
62,-0.07373047
63,-0.28320312
64,0.05053711
65,-0.16601562
66,-0.083984375
67,0.0079956055
68,0.140625
69,-0.07421875
70,-0.16601562
71,-0.036132812
72,0.27148438
73,0.053710938
74,0.12890625
75,-0.010559082
76,-0.051757812
77,-0.005645752
78,0.15820312
79,0.061523438
80,-0.32617188
81,-0.3984375
82,-0.34570312
83,0.11328125
84,0.39453125
85,-0.0063476562
86,-0.17089844
87,-0.21191406
88,0.029296875
89,0.068359375
90,-0.26367188
91,-0.43164062
92,-0.29296875
93,0.32226562
94,-0.52734375
95,-0.38867188
96,0.3359375
97,-0.28320312
98,0.31054688
99,-0.11669922
100,-0.0625
101,-0.009216309
102,0.09814453
103,-0.040527344
104,0.140625
105,-0.10253906
106,-0.28125
107,0.31054688
108,0.122558594
109,-0.14746094
110,0.12695312
111,-0.06542969
112,0.41210938
113,0.33398438
114,0.24511719
115,0.15332031
116,-0.08886719
117,-0.018066406
118,0.38085938
119,0.052001953
120,-0.018310547
121,-0.26367188
122,-0.18164062
123,0.12695312
124,0.12890625
125,-0.084472656
126,-0.27539062
127,-0.13867188
128,-0.609375
129,-0.10449219
130,0.114746094
131,0.007446289
132,-0.11767578
133,0.07080078
134,-0.099121094
135,-0.12402344
136,-0.063964844
137,-0.10839844
138,0.49804688
139,-0.115722656
140,0.031982422
141,-0.38476562
142,-0.27929688
143,0.107910156
144,-0.111816406
145,-0.16503906
146,0.21679688
147,0.2890625
148,0.0008468628
149,-0.1171875
150,-0.044921875
151,-0.27539062
152,0.28515625
153,0.028686523
154,0.060546875
155,-0.057861328
156,-0.23535156
157,-0.049560547
158,0.15136719
159,0.009094238
160,-0.026000977
161,-0.038330078
162,0.1484375
163,-0.40625
164,-0.017700195
165,-0.038085938
166,0.30859375
167,0.37695312
168,-0.22460938
169,0.421875
170,-0.35742188
171,-0.064453125
172,0.31054688
173,0.20996094
174,-0.27929688
175,-0.39257812
176,0.036621094
177,-0.24804688
178,0.41992188
179,-0.60546875
180,0.06298828
181,-0.22460938
182,0.14746094
183,-0.30078125
184,0.35742188
185,-0.26171875
186,-0.265625
187,-0.0058898926
188,0.053466797
189,0.20800781
190,0.06298828
191,-0.30273438
192,-0.37695312
193,-0.080078125
194,0.17089844
195,0.19238281
196,-0.07861328
197,-0.21875
198,-0.032226562
199,-0.5859375
200,-0.26171875
201,-0.119628906
202,-0.46875
203,-0.43554688
204,-0.17675781
205,-0.114746094
206,-0.08935547
207,-0.30859375
208,0.048828125
209,-0.39453125
210,0.16699219
211,-0.34570312
212,0.07128906
213,0.27539062
214,-0.3046875
215,-0.43945312
216,0.19628906
217,-0.20703125
218,0.07470703
219,0.084472656
220,-0.19335938
221,-0.15136719
222,-0.375
223,0.047851562
224,-0.43554688
225,0.11767578
226,0.43945312
227,0.07910156
228,0.42382812
229,0.01965332
230,-0.15917969
231,0.12695312
232,0.5
233,-0.14941406
234,-0.088378906
235,0.40820312
236,0.19042969
237,-0.12890625
238,0.12109375
239,0.026245117
240,0.16210938
241,0.24511719
242,0.018554688
243,-0.1875
244,0.07714844
245,-0.26171875
246,-0.17382812
247,0.026733398
248,-0.15039062
249,-0.10498047
250,-0.2734375
251,0.052246094
252,-0.42773438
253,0.4296875
254,0.034179688
255,-0.045898438
256,0.48828125
257,-0.05444336
258,0.6015625
259,-0.12695312
260,-0.1015625
261,-0.05859375
262,-0.07128906
263,0.20898438
264,0.19238281
265,0.24609375
266,-0.5703125
267,-0.51171875
268,-0.17480469
269,-0.028198242
270,0.1328125
271,0.20605469
272,0.32226562
273,0.026367188
274,0.10253906
275,0.17382812
276,0.375
277,0.16308594
278,-0.21972656
279,0.052001953
280,-0.26171875
281,0.15332031
282,0.3828125
283,-0.16113281
284,-0.030761719
285,-0.107421875
286,-0.08886719
287,-0.0052490234
288,0.16308594
289,0.37890625
290,0.24511719
291,0.06933594
292,0.16796875
293,0.18066406
294,-0.09375
295,0.5
296,-0.052734375
297,0.203125
298,0.16308594
299,-0.28710938
