,Falkland_Islands
0,-0.17382812
1,-0.38476562
2,-0.3671875
3,0.22070312
4,-0.08105469
5,-0.5234375
6,-0.19335938
7,-0.13964844
8,-0.14257812
9,-0.046142578
10,0.2734375
11,-0.13378906
12,-0.07519531
13,0.20996094
14,0.26953125
15,0.057373047
16,-0.024536133
17,0.40234375
18,0.25
19,-0.091308594
20,0.57421875
21,-0.27539062
22,0.15136719
23,0.31445312
24,0.16601562
25,0.08300781
26,-0.30664062
27,-0.20019531
28,0.11669922
29,0.33789062
30,0.2734375
31,-0.23632812
32,-0.39648438
33,-0.12792969
34,0.12890625
35,-0.055419922
36,-0.16308594
37,-0.0625
38,-0.21484375
39,0.05517578
40,0.040527344
41,0.4375
42,0.045898438
43,0.20019531
44,0.110839844
45,0.20898438
46,0.084472656
47,0.035888672
48,-0.27539062
49,-0.020263672
50,-0.15820312
51,-0.30664062
52,0.4296875
53,-0.0035095215
54,-0.032714844
55,0.18457031
56,-0.55859375
57,-0.22460938
58,0.05419922
59,-0.3671875
60,0.2109375
61,0.06689453
62,-0.1640625
63,0.041259766
64,0.096191406
65,0.106933594
66,-0.38476562
67,-0.3046875
68,-0.07373047
69,-0.5390625
70,-0.25195312
71,-0.43359375
72,0.27929688
73,0.04321289
74,-0.017944336
75,-0.41015625
76,0.21289062
77,-0.28125
78,-0.29296875
79,0.08691406
80,-0.10253906
81,0.1875
82,-0.25390625
83,0.016723633
84,0.203125
85,-0.12207031
86,-0.028442383
87,0.07910156
88,0.084472656
89,0.055419922
90,0.14160156
91,0.05810547
92,-0.16113281
93,0.063964844
94,0.09863281
95,0.05908203
96,0.3359375
97,-0.37109375
98,0.53515625
99,0.0119018555
100,0.16015625
101,0.31445312
102,-0.0036773682
103,0.21484375
104,-0.14648438
105,0.030761719
106,-0.0546875
107,-0.12109375
108,-0.14941406
109,0.03857422
110,-0.2734375
111,-0.1796875
112,0.22851562
113,0.56640625
114,0.029052734
115,-0.08886719
116,0.21777344
117,0.103027344
118,0.16796875
119,-0.09277344
120,-0.13085938
121,-0.3203125
122,0.080566406
123,0.048095703
124,-0.14257812
125,0.10253906
126,-0.51171875
127,0.10986328
128,-0.33398438
129,0.18164062
130,0.010681152
131,0.16894531
132,-0.54296875
133,0.5546875
134,-0.15625
135,-0.11669922
136,-0.11425781
137,-0.13183594
138,-0.1953125
139,0.25390625
140,-0.12597656
141,0.24609375
142,0.076660156
143,-0.12988281
144,0.05859375
145,-0.07373047
146,-0.3203125
147,-0.024047852
148,-0.171875
149,-0.09667969
150,0.1875
151,0.16699219
152,0.014526367
153,-0.16796875
154,-0.004333496
155,0.0703125
156,0.20605469
157,0.26367188
158,0.16992188
159,0.26953125
160,-0.29101562
161,0.58984375
162,0.38085938
163,-0.09716797
164,0.55859375
165,-0.33984375
166,-0.22851562
167,0.21386719
168,-0.083984375
169,0.080078125
170,0.041503906
171,0.32226562
172,0.4375
173,-0.20410156
174,-0.016357422
175,-0.44726562
176,-0.25195312
177,-0.03149414
178,0.008972168
179,-0.010192871
180,-0.27734375
181,-0.2890625
182,-0.27148438
183,-0.09277344
184,0.06933594
185,-0.29101562
186,0.31445312
187,0.028930664
188,0.3359375
189,-0.11669922
190,-0.49804688
191,0.06347656
192,-0.035888672
193,0.21875
194,0.26757812
195,0.5234375
196,0.46679688
197,-0.111816406
198,0.114746094
199,-0.17773438
200,0.37695312
201,0.036376953
202,-0.41796875
203,-0.0025939941
204,-0.012023926
205,0.26953125
206,0.045898438
207,-0.049560547
208,0.12792969
209,-0.24023438
210,-0.104003906
211,0.18847656
212,0.06982422
213,-0.07910156
214,-0.2578125
215,-0.30859375
216,0.35546875
217,-0.40429688
218,0.37109375
219,-0.06933594
220,-0.23046875
221,-0.015380859
222,-0.07910156
223,-0.091308594
224,-0.28125
225,-0.107421875
226,0.0026550293
227,-0.31445312
228,0.375
229,-0.04736328
230,0.2734375
231,-0.24804688
232,-0.27148438
233,0.12792969
234,-0.19433594
235,0.16113281
236,-0.0134887695
237,0.1015625
238,-0.11230469
239,-0.07910156
240,0.106933594
241,-0.5
242,0.080566406
243,-0.13183594
244,-0.055908203
245,0.23828125
246,-0.08544922
247,-0.31640625
248,0.2578125
249,0.3671875
250,-0.18457031
251,-0.18261719
252,0.076660156
253,-0.13964844
254,0.3046875
255,-0.140625
256,0.29296875
257,0.40625
258,-0.099609375
259,-0.030395508
260,0.53515625
261,0.25390625
262,0.080566406
263,-0.12792969
264,-0.12207031
265,-0.37695312
266,-0.30273438
267,-0.06591797
268,-0.079589844
269,0.032958984
270,-0.32226562
271,0.46679688
272,0.37304688
273,0.029663086
274,0.100097656
275,0.17285156
276,-0.11035156
277,0.055419922
278,-0.032958984
279,0.15625
280,0.09472656
281,-0.0546875
282,0.39257812
283,-0.017822266
284,0.5
285,-0.080078125
286,-0.62890625
287,-0.1796875
288,0.14453125
289,0.3671875
290,0.10498047
291,-0.34765625
292,-0.37304688
293,0.16210938
294,0.048339844
295,0.0063476562
296,-0.019897461
297,0.015380859
298,0.106933594
299,-0.31445312
