,Faroe_Islands
0,-0.034423828
1,-0.41015625
2,-0.10595703
3,0.027709961
4,0.16015625
5,-0.24707031
6,-0.26953125
7,-0.4609375
8,-0.10253906
9,0.37304688
10,0.027954102
11,0.06738281
12,-0.22167969
13,-0.20117188
14,-0.20019531
15,0.111328125
16,-0.23828125
17,0.33203125
18,-0.1953125
19,0.10888672
20,0.17578125
21,-0.28515625
22,-0.05493164
23,0.36132812
24,0.057128906
25,-0.09082031
26,0.07324219
27,-0.3828125
28,0.24414062
29,0.11279297
30,-0.016967773
31,0.08691406
32,-0.21191406
33,-0.1953125
34,0.11376953
35,-0.33789062
36,-0.33007812
37,0.31445312
38,0.41015625
39,-0.046875
40,0.09423828
41,0.421875
42,0.49609375
43,0.35742188
44,0.122558594
45,0.14355469
46,0.06640625
47,0.031982422
48,-0.24121094
49,-0.076660156
50,-0.123535156
51,-0.0390625
52,-0.099121094
53,-0.021118164
54,-0.43554688
55,-0.3203125
56,-0.22753906
57,0.03857422
58,-0.055908203
59,-0.25585938
60,-0.3515625
61,0.04736328
62,-0.047607422
63,-0.15429688
64,0.0072021484
65,-0.14257812
66,0.09375
67,0.091796875
68,-0.03955078
69,-0.04663086
70,0.041503906
71,-0.2890625
72,0.2578125
73,-0.25585938
74,-0.12109375
75,-0.22460938
76,0.14160156
77,-0.53515625
78,0.11279297
79,0.08886719
80,-0.17285156
81,-0.5390625
82,-0.30859375
83,0.107910156
84,0.3515625
85,0.15039062
86,0.111816406
87,-0.16699219
88,0.40039062
89,0.18164062
90,0.40234375
91,-0.16503906
92,-0.18359375
93,0.33007812
94,-0.05053711
95,-0.296875
96,0.04248047
97,-0.51171875
98,-0.12060547
99,-0.11035156
100,-0.0017242432
101,-0.17089844
102,-0.095703125
103,0.16699219
104,0.20214844
105,0.059814453
106,-0.044433594
107,-0.0049743652
108,0.35351562
109,-0.1875
110,0.032714844
111,0.055908203
112,0.20605469
113,-0.22851562
114,-0.23242188
115,-0.01184082
116,0.11767578
117,0.46679688
118,0.4609375
119,0.19335938
120,-0.34375
121,-0.15136719
122,0.140625
123,0.08203125
124,-0.03955078
125,0.05810547
126,-0.22265625
127,0.24707031
128,-0.51171875
129,0.013305664
130,-0.34375
131,0.5390625
132,0.0703125
133,0.14453125
134,0.114746094
135,-0.031982422
136,0.087402344
137,0.1328125
138,-0.080078125
139,-0.114746094
140,0.27539062
141,0.064453125
142,0.32226562
143,-0.060058594
144,0.22460938
145,0.21484375
146,-0.37695312
147,0.22460938
148,0.20703125
149,0.11816406
150,-0.06591797
151,0.046142578
152,-0.044189453
153,0.10205078
154,0.44335938
155,-0.21972656
156,-0.026367188
157,-0.001449585
158,0.034423828
159,0.17675781
160,0.17578125
161,0.140625
162,0.125
163,-0.1484375
164,0.21386719
165,-0.36914062
166,-0.40039062
167,0.23828125
168,-0.4765625
169,0.26171875
170,-0.22167969
171,0.43164062
172,0.27734375
173,0.25976562
174,-0.119628906
175,-0.0024414062
176,-0.100097656
177,0.37890625
178,-0.26171875
179,0.15625
180,0.44726562
181,-0.20996094
182,0.19335938
183,0.17382812
184,0.07080078
185,0.2578125
186,-0.18164062
187,-0.47851562
188,-0.02368164
189,0.24609375
190,-0.37304688
191,-0.25976562
192,0.0546875
193,0.07714844
194,0.18164062
195,0.21972656
196,0.18164062
197,0.58203125
198,-0.39648438
199,0.05078125
200,-0.28125
201,-0.16601562
202,-0.115722656
203,-0.34765625
204,0.13574219
205,0.16113281
206,0.083496094
207,0.05053711
208,-0.23339844
209,-0.296875
210,-0.25
211,0.07080078
212,-0.296875
213,0.5390625
214,-0.375
215,0.0119018555
216,0.3515625
217,-0.076660156
218,-0.052978516
219,-0.35742188
220,-0.10546875
221,-0.04736328
222,0.12988281
223,0.040527344
224,-0.10839844
225,0.13183594
226,0.111816406
227,0.020629883
228,0.265625
229,-0.3359375
230,0.057861328
231,0.22167969
232,0.044677734
233,-0.05078125
234,0.0390625
235,0.05444336
236,0.28515625
237,0.50390625
238,-0.010131836
239,0.050048828
240,0.28515625
241,-0.23046875
242,0.328125
243,-0.25976562
244,-0.22070312
245,-0.09033203
246,-0.2890625
247,-0.012145996
248,0.12060547
249,-0.13964844
250,0.06738281
251,-0.114746094
252,0.27734375
253,0.25195312
254,0.22558594
255,0.032714844
256,0.30859375
257,0.07763672
258,0.095214844
259,-0.091308594
260,0.42773438
261,0.04248047
262,0.018188477
263,0.37304688
264,0.52734375
265,0.16113281
266,-0.625
267,-0.34570312
268,-0.09326172
269,-0.3671875
270,0.036865234
271,-0.11230469
272,0.17382812
273,0.36914062
274,-0.0859375
275,0.26171875
276,-0.044921875
277,0.45117188
278,-0.08105469
279,0.0099487305
280,-0.38085938
281,-0.048095703
282,-0.038330078
283,0.10595703
284,-0.21582031
285,0.17773438
286,-0.08691406
287,0.083984375
288,-0.051757812
289,0.234375
290,0.11425781
291,0.10498047
292,-0.42382812
293,-0.14746094
294,-0.01940918
295,0.15625
296,-0.18652344
297,0.083496094
298,0.41796875
299,0.36523438
