,Fiji
0,-0.04638672
1,-0.3125
2,0.09423828
3,-0.3984375
4,-0.33203125
5,-0.35351562
6,-0.12158203
7,-0.13867188
8,-0.064453125
9,0.012268066
10,0.095703125
11,-0.1953125
12,0.17382812
13,0.17382812
14,0.07421875
15,0.16113281
16,-0.075683594
17,0.014526367
18,-0.13574219
19,0.07910156
20,0.21289062
21,-0.29296875
22,0.13183594
23,-0.19824219
24,0.11230469
25,0.25390625
26,-0.20410156
27,-0.107910156
28,-0.13964844
29,0.14160156
30,0.07519531
31,-0.20800781
32,-0.23144531
33,0.021850586
34,0.46289062
35,0.0859375
36,-0.31445312
37,-0.045898438
38,-0.20605469
39,-0.18847656
40,-5.7935715e-05
41,0.024536133
42,0.0039367676
43,0.140625
44,-0.08300781
45,0.24414062
46,-0.40039062
47,-0.026245117
48,0.056396484
49,-0.013305664
50,0.049560547
51,-0.33007812
52,0.05908203
53,-0.27734375
54,-0.092285156
55,-0.25
56,-0.45117188
57,-0.037353516
58,0.0071105957
59,-0.3359375
60,-0.37304688
61,0.010986328
62,0.041748047
63,0.08300781
64,-0.02722168
65,0.13574219
66,0.23046875
67,-0.0703125
68,0.29101562
69,-0.1484375
70,-0.3828125
71,-0.30078125
72,-0.13183594
73,-0.063964844
74,-0.053955078
75,-0.31835938
76,0.1953125
77,-0.095703125
78,0.25195312
79,0.2578125
80,-0.28125
81,0.07714844
82,-0.072753906
83,-0.10644531
84,-0.171875
85,-0.19628906
86,-0.20996094
87,-0.22558594
88,-0.11767578
89,0.088378906
90,0.38867188
91,0.13671875
92,-0.33203125
93,-0.24414062
94,-0.26171875
95,-0.11328125
96,0.18847656
97,-0.13574219
98,0.421875
99,-0.08642578
100,-0.12695312
101,0.703125
102,0.42382812
103,-0.12695312
104,0.038085938
105,0.13671875
106,0.16894531
107,-0.15527344
108,0.04638672
109,-0.030883789
110,0.033935547
111,0.10253906
112,-0.171875
113,0.091796875
114,0.13574219
115,-0.27148438
116,0.02722168
117,-0.20507812
118,0.2109375
119,0.06738281
120,-0.24511719
121,0.15234375
122,-0.13476562
123,0.20996094
124,-0.021728516
125,0.42382812
126,-0.19726562
127,0.36914062
128,-0.3359375
129,0.28710938
130,0.16796875
131,0.22753906
132,-0.26367188
133,-0.20605469
134,-0.296875
135,-0.18847656
136,-0.26367188
137,0.14160156
138,-0.08300781
139,0.27929688
140,0.19824219
141,-0.37304688
142,0.37304688
143,0.007507324
144,0.20117188
145,0.099121094
146,0.010620117
147,-0.09765625
148,0.19921875
149,0.421875
150,0.33203125
151,-0.33789062
152,0.15429688
153,0.118652344
154,0.036376953
155,-0.46679688
156,-0.12597656
157,-0.23730469
158,0.24414062
159,0.33984375
160,-0.17773438
161,0.21289062
162,0.0013580322
163,-0.088378906
164,0.18261719
165,-0.76171875
166,0.35546875
167,0.067871094
168,0.09765625
169,0.15527344
170,0.037597656
171,0.115234375
172,0.008239746
173,0.1953125
174,-0.20996094
175,-0.080078125
176,0.44921875
177,-0.40625
178,0.16113281
179,0.34570312
180,0.19628906
181,-0.296875
182,-0.059326172
183,0.009155273
184,-0.26953125
185,-0.033691406
186,0.0050354004
187,-0.22070312
188,0.2890625
189,-0.109375
190,-0.13183594
191,-0.16796875
192,-0.1015625
193,0.080566406
194,0.26757812
195,0.20214844
196,0.09326172
197,0.111328125
198,-0.045410156
199,-0.5859375
200,0.045654297
201,-0.25390625
202,0.0055236816
203,-0.0703125
204,-0.14453125
205,0.025024414
206,-0.17578125
207,-0.359375
208,-0.095703125
209,-0.29882812
210,-0.15234375
211,-0.1953125
212,0.24707031
213,0.053466797
214,0.087890625
215,0.020385742
216,0.140625
217,0.15234375
218,-0.16699219
219,-0.09082031
220,0.006286621
221,-0.08886719
222,-0.028076172
223,-0.09033203
224,0.11230469
225,0.40429688
226,0.07763672
227,0.23242188
228,0.125
229,0.056884766
230,-0.32226562
231,-0.12109375
232,0.059570312
233,-0.1015625
234,0.20214844
235,0.24121094
236,0.014892578
237,0.20019531
238,-0.042236328
239,0.30273438
240,0.13671875
241,0.030151367
242,0.119628906
243,0.09423828
244,-0.095703125
245,-0.22363281
246,-0.65625
247,0.029418945
248,0.15039062
249,-0.118652344
250,-0.13378906
251,0.21972656
252,0.31835938
253,-0.2734375
254,0.08691406
255,-0.056640625
256,0.25
257,-0.25195312
258,-0.07470703
259,-0.0039978027
260,0.12695312
261,0.36328125
262,0.125
263,0.10986328
264,-0.13183594
265,-0.49023438
266,-0.3203125
267,0.09472656
268,0.26171875
269,-0.13574219
270,-0.3359375
271,0.109375
272,0.10986328
273,0.296875
274,-0.037841797
275,0.29492188
276,-0.014160156
277,-0.12890625
278,0.07080078
279,0.33203125
280,-0.18945312
281,-0.29492188
282,0.08251953
283,-0.123535156
284,0.33203125
285,0.16308594
286,-0.04321289
287,0.20410156
288,-0.1640625
289,0.32617188
290,0.16601562
291,-0.033447266
292,-0.068847656
293,-0.01953125
294,-0.140625
295,0.1484375
296,-0.15527344
297,-0.23046875
298,0.13964844
299,-0.03881836
