,Finland
0,0.06542969
1,-0.15429688
2,0.24609375
3,0.22363281
4,-0.07861328
5,0.043701172
6,0.104003906
7,-0.27539062
8,-0.11376953
9,0.036132812
10,-0.088378906
11,0.0066833496
12,0.059570312
13,-0.34375
14,-0.018554688
15,-0.24902344
16,-0.13964844
17,0.015258789
18,-0.043701172
19,-0.068847656
20,0.34570312
21,0.11767578
22,-0.20800781
23,0.060791016
24,-0.07373047
25,0.20507812
26,-0.23144531
27,-0.10058594
28,-0.19433594
29,0.11425781
30,-0.04248047
31,-0.19921875
32,0.19921875
33,0.20800781
34,0.088378906
35,-0.2890625
36,-0.54296875
37,0.24609375
38,0.19921875
39,0.11279297
40,0.072265625
41,-0.044677734
42,0.21386719
43,0.12597656
44,0.10107422
45,0.23046875
46,-0.19433594
47,0.014343262
48,0.16894531
49,0.07519531
50,-0.095214844
51,-0.050048828
52,0.16113281
53,0.05859375
54,0.024658203
55,-0.0039978027
56,-0.33984375
57,0.021972656
58,-0.375
59,-0.26953125
60,0.025146484
61,-0.052978516
62,0.16503906
63,-0.08691406
64,0.010559082
65,-0.16796875
66,0.3828125
67,-0.20410156
68,-0.0026855469
69,-0.0034179688
70,-0.07910156
71,-0.2109375
72,0.27148438
73,0.13671875
74,-0.0859375
75,-0.1953125
76,0.17480469
77,0.037597656
78,0.08105469
79,0.20703125
80,-0.06542969
81,-0.18847656
82,0.009643555
83,-0.08886719
84,0.109375
85,-0.18066406
86,0.08691406
87,-0.13476562
88,0.0031738281
89,0.40429688
90,-0.00020599365
91,0.06640625
92,-0.19824219
93,0.26953125
94,-0.068359375
95,-0.45117188
96,0.010620117
97,-0.18554688
98,0.20214844
99,0.14257812
100,-0.040283203
101,-0.28515625
102,-0.14941406
103,0.45507812
104,0.068359375
105,0.0126953125
106,0.13378906
107,-0.07324219
108,0.15039062
109,0.07763672
110,0.21679688
111,-0.038330078
112,0.004211426
113,-0.28125
114,-0.15625
115,-0.048583984
116,0.11425781
117,-0.14257812
118,0.28320312
119,0.22753906
120,-0.26757812
121,-0.024902344
122,-0.110839844
123,0.010375977
124,-0.008850098
125,0.14453125
126,-0.057128906
127,0.08203125
128,-0.62109375
129,0.14257812
130,0.05493164
131,0.13867188
132,-0.16796875
133,-0.083496094
134,-0.18652344
135,-0.1796875
136,-0.19140625
137,0.07910156
138,0.011779785
139,-0.21484375
140,0.359375
141,-0.017089844
142,0.07519531
143,0.234375
144,0.05493164
145,0.025512695
146,-0.029296875
147,0.064941406
148,-0.07421875
149,-0.060791016
150,0.2890625
151,-0.114746094
152,0.21289062
153,-0.051757812
154,-0.024169922
155,-0.18359375
156,0.035888672
157,0.14160156
158,0.12890625
159,-0.0099487305
160,0.049316406
161,0.091796875
162,0.10253906
163,-0.1875
164,0.45703125
165,-0.008728027
166,-0.25585938
167,0.104003906
168,-0.067871094
169,0.04272461
170,-0.18457031
171,0.26367188
172,0.036621094
173,-0.28125
174,-0.28710938
175,-0.07080078
176,0.11328125
177,-0.099121094
178,-0.021606445
179,-0.07470703
180,0.18164062
181,-0.5234375
182,-0.08935547
183,0.0008392334
184,0.22949219
185,-0.08154297
186,-0.006286621
187,-0.37109375
188,-0.014587402
189,0.17871094
190,-0.06933594
191,-0.23046875
192,0.0051879883
193,-0.11328125
194,0.08886719
195,0.064941406
196,0.18261719
197,0.20800781
198,-0.111328125
199,-0.33398438
200,0.10644531
201,0.20898438
202,0.19238281
203,-0.24609375
204,-0.07470703
205,0.053955078
206,0.23925781
207,-0.12792969
208,-0.063964844
209,-0.12207031
210,0.05834961
211,-0.052001953
212,0.027709961
213,0.26171875
214,-0.22558594
215,-0.18945312
216,0.04638672
217,-0.19726562
218,0.19726562
219,-0.07910156
220,-0.05517578
221,-0.12011719
222,0.059814453
223,-0.14355469
224,-0.0625
225,-0.111328125
226,-0.10205078
227,-0.083496094
228,0.09472656
229,-0.29101562
230,0.2265625
231,-0.024658203
232,0.11376953
233,0.014099121
234,0.25390625
235,0.083496094
236,-0.26953125
237,0.059326172
238,0.18847656
239,-0.07714844
240,0.109375
241,-0.072265625
242,-0.099609375
243,-0.27148438
244,0.14355469
245,0.13671875
246,-0.14257812
247,0.064453125
248,0.040771484
249,-0.3515625
250,-0.0010070801
251,0.12011719
252,0.40625
253,0.24414062
254,-0.21289062
255,0.14648438
256,0.017944336
257,-0.061523438
258,0.001449585
259,-0.017211914
260,0.47851562
261,0.076660156
262,-0.09667969
263,0.026123047
264,0.37890625
265,-0.14160156
266,-0.25390625
267,-0.13183594
268,0.111816406
269,-0.026611328
270,0.036376953
271,0.030639648
272,0.14160156
273,-0.03955078
274,0.055419922
275,0.015258789
276,0.056396484
277,0.07128906
278,-0.18261719
279,0.18847656
280,-0.07421875
281,-0.26953125
282,0.013427734
283,0.2109375
284,-0.20703125
285,-0.33007812
286,0.1328125
287,-0.3125
288,0.08251953
289,0.25585938
290,0.16113281
291,-0.015563965
292,-0.18457031
293,0.049072266
294,-0.16210938
295,0.06982422
296,0.04345703
297,0.044433594
298,0.007171631
299,-0.056884766
