,French_Guiana
0,-0.11279297
1,-0.04638672
2,-0.036376953
3,0.19335938
4,0.10205078
5,-0.17578125
6,0.057861328
7,-0.65625
8,-0.17675781
9,-0.14648438
10,0.087402344
11,-0.27539062
12,0.34570312
13,-0.24804688
14,0.19335938
15,0.671875
16,-0.22070312
17,0.33984375
18,0.41210938
19,0.46289062
20,0.140625
21,-0.578125
22,0.087402344
23,-0.31640625
24,0.15625
25,0.059326172
26,-0.12597656
27,-0.32226562
28,0.027709961
29,0.103027344
30,0.25195312
31,-0.083984375
32,0.009033203
33,-0.10058594
34,-0.13378906
35,-0.65625
36,-0.064453125
37,-0.2890625
38,-0.19335938
39,-0.19238281
40,-0.05834961
41,-0.22949219
42,0.15820312
43,0.47265625
44,-0.21582031
45,-0.18261719
46,-0.26953125
47,0.12451172
48,0.15527344
49,0.078125
50,-0.015258789
51,-0.21289062
52,0.4375
53,-0.110839844
54,-0.25976562
55,0.15917969
56,-0.13671875
57,0.041503906
58,-0.022338867
59,-0.12402344
60,-0.2734375
61,-0.38671875
62,-0.07519531
63,-0.125
64,0.007659912
65,-0.13183594
66,-0.11035156
67,-0.46289062
68,-0.22851562
69,0.20214844
70,0.10107422
71,0.076660156
72,-0.111816406
73,0.14941406
74,0.14453125
75,0.30273438
76,0.0625
77,-0.16015625
78,-0.19140625
79,0.71484375
80,-0.019042969
81,0.44726562
82,-0.30273438
83,-0.28515625
84,0.18457031
85,-0.39453125
86,-0.021850586
87,-0.15527344
88,-0.052978516
89,0.5703125
90,-0.06689453
91,-0.04345703
92,0.07910156
93,-0.095214844
94,0.2109375
95,-0.2734375
96,0.5078125
97,-0.4921875
98,0.078125
99,0.4375
100,0.23730469
101,-0.27539062
102,-0.30273438
103,-0.58984375
104,0.12060547
105,0.08691406
106,0.11279297
107,-0.12207031
108,0.13085938
109,0.3515625
110,-0.099609375
111,0.27929688
112,0.15429688
113,-0.044433594
114,-0.34375
115,0.18457031
116,-0.38867188
117,0.5546875
118,0.14550781
119,-0.040039062
120,0.080566406
121,-0.25
122,-0.3203125
123,0.578125
124,0.3046875
125,0.24609375
126,-0.546875
127,0.17578125
128,-0.50390625
129,0.08642578
130,-0.19824219
131,0.26171875
132,-0.12109375
133,-0.10058594
134,-0.31640625
135,0.00390625
136,-0.14550781
137,0.060302734
138,0.1796875
139,-0.14257812
140,0.00064468384
141,0.13476562
142,0.40820312
143,0.421875
144,-0.453125
145,-0.2578125
146,-0.018920898
147,-0.18066406
148,0.12792969
149,-0.40625
150,0.42578125
151,-0.3515625
152,-0.24121094
153,0.29296875
154,0.24121094
155,-0.35546875
156,-0.1640625
157,0.41015625
158,0.33007812
159,-0.114746094
160,-0.12890625
161,-0.006225586
162,0.111816406
163,0.14257812
164,0.41015625
165,-0.3671875
166,-0.039794922
167,0.26757812
168,0.024414062
169,0.052490234
170,-0.012634277
171,0.3046875
172,0.22070312
173,-0.08544922
174,-0.3671875
175,-0.23535156
176,0.078125
177,-0.3828125
178,-0.32421875
179,-0.31445312
180,-0.036865234
181,0.29101562
182,-0.38671875
183,0.068359375
184,0.087402344
185,-0.31445312
186,-0.29101562
187,-0.011108398
188,0.31835938
189,-0.29882812
190,0.067871094
191,-0.13867188
192,0.13769531
193,0.23828125
194,-0.056152344
195,0.33789062
196,0.22363281
197,0.24707031
198,-0.095214844
199,-0.029785156
200,0.63671875
201,0.15820312
202,0.09082031
203,-0.18847656
204,-0.09082031
205,-0.026123047
206,0.51953125
207,-0.18164062
208,-0.265625
209,-0.115234375
210,-0.06738281
211,-0.05493164
212,0.048583984
213,0.31445312
214,-0.29882812
215,-0.14355469
216,0.3046875
217,-0.18066406
218,0.5703125
219,-0.30859375
220,0.0074768066
221,0.075683594
222,-0.140625
223,-0.3359375
224,-0.09716797
225,0.016235352
226,0.036376953
227,0.014038086
228,0.24609375
229,0.115234375
230,0.17773438
231,-0.03173828
232,0.09082031
233,0.328125
234,0.33203125
235,0.004272461
236,-0.21386719
237,-0.025756836
238,0.140625
239,-0.123046875
240,0.017456055
241,-0.48242188
242,0.16601562
243,-0.41992188
244,-0.19824219
245,-0.140625
246,0.15234375
247,-0.40039062
248,0.04272461
249,0.08154297
250,-0.19238281
251,0.13671875
252,0.10498047
253,0.12207031
254,0.40820312
255,-0.20507812
256,0.0859375
257,0.0032196045
258,0.37304688
259,-0.033935547
260,0.18261719
261,-0.22460938
262,-0.29882812
263,0.18945312
264,0.3125
265,-0.4765625
266,-0.22851562
267,-0.060791016
268,-0.07861328
269,0.18164062
270,-0.18359375
271,-0.044433594
272,-0.09472656
273,-0.27929688
274,-0.26367188
275,0.09375
276,-0.1875
277,0.017456055
278,-0.013305664
279,0.17871094
280,-0.19238281
281,0.26757812
282,0.19921875
283,0.04711914
284,-0.34960938
285,-0.234375
286,-0.18261719
287,0.35546875
288,-0.087890625
289,0.20410156
290,-0.003250122
291,0.47070312
292,-0.14648438
293,-0.046142578
294,-0.19042969
295,0.11230469
296,-0.048828125
297,-0.38867188
298,0.30859375
299,0.037109375
