,Georgia
0,0.12597656
1,-0.24707031
2,0.0064086914
3,0.2734375
4,0.095703125
5,0.07861328
6,-0.16992188
7,-0.13964844
8,-0.21386719
9,0.08691406
10,-0.15820312
11,0.22558594
12,0.049072266
13,0.17285156
14,-0.13183594
15,0.0119018555
16,-0.38085938
17,0.052490234
18,0.012512207
19,0.053955078
20,0.47460938
21,-0.07324219
22,0.00037002563
23,-0.04638672
24,-0.08105469
25,0.07373047
26,-0.35742188
27,0.057373047
28,-0.27148438
29,0.359375
30,0.13085938
31,0.12207031
32,-0.265625
33,-0.09375
34,0.28515625
35,-0.027954102
36,-0.18847656
37,-0.017822266
38,-0.051757812
39,0.091796875
40,-0.057128906
41,0.01361084
42,0.31640625
43,-0.010925293
44,0.15527344
45,0.051513672
46,-0.0025024414
47,0.18554688
48,0.14453125
49,0.036376953
50,-0.15332031
51,0.079589844
52,-0.08105469
53,0.07519531
54,-0.033691406
55,0.048339844
56,-0.35742188
57,0.18847656
58,-0.061035156
59,-0.22558594
60,0.12402344
61,-0.053466797
62,0.095214844
63,0.021850586
64,0.057373047
65,0.04638672
66,0.1484375
67,0.072265625
68,-0.099121094
69,0.10205078
70,0.07324219
71,-0.26757812
72,-0.042236328
73,0.040527344
74,-0.1640625
75,-0.17675781
76,0.34960938
77,-0.20605469
78,0.010803223
79,0.35546875
80,-0.24707031
81,-0.03515625
82,-0.018798828
83,-0.16699219
84,0.13671875
85,0.03491211
86,-0.12792969
87,-0.14355469
88,-0.08154297
89,0.03173828
90,-0.0058288574
91,0.02709961
92,-0.08300781
93,-0.13476562
94,-0.19042969
95,0.1015625
96,0.052978516
97,0.092285156
98,-0.29882812
99,0.19335938
100,-0.19238281
101,0.1796875
102,-0.10888672
103,-0.053466797
104,0.041748047
105,0.07861328
106,0.1796875
107,-0.12695312
108,-0.171875
109,-0.21582031
110,-0.203125
111,0.09472656
112,0.032470703
113,0.25
114,0.046142578
115,-0.049560547
116,0.06225586
117,0.23144531
118,0.25195312
119,0.08642578
120,-0.38476562
121,0.12451172
122,0.234375
123,-0.13574219
124,0.3125
125,0.044921875
126,0.0625
127,0.40039062
128,-0.1640625
129,0.06542969
130,-0.005218506
131,-0.08105469
132,-0.31445312
133,0.11669922
134,-0.11425781
135,-0.021728516
136,-0.11816406
137,0.171875
138,0.008972168
139,-0.13964844
140,-0.044189453
141,0.14453125
142,-0.092285156
143,-0.03466797
144,-0.32617188
145,-0.0021820068
146,-0.0073242188
147,0.17285156
148,-0.107421875
149,0.07910156
150,0.04711914
151,0.08496094
152,0.3515625
153,-0.13085938
154,-0.067871094
155,-0.04736328
156,0.045410156
157,-0.15332031
158,-0.083984375
159,0.29492188
160,0.032714844
161,0.19238281
162,0.19628906
163,-0.040039062
164,0.32226562
165,-0.07470703
166,0.17675781
167,-0.059570312
168,0.19921875
169,0.12060547
170,-0.32226562
171,0.24023438
172,0.20605469
173,-0.008850098
174,0.15625
175,-0.2734375
176,-0.041259766
177,0.067871094
178,0.016357422
179,-0.26171875
180,0.107421875
181,-0.39453125
182,0.13769531
183,0.13867188
184,-0.125
185,0.10546875
186,0.08935547
187,0.13183594
188,0.107910156
189,0.13867188
190,0.0703125
191,-0.08544922
192,0.072265625
193,0.014770508
194,-0.07080078
195,0.28515625
196,0.068847656
197,-0.32421875
198,0.40429688
199,-0.38671875
200,0.09375
201,0.1796875
202,0.21386719
203,0.2421875
204,-0.09082031
205,0.047607422
206,0.36523438
207,-0.22558594
208,0.1796875
209,-0.017456055
210,-0.067871094
211,0.15820312
212,-0.044433594
213,0.061767578
214,-0.19726562
215,0.27929688
216,0.006011963
217,-0.0017623901
218,0.012573242
219,0.13476562
220,0.06542969
221,-0.10107422
222,0.08544922
223,-0.11669922
224,0.08496094
225,0.05078125
226,0.22851562
227,0.18652344
228,0.16210938
229,-0.11669922
230,0.07080078
231,-0.034179688
232,0.20898438
233,0.05419922
234,-0.13867188
235,-0.033447266
236,-0.14257812
237,-0.140625
238,-0.001411438
239,-0.025756836
240,0.055419922
241,-0.020019531
242,-0.26757812
243,-0.07861328
244,-0.006958008
245,0.27539062
246,-0.13476562
247,0.075683594
248,0.10839844
249,-0.037109375
250,-0.13769531
251,-0.00680542
252,0.13769531
253,-0.14257812
254,0.07373047
255,0.027954102
256,0.32617188
257,-0.087402344
258,0.19238281
259,-0.0703125
260,0.047607422
261,-0.11767578
262,-0.17382812
263,0.26953125
264,0.47460938
265,-0.017944336
266,-0.265625
267,-0.064941406
268,-0.27148438
269,0.100097656
270,0.20507812
271,0.050048828
272,0.028930664
273,0.087890625
274,-0.060791016
275,0.107421875
276,-0.05883789
277,0.011291504
278,0.02709961
279,-0.020507812
280,-0.13867188
281,0.16992188
282,0.23632812
283,0.059326172
284,-0.30078125
285,-0.20507812
286,-0.24414062
287,0.02746582
288,0.060058594
289,0.032470703
290,-0.10986328
291,0.1875
292,-0.28320312
293,-0.060058594
294,0.328125
295,-0.19628906
296,-0.110839844
297,0.10058594
298,0.07714844
299,0.18457031
