,Ghana
0,0.08544922
1,-0.027709961
2,0.15234375
3,0.034179688
4,-0.1328125
5,-0.3671875
6,-0.100097656
7,-0.3046875
8,-0.22070312
9,-0.30859375
10,0.1640625
11,0.08886719
12,-0.009521484
13,0.1484375
14,0.31054688
15,0.26367188
16,-0.15722656
17,-0.038085938
18,-0.09375
19,0.07714844
20,0.14453125
21,-0.125
22,0.15527344
23,-0.010803223
24,0.23535156
25,0.3046875
26,0.15722656
27,-0.47851562
28,0.09082031
29,0.19628906
30,-0.072265625
31,-0.41796875
32,-0.083496094
33,-0.25195312
34,0.03491211
35,0.064941406
36,-0.15917969
37,-0.100097656
38,-0.09863281
39,-0.037597656
40,-0.12158203
41,0.1875
42,-0.025024414
43,0.20605469
44,0.022705078
45,0.06738281
46,-0.328125
47,-0.07861328
48,0.037841797
49,-0.12597656
50,-0.014038086
51,-0.20605469
52,-0.030639648
53,-0.24707031
54,0.22070312
55,0.16601562
56,-0.4375
57,-0.17675781
58,-0.1328125
59,-0.32617188
60,0.05517578
61,-0.22363281
62,-0.06982422
63,0.18261719
64,-0.20507812
65,-0.21386719
66,0.15820312
67,-0.08544922
68,0.18261719
69,-0.11621094
70,-0.15527344
71,-0.2421875
72,0.12695312
73,0.16796875
74,-0.05908203
75,-0.19921875
76,0.096191406
77,0.099121094
78,-0.045166016
79,0.12402344
80,-0.38085938
81,-0.203125
82,-0.021850586
83,-0.24707031
84,0.0005874634
85,-0.044677734
86,0.43164062
87,0.020874023
88,0.1328125
89,0.103515625
90,0.23339844
91,-0.05078125
92,-0.22949219
93,-0.15039062
94,0.08886719
95,-0.021606445
96,0.13671875
97,0.029663086
98,0.21289062
99,0.03515625
100,0.15527344
101,-0.0859375
102,0.2578125
103,-0.026489258
104,-0.30664062
105,0.22265625
106,0.19140625
107,-0.28320312
108,-0.10107422
109,-0.03955078
110,-0.0013198853
111,0.00970459
112,-0.25976562
113,-0.030883789
114,0.055908203
115,-0.06347656
116,0.41015625
117,-0.057373047
118,0.24316406
119,0.20117188
120,-0.18554688
121,-0.23535156
122,-0.41210938
123,0.044433594
124,-0.359375
125,0.1484375
126,-0.21679688
127,-0.026000977
128,-0.5703125
129,0.12060547
130,-0.06298828
131,0.14746094
132,-0.28710938
133,-0.27148438
134,-0.25585938
135,-0.10498047
136,-0.27539062
137,0.10205078
138,0.114746094
139,0.037841797
140,0.34960938
141,-0.17578125
142,-0.13476562
143,0.13085938
144,0.053710938
145,0.30859375
146,0.008850098
147,-0.0008544922
148,0.3671875
149,0.05126953
150,-0.09667969
151,-0.16992188
152,0.020263672
153,-0.0026855469
154,0.075683594
155,-0.084472656
156,-0.25390625
157,0.17382812
158,-0.040283203
159,-0.15039062
160,-0.25976562
161,0.14257812
162,-0.10888672
163,0.16699219
164,0.15625
165,-0.171875
166,-0.095703125
167,-0.071777344
168,-0.015319824
169,0.119628906
170,-0.07470703
171,0.38671875
172,-0.13867188
173,0.016479492
174,-0.20410156
175,-0.55078125
176,0.27734375
177,-0.39453125
178,0.1640625
179,-0.38476562
180,-0.035888672
181,-0.40429688
182,-0.0625
183,-0.03149414
184,-0.11376953
185,0.09716797
186,-0.11425781
187,-0.30273438
188,-0.2890625
189,0.29882812
190,-0.19042969
191,-0.48242188
192,-0.020996094
193,-0.03149414
194,-0.11621094
195,0.43164062
196,0.013122559
197,0.12792969
198,-0.32226562
199,-0.33007812
200,-0.0546875
201,-0.16210938
202,0.020629883
203,-0.16113281
204,0.045898438
205,-0.14648438
206,-0.13183594
207,-0.12792969
208,-0.053710938
209,-0.0005645752
210,-0.08496094
211,0.045654297
212,-0.19628906
213,0.20019531
214,-0.080566406
215,0.00061416626
216,0.028686523
217,0.007080078
218,-0.09082031
219,0.09814453
220,-0.29882812
221,-0.04663086
222,-0.08544922
223,-0.049560547
224,0.11328125
225,0.3125
226,-0.013183594
227,-0.007293701
228,0.40820312
229,-0.09033203
230,0.06640625
231,-0.08496094
232,0.001739502
233,-0.0017700195
234,0.07470703
235,0.3515625
236,0.18164062
237,0.16601562
238,-0.14550781
239,0.06982422
240,0.38671875
241,-0.26367188
242,0.010803223
243,0.088378906
244,-0.22167969
245,-0.22070312
246,-0.33984375
247,0.115722656
248,-0.15039062
249,-0.107910156
250,0.47851562
251,0.359375
252,0.33984375
253,0.046875
254,0.12060547
255,0.33203125
256,-0.15820312
257,0.029052734
258,0.11376953
259,0.045654297
260,0.26953125
261,0.030639648
262,0.1953125
263,0.36914062
264,0.17675781
265,-0.035888672
266,-0.27929688
267,-0.052001953
268,-0.07763672
269,0.2578125
270,-0.18164062
271,0.104003906
272,0.07421875
273,-0.00289917
274,0.26953125
275,0.041259766
276,0.296875
277,0.109375
278,-0.092285156
279,0.09082031
280,-0.12451172
281,-0.18652344
282,0.026245117
283,-0.13769531
284,-0.31445312
285,-0.12890625
286,-0.036376953
287,-0.13964844
288,0.041503906
289,-0.07128906
290,-0.12695312
291,0.033691406
292,-0.421875
293,-0.12792969
294,-0.23925781
295,0.27929688
296,-0.25195312
297,-0.3984375
298,0.010253906
299,0.05908203
