,Gibraltar
0,-0.041015625
1,-0.28515625
2,-0.045898438
3,0.14355469
4,-0.125
5,-0.36523438
6,-0.17578125
7,-0.09326172
8,0.22558594
9,0.14453125
10,-0.09375
11,0.076171875
12,-0.061767578
13,0.013183594
14,0.1328125
15,-0.07080078
16,0.18457031
17,0.36914062
18,0.013061523
19,0.22460938
20,0.3125
21,-0.10449219
22,0.18359375
23,0.203125
24,0.12890625
25,0.04272461
26,-0.048583984
27,0.20800781
28,-0.12695312
29,-0.063964844
30,0.35546875
31,-0.15039062
32,0.13476562
33,0.006225586
34,-0.018676758
35,0.06738281
36,-0.114746094
37,-0.008605957
38,0.12451172
39,-0.24902344
40,-0.13183594
41,-0.096191406
42,-0.14257812
43,0.017089844
44,0.020019531
45,-0.171875
46,-0.41992188
47,0.16699219
48,-0.26757812
49,0.091796875
50,0.0045166016
51,0.013549805
52,0.38085938
53,-0.08642578
54,-0.21582031
55,0.29101562
56,-0.30273438
57,-0.00074005127
58,-0.25390625
59,0.05859375
60,0.021728516
61,0.09375
62,0.111328125
63,-0.39648438
64,-0.16699219
65,-0.0039367676
66,0.020141602
67,-0.06933594
68,-0.44726562
69,-0.25585938
70,-0.30664062
71,-0.25976562
72,0.11425781
73,0.15136719
74,0.06201172
75,-0.15429688
76,0.047851562
77,-0.17089844
78,-0.064941406
79,-0.0019836426
80,-0.33203125
81,-0.50390625
82,-0.20996094
83,-0.28515625
84,-0.056640625
85,0.12402344
86,0.13867188
87,0.01184082
88,0.20703125
89,-0.0703125
90,0.29492188
91,0.028198242
92,-0.36914062
93,0.1484375
94,-0.107421875
95,0.16503906
96,0.21191406
97,-0.027709961
98,0.34570312
99,-0.0625
100,0.16308594
101,0.016113281
102,-0.032958984
103,0.07080078
104,-0.27929688
105,-0.27539062
106,0.19726562
107,-0.25195312
108,0.0859375
109,-0.12451172
110,-0.2890625
111,0.017333984
112,-0.020629883
113,0.011291504
114,-0.23730469
115,-0.23046875
116,-0.006134033
117,0.12988281
118,0.23535156
119,0.08300781
120,-0.079589844
121,-0.14453125
122,0.11621094
123,-0.06542969
124,-0.31054688
125,-0.27734375
126,-0.25
127,0.0390625
128,-0.484375
129,0.13769531
130,-0.095703125
131,0.10253906
132,-0.53125
133,0.13574219
134,0.18261719
135,-0.4140625
136,-0.37304688
137,0.057861328
138,0.13085938
139,-0.00037002563
140,-0.23828125
141,-0.029907227
142,-0.08203125
143,0.09765625
144,0.10595703
145,-0.04638672
146,0.059570312
147,-0.11035156
148,0.15917969
149,0.091308594
150,0.03564453
151,-0.05517578
152,-0.22363281
153,-0.15722656
154,-0.13085938
155,0.087890625
156,0.002532959
157,0.16894531
158,0.203125
159,0.034423828
160,-0.14648438
161,0.17871094
162,0.08935547
163,-0.09472656
164,0.103515625
165,-0.14257812
166,-0.40234375
167,-0.24121094
168,-0.08642578
169,0.421875
170,-0.076171875
171,-0.037841797
172,0.123046875
173,0.07519531
174,0.067871094
175,0.125
176,-0.044189453
177,-0.17578125
178,-0.28320312
179,-0.11669922
180,0.024414062
181,-0.20507812
182,-0.053222656
183,-0.01586914
184,0.23535156
185,-0.31445312
186,0.46484375
187,0.04272461
188,0.15136719
189,-0.19726562
190,-0.234375
191,0.091308594
192,0.0014419556
193,0.25390625
194,0.13769531
195,0.35546875
196,0.19140625
197,0.057617188
198,0.04638672
199,0.026733398
200,0.25585938
201,-0.20214844
202,-0.11376953
203,-0.0625
204,0.14355469
205,-0.055664062
206,0.071777344
207,0.18945312
208,0.15332031
209,0.03173828
210,0.16015625
211,-0.22558594
212,-0.04296875
213,0.12060547
214,-0.04736328
215,-0.104003906
216,0.13769531
217,-0.18945312
218,0.18164062
219,-0.025390625
220,0.055664062
221,0.09765625
222,-0.03149414
223,-0.203125
224,-0.36132812
225,0.01977539
226,0.032226562
227,0.031982422
228,0.34179688
229,0.20117188
230,-0.0015335083
231,-0.27929688
232,-0.122558594
233,-0.099121094
234,-0.07128906
235,0.107910156
236,-0.007751465
237,0.10253906
238,0.1640625
239,-0.140625
240,-0.09716797
241,-0.027709961
242,0.08886719
243,-0.12988281
244,0.05908203
245,0.015991211
246,-0.018798828
247,0.13183594
248,-0.023925781
249,0.103027344
250,0.25976562
251,0.015563965
252,-0.030151367
253,0.0859375
254,0.18359375
255,-0.16699219
256,0.14257812
257,0.16503906
258,-0.265625
259,0.05444336
260,0.42382812
261,0.25195312
262,-0.024291992
263,-0.0154418945
264,0.044433594
265,0.23144531
266,-0.20605469
267,-0.20214844
268,-0.09277344
269,0.028930664
270,0.00390625
271,0.1796875
272,0.19433594
273,0.07373047
274,-0.08203125
275,0.05029297
276,0.19140625
277,-0.0002593994
278,-0.27539062
279,0.18652344
280,-0.26953125
281,0.13964844
282,0.13085938
283,0.010620117
284,0.2890625
285,-0.072265625
286,-0.421875
287,-0.010009766
288,-0.22460938
289,0.31835938
290,0.10546875
291,0.10546875
292,-0.10595703
293,-0.0024871826
294,-0.10839844
295,0.16503906
296,-0.15820312
297,-0.12011719
298,0.25585938
299,-0.17871094
