,Greece
0,0.47265625
1,0.007019043
2,0.05908203
3,0.09033203
4,0.03955078
5,-0.05859375
6,0.060058594
7,-0.2578125
8,-0.24121094
9,-0.045898438
10,-0.19238281
11,-0.16015625
12,0.296875
13,-0.10205078
14,0.024169922
15,-0.014892578
16,-0.005584717
17,-0.07373047
18,0.059570312
19,0.09765625
20,0.27929688
21,0.07470703
22,0.37695312
23,-0.1875
24,0.068847656
25,0.18066406
26,-0.06347656
27,0.02722168
28,-0.060058594
29,0.1640625
30,-0.09033203
31,-0.23828125
32,0.12451172
33,0.0011825562
34,-0.1875
35,-0.17480469
36,-0.28320312
37,0.010253906
38,0.26953125
39,-0.0016555786
40,0.091796875
41,0.02709961
42,0.265625
43,-0.20117188
44,-0.036621094
45,0.08203125
46,-0.34375
47,-0.036132812
48,-0.037353516
49,-0.018188477
50,-0.12695312
51,0.35546875
52,-0.13183594
53,-0.028442383
54,-0.15234375
55,-0.084472656
56,-0.2734375
57,0.2734375
58,-0.22851562
59,-0.13378906
60,0.023925781
61,-0.12109375
62,0.08642578
63,0.021362305
64,0.171875
65,-0.41210938
66,0.46875
67,-0.23242188
68,-0.032958984
69,-0.36328125
70,-0.099609375
71,-0.028686523
72,0.203125
73,-0.10595703
74,0.203125
75,-0.19628906
76,0.022338867
77,-0.16699219
78,0.20019531
79,0.13964844
80,-0.14160156
81,-0.11816406
82,-0.06542969
83,0.04321289
84,0.16796875
85,-0.038330078
86,-0.38867188
87,-0.076660156
88,-0.041748047
89,0.10449219
90,0.17089844
91,-0.31835938
92,-0.45507812
93,0.19921875
94,-0.15234375
95,-0.25976562
96,0.06201172
97,-0.10253906
98,0.078125
99,0.18457031
100,-0.3125
101,0.12207031
102,0.07519531
103,0.024780273
104,0.045166016
105,0.122558594
106,-0.19140625
107,-0.16015625
108,0.041748047
109,-0.21777344
110,0.068359375
111,0.15820312
112,0.13867188
113,-0.06542969
114,0.088378906
115,-0.07373047
116,-0.045166016
117,-0.11376953
118,0.31054688
119,0.31054688
120,-0.20214844
121,-0.17089844
122,0.17773438
123,-0.076171875
124,0.1953125
125,-0.04663086
126,0.03173828
127,-0.0012207031
128,-0.703125
129,-0.033203125
130,-0.19726562
131,-0.07080078
132,-0.265625
133,-0.14746094
134,0.049072266
135,-0.08105469
136,-0.19824219
137,-0.115234375
138,0.20898438
139,0.03149414
140,0.19628906
141,-0.33984375
142,-0.006164551
143,0.104003906
144,-0.040527344
145,0.0087890625
146,-0.30859375
147,0.14453125
148,0.021484375
149,0.030029297
150,0.10546875
151,-0.06542969
152,0.053710938
153,-0.34570312
154,0.14648438
155,-0.114746094
156,-0.51953125
157,-0.10058594
158,0.12988281
159,0.19433594
160,0.296875
161,0.26757812
162,0.171875
163,-0.076660156
164,0.12158203
165,0.06347656
166,0.014099121
167,0.19335938
168,-0.140625
169,0.37304688
170,-0.049316406
171,-0.05908203
172,0.30078125
173,0.15332031
174,-0.11376953
175,-0.26171875
176,0.096191406
177,-0.0087890625
178,-0.0039367676
179,-0.3359375
180,0.010070801
181,-0.09082031
182,0.16113281
183,0.09667969
184,0.24023438
185,0.12988281
186,-0.111328125
187,-0.25585938
188,-0.0703125
189,-0.033203125
190,0.23242188
191,-0.22167969
192,-0.11376953
193,0.005584717
194,-0.25
195,0.171875
196,0.13964844
197,-0.11621094
198,-0.008361816
199,-0.33203125
200,0.0119018555
201,-0.18457031
202,-0.32617188
203,-0.19238281
204,0.016113281
205,-0.015075684
206,0.011169434
207,-0.31835938
208,0.020874023
209,-0.28515625
210,-0.25976562
211,-0.35742188
212,-0.09423828
213,0.421875
214,-0.2890625
215,-0.087890625
216,0.17285156
217,-0.10888672
218,0.037841797
219,-0.20410156
220,-0.10888672
221,-0.27929688
222,-0.2734375
223,-0.020874023
224,-0.10253906
225,0.024414062
226,-0.061767578
227,0.14257812
228,0.25
229,-0.095703125
230,0.007537842
231,-0.031982422
232,0.2109375
233,-0.01171875
234,0.05834961
235,0.37695312
236,0.020751953
237,-0.140625
238,0.20898438
239,-0.13476562
240,0.26171875
241,-0.07421875
242,-0.18554688
243,0.11621094
244,0.08496094
245,-0.23535156
246,0.10449219
247,-0.087402344
248,-0.103027344
249,-0.109375
250,-0.05078125
251,-0.026611328
252,0.08105469
253,0.3046875
254,0.07373047
255,0.13964844
256,0.34960938
257,-0.04663086
258,0.17089844
259,0.064941406
260,0.2109375
261,0.20117188
262,-0.08544922
263,0.25976562
264,0.16113281
265,0.064453125
266,-0.27539062
267,-0.29882812
268,0.005065918
269,-0.037109375
270,-0.06347656
271,0.3515625
272,0.203125
273,0.24023438
274,0.29882812
275,-0.0703125
276,0.06689453
277,-0.3203125
278,-0.036376953
279,-0.024414062
280,-0.28515625
281,0.38671875
282,0.17578125
283,-0.22363281
284,-0.359375
285,0.0859375
286,-0.053222656
287,-0.044189453
288,-0.045898438
289,0.38476562
290,0.055908203
291,0.021118164
292,-0.11767578
293,-0.052246094
294,0.07373047
295,0.46289062
296,-0.42578125
297,0.024658203
298,0.09033203
299,0.02319336
