,Greenland
0,-0.111816406
1,-0.20507812
2,-0.14648438
3,-0.13183594
4,-0.118652344
5,-0.13183594
6,0.103027344
7,-0.24804688
8,-0.2265625
9,0.19335938
10,-0.07910156
11,-0.072265625
12,-0.031982422
13,-0.16796875
14,-0.13671875
15,-0.011779785
16,-0.27539062
17,-0.029418945
18,-0.2734375
19,0.034423828
20,0.045898438
21,-0.06738281
22,-0.044189453
23,-0.11669922
24,0.17285156
25,0.003189087
26,-0.23144531
27,0.06738281
28,0.033203125
29,0.11328125
30,0.16601562
31,-0.039794922
32,-0.07910156
33,-0.17285156
34,-0.21386719
35,-0.22558594
36,-0.13378906
37,-0.1171875
38,0.18554688
39,0.034423828
40,0.15039062
41,-0.030639648
42,-0.11279297
43,0.15917969
44,0.005004883
45,0.15527344
46,-0.15039062
47,0.15722656
48,0.009094238
49,-0.0625
50,-0.001083374
51,-0.32421875
52,-0.25390625
53,-0.23828125
54,-0.37109375
55,-0.055664062
56,-0.38476562
57,0.14746094
58,-0.072265625
59,-0.296875
60,0.020996094
61,-0.10595703
62,0.0017242432
63,-0.15136719
64,-0.03173828
65,-0.18847656
66,-0.008117676
67,-0.040283203
68,-0.023803711
69,0.12207031
70,-0.025756836
71,-0.41015625
72,0.16015625
73,-0.14257812
74,-0.17773438
75,-0.2734375
76,0.29882812
77,0.110839844
78,0.08300781
79,0.11669922
80,0.115722656
81,-0.25
82,-0.06738281
83,-0.23339844
84,0.10644531
85,-0.016723633
86,-0.042236328
87,-0.072753906
88,0.19726562
89,0.1484375
90,-0.078125
91,-0.14941406
92,-0.056884766
93,0.05444336
94,-0.17480469
95,-0.06201172
96,0.2421875
97,-0.09326172
98,0.41015625
99,-0.1484375
100,0.11230469
101,-0.19433594
102,-0.10839844
103,0.34179688
104,0.1484375
105,-0.04321289
106,-0.115722656
107,-0.15527344
108,-0.072753906
109,0.20019531
110,-0.28515625
111,-0.21972656
112,0.008361816
113,-0.17480469
114,0.060791016
115,-0.08984375
116,0.25976562
117,0.12207031
118,0.03125
119,-0.095703125
120,-0.024780273
121,-0.15527344
122,0.20019531
123,0.030761719
124,-0.33789062
125,0.013000488
126,-0.453125
127,0.19433594
128,-0.45507812
129,0.067871094
130,0.022949219
131,0.23535156
132,-0.22949219
133,0.24902344
134,0.063964844
135,0.16113281
136,-0.30859375
137,0.008850098
138,-0.29492188
139,0.3046875
140,0.026489258
141,-0.063964844
142,0.05883789
143,-0.034179688
144,0.27539062
145,0.03955078
146,-0.043701172
147,0.038085938
148,0.171875
149,-0.104003906
150,-0.009094238
151,-0.36523438
152,0.013305664
153,0.10058594
154,0.14648438
155,0.020507812
156,0.31640625
157,0.15722656
158,0.022460938
159,0.36328125
160,-0.12207031
161,0.17773438
162,0.38867188
163,0.13085938
164,0.21386719
165,0.053466797
166,-0.16113281
167,0.06201172
168,-0.21679688
169,0.33007812
170,-0.057128906
171,0.0625
172,0.14648438
173,0.25585938
174,-0.014282227
175,0.029663086
176,-0.27539062
177,0.12011719
178,-0.09716797
179,-0.29101562
180,-0.08105469
181,-0.2890625
182,-0.12011719
183,-0.022949219
184,0.15625
185,0.23339844
186,0.3125
187,-0.022216797
188,0.42773438
189,0.013977051
190,-0.04296875
191,-0.10449219
192,0.13867188
193,0.1484375
194,-0.06689453
195,0.28710938
196,0.40820312
197,0.044433594
198,0.19433594
199,-0.07080078
200,0.0546875
201,-0.22363281
202,0.032958984
203,-0.21484375
204,-0.061035156
205,0.44726562
206,0.31054688
207,-0.16601562
208,-0.08496094
209,0.20410156
210,-0.12792969
211,0.12695312
212,0.15917969
213,0.030151367
214,-0.19628906
215,-0.001953125
216,0.390625
217,0.0012435913
218,0.059570312
219,-0.16894531
220,0.20117188
221,-0.09033203
222,0.22363281
223,-0.17382812
224,-0.26953125
225,-0.07324219
226,-0.008911133
227,-0.037841797
228,-0.044189453
229,-0.1015625
230,0.40234375
231,0.12695312
232,-0.08642578
233,-0.08886719
234,0.26953125
235,0.12792969
236,0.039794922
237,-0.096191406
238,0.022460938
239,-0.15527344
240,0.25976562
241,-0.14453125
242,0.21679688
243,-0.16601562
244,-0.087890625
245,0.021240234
246,0.28515625
247,-0.09423828
248,0.33007812
249,-0.12060547
250,-0.10449219
251,0.053466797
252,0.056396484
253,0.30859375
254,0.029418945
255,0.026367188
256,0.13378906
257,0.03125
258,0.100097656
259,-0.15332031
260,0.33007812
261,-0.07714844
262,-0.22753906
263,0.021484375
264,0.0039367676
265,0.11425781
266,-0.18847656
267,0.053466797
268,0.07861328
269,-0.359375
270,-0.30078125
271,0.26171875
272,0.008300781
273,0.079589844
274,-0.046875
275,-0.14550781
276,-0.23046875
277,0.009155273
278,0.140625
279,-0.28515625
280,-0.08105469
281,-0.22167969
282,0.22265625
283,0.41015625
284,-0.18554688
285,-0.5546875
286,0.024291992
287,-0.0019302368
288,-0.06738281
289,0.06298828
290,0.16210938
291,-0.19433594
292,-0.0625
293,0.06298828
294,-0.115234375
295,0.072265625
296,-0.018310547
297,0.16113281
298,0.39453125
299,0.017700195
