,Grenada
0,0.12890625
1,-0.18847656
2,0.08544922
3,0.10253906
4,0.16894531
5,-0.046142578
6,-0.16601562
7,-0.19433594
8,-0.05053711
9,0.015563965
10,-0.049560547
11,-0.056640625
12,0.47851562
13,0.048583984
14,0.36914062
15,0.17285156
16,-0.03564453
17,0.3515625
18,0.10839844
19,0.36914062
20,0.023925781
21,-0.16015625
22,0.21777344
23,0.0067443848
24,0.0859375
25,0.43164062
26,0.017822266
27,-0.23144531
28,0.14648438
29,0.41210938
30,0.20703125
31,-0.38476562
32,-0.39453125
33,0.03466797
34,0.018798828
35,-0.008850098
36,0.09667969
37,0.02355957
38,0.038330078
39,-0.048339844
40,-0.08203125
41,0.20019531
42,0.484375
43,0.25
44,0.22753906
45,-0.06689453
46,-0.17773438
47,-0.31835938
48,-0.03930664
49,0.30078125
50,0.14355469
51,-0.22949219
52,0.18554688
53,-0.32226562
54,-0.06640625
55,-0.09033203
56,-0.28710938
57,0.061279297
58,-0.05517578
59,0.091796875
60,-0.22949219
61,-0.012573242
62,0.106933594
63,0.14746094
64,-0.071777344
65,-0.14355469
66,-0.044189453
67,-0.15722656
68,-0.051513672
69,-0.007537842
70,0.0703125
71,-0.19726562
72,0.0041503906
73,0.1484375
74,-0.17871094
75,-0.18261719
76,-0.032958984
77,-0.23632812
78,0.13769531
79,-0.038330078
80,-0.25585938
81,0.076660156
82,-0.19628906
83,0.03515625
84,0.03564453
85,-0.2109375
86,-0.05419922
87,0.053466797
88,0.036132812
89,0.15039062
90,0.10644531
91,-0.13769531
92,-0.10644531
93,-0.039794922
94,0.115234375
95,0.18554688
96,0.40625
97,-0.006652832
98,-0.37695312
99,0.07128906
100,0.01965332
101,0.45507812
102,-0.08251953
103,-0.08203125
104,-0.014038086
105,0.05102539
106,0.17285156
107,-0.33789062
108,0.26171875
109,0.041992188
110,-0.32617188
111,0.36132812
112,-0.25585938
113,-0.0026855469
114,-0.07128906
115,0.022460938
116,0.20996094
117,0.21972656
118,0.390625
119,0.26171875
120,-0.20800781
121,0.053222656
122,0.31445312
123,-0.15332031
124,-0.08544922
125,0.30078125
126,-0.033691406
127,0.06689453
128,0.00043296814
129,0.3828125
130,-0.2578125
131,0.16210938
132,-0.35546875
133,-0.38476562
134,-0.099121094
135,-0.103027344
136,-0.31054688
137,0.028930664
138,0.007080078
139,-0.11376953
140,-0.080566406
141,0.088378906
142,0.061523438
143,-0.075683594
144,0.091796875
145,0.0625
146,-0.0021362305
147,-0.1796875
148,-0.032470703
149,0.2890625
150,-0.078125
151,-0.42773438
152,-0.046875
153,-0.040039062
154,0.18164062
155,-0.18164062
156,-0.16601562
157,-0.025756836
158,0.32617188
159,0.06542969
160,-0.21386719
161,0.36132812
162,0.14355469
163,-0.049316406
164,-0.010620117
165,-0.22753906
166,-0.080078125
167,0.18554688
168,0.14160156
169,-0.10449219
170,0.045166016
171,0.5
172,0.018432617
173,-0.17675781
174,-0.18066406
175,-0.20703125
176,0.011962891
177,-0.22460938
178,-0.083984375
179,0.13964844
180,-0.12695312
181,-0.10986328
182,0.1328125
183,0.05859375
184,-0.25195312
185,-0.27148438
186,0.34765625
187,-0.17480469
188,0.022827148
189,0.005859375
190,0.083984375
191,0.19726562
192,-0.11328125
193,-0.32421875
194,0.05102539
195,0.23144531
196,0.1640625
197,0.00039672852
198,-0.03149414
199,-0.001663208
200,0.18359375
201,-0.122558594
202,0.03955078
203,0.033935547
204,-0.021484375
205,0.00075912476
206,0.11035156
207,-0.072265625
208,-0.053710938
209,0.056640625
210,-0.107421875
211,-0.03515625
212,-0.028198242
213,0.22070312
214,-0.0703125
215,0.115234375
216,0.014587402
217,-0.26367188
218,0.030151367
219,0.068359375
220,0.12597656
221,-0.08203125
222,-0.064453125
223,-0.047607422
224,-0.18847656
225,0.09082031
226,0.14453125
227,0.36328125
228,0.17089844
229,-0.024536133
230,-0.22167969
231,-0.020874023
232,0.07910156
233,-0.21875
234,-0.048095703
235,0.010498047
236,0.265625
237,-0.111816406
238,0.19921875
239,0.052001953
240,0.15917969
241,0.115234375
242,-0.12402344
243,-0.35546875
244,0.0071411133
245,0.13085938
246,-0.013793945
247,0.03564453
248,0.10888672
249,-0.002960205
250,0.024902344
251,-0.013183594
252,0.17871094
253,0.20507812
254,0.13378906
255,-0.08203125
256,-0.01977539
257,0.14550781
258,0.17089844
259,0.028198242
260,0.25390625
261,0.022216797
262,0.12890625
263,0.09033203
264,0.20019531
265,-0.13867188
266,-0.234375
267,-0.12695312
268,-0.10546875
269,0.080566406
270,-0.30273438
271,0.33007812
272,0.17382812
273,0.06738281
274,0.08105469
275,0.071777344
276,0.045654297
277,0.061035156
278,-0.12060547
279,0.05419922
280,-0.100097656
281,-0.17285156
282,0.096191406
283,0.072265625
284,-0.296875
285,-0.05493164
286,-0.51171875
287,0.037353516
288,0.012939453
289,0.24316406
290,-0.12792969
291,-0.140625
292,-0.296875
293,-0.11621094
294,-0.15429688
295,0.059570312
296,-0.27734375
297,0.030639648
298,0.064941406
299,0.27929688
