,Guatemala
0,-0.26953125
1,-0.12792969
2,0.03564453
3,0.25585938
4,-0.15625
5,-0.041748047
6,0.10595703
7,-0.17480469
8,-0.2578125
9,-0.16308594
10,0.111816406
11,-0.027832031
12,0.08203125
13,0.05834961
14,0.34960938
15,-0.015563965
16,-0.057373047
17,0.33789062
18,-0.18554688
19,0.19140625
20,0.09472656
21,-0.27148438
22,0.05029297
23,0.20214844
24,-0.040039062
25,-0.17285156
26,-0.22460938
27,-0.27539062
28,-0.24121094
29,0.27539062
30,0.119628906
31,-0.25976562
32,-0.23925781
33,-0.171875
34,-0.021972656
35,-0.052734375
36,-0.31640625
37,-0.12695312
38,0.052978516
39,-0.17382812
40,-0.001083374
41,0.20214844
42,0.3125
43,0.12988281
44,-0.041992188
45,0.18164062
46,0.0625
47,-0.15722656
48,0.050048828
49,0.40039062
50,0.111328125
51,-0.11376953
52,0.026977539
53,-0.22851562
54,-0.31445312
55,0.123046875
56,-0.23632812
57,0.087890625
58,-0.115234375
59,-0.11376953
60,0.046875
61,-0.014953613
62,-0.095214844
63,0.20605469
64,0.19726562
65,-0.49609375
66,0.053222656
67,-0.072753906
68,-0.046875
69,0.00793457
70,-0.27929688
71,0.046875
72,-0.15332031
73,0.051757812
74,-0.043701172
75,0.037353516
76,0.3203125
77,-0.068359375
78,0.10546875
79,0.140625
80,-0.041503906
81,0.19824219
82,-0.106933594
83,-0.3828125
84,-0.13867188
85,-0.15917969
86,0.03857422
87,-0.044677734
88,-0.05859375
89,0.053710938
90,0.17871094
91,0.033691406
92,-0.21875
93,-0.01361084
94,-0.09814453
95,-0.056152344
96,0.07519531
97,0.04711914
98,0.17480469
99,0.26367188
100,-0.22558594
101,0.111816406
102,-0.08203125
103,-0.080078125
104,0.27539062
105,0.045898438
106,0.119628906
107,-0.2890625
108,-0.24414062
109,0.019165039
110,0.08154297
111,0.104003906
112,-0.017578125
113,-0.43164062
114,-0.25390625
115,0.09326172
116,0.12158203
117,0.13671875
118,0.33007812
119,0.16503906
120,-0.14746094
121,-0.40820312
122,-0.047607422
123,-0.017578125
124,0.00089645386
125,0.26367188
126,-0.03125
127,0.0546875
128,-0.2578125
129,0.23632812
130,-0.13085938
131,-0.10839844
132,-0.040283203
133,-0.11816406
134,0.068847656
135,-0.05029297
136,-0.6171875
137,0.0107421875
138,0.061279297
139,-0.02758789
140,-0.15527344
141,-0.23144531
142,0.3125
143,-0.07128906
144,0.29296875
145,0.20117188
146,-0.11279297
147,-0.12451172
148,-0.038085938
149,0.019897461
150,0.48242188
151,-0.50390625
152,-0.10644531
153,0.099121094
154,0.07714844
155,-0.16894531
156,-0.56640625
157,0.28320312
158,-0.014892578
159,0.017944336
160,-0.08300781
161,0.0023040771
162,-0.13476562
163,0.14160156
164,0.038330078
165,0.06982422
166,-0.037353516
167,-0.044921875
168,0.020019531
169,-0.140625
170,-0.09033203
171,0.30664062
172,0.05859375
173,-0.040771484
174,0.08642578
175,-0.1796875
176,0.11816406
177,-0.092285156
178,-0.0154418945
179,-0.060302734
180,-0.29296875
181,-0.18457031
182,-0.088378906
183,-0.026733398
184,-0.16503906
185,-0.14257812
186,0.15332031
187,0.0048828125
188,0.06298828
189,0.08984375
190,0.03173828
191,0.0390625
192,0.20117188
193,-0.2890625
194,-0.024047852
195,0.29882812
196,0.025024414
197,-0.1953125
198,-0.38476562
199,-0.048828125
200,0.06982422
201,-0.052246094
202,0.11669922
203,-0.032714844
204,-0.025634766
205,-0.045898438
206,0.087402344
207,-0.0018539429
208,-0.13183594
209,-0.13574219
210,-0.06640625
211,0.10644531
212,-0.21289062
213,0.12695312
214,-0.21875
215,0.22070312
216,-0.2578125
217,0.014953613
218,-0.21386719
219,-0.11767578
220,-0.23730469
221,-0.010559082
222,-0.02746582
223,0.15917969
224,0.013061523
225,-0.24023438
226,0.18164062
227,0.40625
228,0.3359375
229,0.13574219
230,-0.16796875
231,0.021606445
232,0.044921875
233,0.033691406
234,-0.11816406
235,0.005004883
236,-0.16503906
237,-0.0859375
238,0.30078125
239,-0.012268066
240,-0.16699219
241,-0.1796875
242,-0.0062561035
243,0.17773438
244,-0.11816406
245,0.18261719
246,-0.14648438
247,-0.14550781
248,-0.03930664
249,-0.2265625
250,-0.1640625
251,-0.029418945
252,0.34179688
253,-0.04736328
254,0.06933594
255,-0.21582031
256,0.19628906
257,-0.22753906
258,0.16992188
259,-0.15039062
260,0.3515625
261,0.08203125
262,0.36132812
263,0.012268066
264,0.20996094
265,-0.12060547
266,-0.4140625
267,0.05126953
268,-0.01977539
269,-0.0045776367
270,-0.51953125
271,0.28710938
272,0.002670288
273,-0.049316406
274,0.0058288574
275,0.032470703
276,-0.09375
277,0.31640625
278,0.0064697266
279,-0.00579834
280,0.34179688
281,-0.21972656
282,-0.032470703
283,0.13378906
284,-0.2890625
285,-0.22949219
286,-0.18457031
287,0.119140625
288,-0.16992188
289,0.24414062
290,-0.091308594
291,-0.14453125
292,-0.21289062
293,0.078125
294,0.17480469
295,0.38476562
296,-0.02722168
297,-0.14550781
298,0.24511719
299,0.10986328
