,Haiti
0,0.0043640137
1,-0.057861328
2,-0.06347656
3,0.26171875
4,-0.049072266
5,0.22363281
6,-0.021728516
7,-0.4765625
8,-0.0015106201
9,-0.5390625
10,0.01965332
11,-0.048339844
12,0.27148438
13,-0.052490234
14,0.3125
15,0.09277344
16,0.11279297
17,0.26171875
18,-0.18457031
19,0.087890625
20,0.07519531
21,0.037841797
22,0.51953125
23,0.0060424805
24,0.07763672
25,-0.04248047
26,0.041015625
27,-0.21484375
28,-0.00390625
29,0.1015625
30,-0.14160156
31,-0.05493164
32,-0.33007812
33,-0.21484375
34,0.032958984
35,-0.07763672
36,-0.119140625
37,-0.3203125
38,-0.16113281
39,0.13183594
40,-0.05883789
41,0.34375
42,0.1953125
43,0.29882812
44,0.24707031
45,0.079589844
46,-0.17773438
47,0.096191406
48,0.1484375
49,0.5390625
50,0.18652344
51,-0.3515625
52,-0.24023438
53,-0.083496094
54,-0.20898438
55,0.0703125
56,-0.33398438
57,0.015625
58,-0.24414062
59,-0.091308594
60,0.3203125
61,0.07470703
62,0.08984375
63,0.046875
64,0.15820312
65,-0.19433594
66,-0.092285156
67,-0.17480469
68,-0.010070801
69,-0.25195312
70,-0.15136719
71,-0.071777344
72,-0.30664062
73,-0.0072021484
74,0.015319824
75,-0.049804688
76,0.1015625
77,-0.076171875
78,0.20703125
79,-0.2734375
80,-0.26953125
81,-0.06298828
82,-0.125
83,-0.265625
84,-0.014160156
85,-0.265625
86,0.04248047
87,0.050048828
88,0.30078125
89,0.20019531
90,-0.045410156
91,0.071777344
92,-0.083496094
93,-0.11279297
94,-0.006866455
95,-0.060058594
96,0.25
97,-0.0625
98,0.08300781
99,0.28515625
100,-0.4140625
101,0.24414062
102,0.06933594
103,-0.3046875
104,-0.03515625
105,0.12792969
106,0.015625
107,-0.375
108,-0.1484375
109,0.30273438
110,-0.053222656
111,0.084472656
112,-0.015991211
113,0.08154297
114,-0.12207031
115,0.083984375
116,0.12792969
117,0.15625
118,0.35742188
119,0.35742188
120,-0.27734375
121,-0.38867188
122,-0.022705078
123,0.010681152
124,0.16796875
125,0.39648438
126,-0.33398438
127,-0.080566406
128,-0.12792969
129,0.38085938
130,-0.072265625
131,-0.29296875
132,-0.17089844
133,-0.07470703
134,0.09423828
135,0.032714844
136,-0.007659912
137,-0.19726562
138,0.28320312
139,0.06738281
140,0.0546875
141,-0.19335938
142,0.22265625
143,0.013671875
144,0.37109375
145,-0.17675781
146,0.13378906
147,-0.24316406
148,0.140625
149,-0.24804688
150,0.17089844
151,-0.53515625
152,-0.12011719
153,0.18945312
154,0.23632812
155,-0.010620117
156,-0.24414062
157,0.31054688
158,0.18457031
159,0.019042969
160,-0.40429688
161,0.025512695
162,0.04663086
163,0.0546875
164,0.2734375
165,-0.3515625
166,-0.033691406
167,-0.083496094
168,0.28125
169,0.047607422
170,0.22558594
171,0.37695312
172,0.020507812
173,-0.28515625
174,-0.05859375
175,0.12988281
176,0.19433594
177,-0.09863281
178,-0.11816406
179,-0.19042969
180,-0.24902344
181,0.24707031
182,-0.09472656
183,0.08300781
184,-0.14355469
185,-0.12402344
186,0.23339844
187,-0.057373047
188,0.021362305
189,-0.032958984
190,0.19433594
191,0.049804688
192,0.044677734
193,-0.484375
194,-0.4140625
195,0.4765625
196,0.109375
197,-0.26171875
198,-0.013549805
199,-0.12597656
200,-0.16992188
201,0.11767578
202,0.31054688
203,-0.24121094
204,-0.26171875
205,0.04296875
206,0.0703125
207,0.107910156
208,0.056152344
209,0.17480469
210,-0.20605469
211,-0.15039062
212,0.057617188
213,0.26757812
214,-0.26953125
215,0.051513672
216,-0.26367188
217,0.05810547
218,-0.29492188
219,-0.25585938
220,-0.027709961
221,-0.060302734
222,-0.017578125
223,0.115722656
224,0.076660156
225,-0.055908203
226,-0.13574219
227,0.3203125
228,0.5
229,0.022216797
230,-0.15917969
231,0.09667969
232,0.17578125
233,-0.22851562
234,0.125
235,-0.091308594
236,-0.08105469
237,-0.20996094
238,0.03881836
239,0.007537842
240,0.09814453
241,0.11669922
242,-0.08886719
243,-0.11376953
244,0.0031585693
245,0.27929688
246,-0.203125
247,0.049072266
248,-0.123046875
249,-0.47070312
250,-0.23144531
251,-0.009338379
252,0.040771484
253,0.07128906
254,0.17675781
255,-0.20605469
256,0.22753906
257,0.18066406
258,0.17089844
259,0.12060547
260,-0.23828125
261,0.037109375
262,0.2578125
263,0.107910156
264,-0.24609375
265,-0.122558594
266,-0.27929688
267,-0.06201172
268,-0.13769531
269,-0.25195312
270,-0.3203125
271,0.39453125
272,0.14746094
273,-0.0073242188
274,-0.09814453
275,0.140625
276,0.02709961
277,0.04345703
278,0.10107422
279,0.022094727
280,0.14160156
281,-0.05859375
282,0.27148438
283,0.15332031
284,0.19042969
285,0.043701172
286,-0.3046875
287,0.122558594
288,0.17382812
289,0.03564453
290,-0.15722656
291,-0.123046875
292,-0.25976562
293,-0.061767578
294,0.10888672
295,0.359375
296,-0.25976562
297,-0.057373047
298,0.25
299,-0.15820312
