,Honduras
0,-0.080566406
1,-0.3828125
2,0.30859375
3,0.33984375
4,-0.030761719
5,-0.09423828
6,-0.25976562
7,-0.359375
8,-0.23632812
9,-0.13867188
10,0.099609375
11,-0.046142578
12,0.104003906
13,0.0099487305
14,0.32226562
15,-0.009033203
16,0.095703125
17,0.4921875
18,0.11035156
19,0.18652344
20,0.27929688
21,-0.16113281
22,-0.12060547
23,-0.014709473
24,0.04736328
25,0.15429688
26,-0.087890625
27,-0.31640625
28,-0.072753906
29,0.35351562
30,0.15527344
31,-0.28710938
32,-0.0006752014
33,-0.31640625
34,-0.027832031
35,0.063964844
36,-0.31835938
37,-0.078125
38,-0.13574219
39,0.01361084
40,0.059814453
41,0.19335938
42,0.4375
43,0.23632812
44,-0.06542969
45,0.16894531
46,-0.076171875
47,-0.053710938
48,0.14648438
49,0.44921875
50,-0.2109375
51,-0.2734375
52,-0.083984375
53,-0.11669922
54,-0.059326172
55,-0.20214844
56,-0.24414062
57,0.16796875
58,-0.076660156
59,0.023803711
60,-0.12988281
61,0.21875
62,-0.07373047
63,-0.05419922
64,0.010314941
65,-0.4609375
66,0.008666992
67,-0.2421875
68,0.0025024414
69,-0.056152344
70,-0.1796875
71,0.092285156
72,-0.068847656
73,-0.19238281
74,-0.07763672
75,0.01953125
76,0.31054688
77,-0.22167969
78,0.20507812
79,-0.019042969
80,-0.39257812
81,0.041992188
82,-0.23925781
83,-0.3125
84,0.08105469
85,-0.33984375
86,-0.005065918
87,0.0026397705
88,-0.03149414
89,-0.023925781
90,0.30078125
91,-0.09472656
92,-0.35546875
93,0.04638672
94,-0.03149414
95,-0.234375
96,0.03881836
97,-0.12792969
98,0.19726562
99,0.27148438
100,-0.06982422
101,0.43359375
102,-0.0017089844
103,-0.14550781
104,0.115722656
105,0.23632812
106,0.2421875
107,-0.48632812
108,-0.044189453
109,0.06298828
110,0.029174805
111,-0.030029297
112,-0.080078125
113,-0.21289062
114,-0.27929688
115,0.026367188
116,0.21679688
117,0.37695312
118,0.46679688
119,0.23242188
120,-0.052246094
121,-0.34375
122,-0.046142578
123,0.032958984
124,0.048583984
125,0.3671875
126,-0.16113281
127,0.15625
128,-0.22949219
129,0.19140625
130,-0.015563965
131,0.06933594
132,-0.057128906
133,-0.088378906
134,0.034423828
135,-0.110839844
136,-0.48046875
137,-0.0017852783
138,0.06347656
139,0.118652344
140,-0.20996094
141,-0.28515625
142,0.16699219
143,-0.014160156
144,0.24902344
145,0.15332031
146,0.19921875
147,-0.15429688
148,0.19824219
149,-0.064941406
150,0.48242188
151,-0.6171875
152,-0.057861328
153,-0.015625
154,0.03857422
155,-0.18359375
156,-0.51171875
157,0.1796875
158,0.17675781
159,0.3359375
160,-0.09326172
161,0.26757812
162,-0.05517578
163,0.0052490234
164,0.09033203
165,-0.19921875
166,-0.029418945
167,-0.053710938
168,0.20410156
169,0.09277344
170,-0.0072021484
171,0.54296875
172,-0.0024871826
173,-0.06347656
174,0.013000488
175,-0.1328125
176,0.08154297
177,-0.022460938
178,-0.17089844
179,0.07861328
180,-0.47070312
181,-0.27734375
182,-0.14453125
183,0.18359375
184,-0.025512695
185,-0.19824219
186,0.17382812
187,-0.17578125
188,0.13378906
189,0.11816406
190,-0.07763672
191,0.034423828
192,0.109375
193,-0.32617188
194,0.0074157715
195,0.15332031
196,-0.14160156
197,-0.17089844
198,-0.20800781
199,-0.13769531
200,-0.080566406
201,-0.12695312
202,0.0107421875
203,0.13378906
204,0.06298828
205,-0.18847656
206,-0.018676758
207,-0.00016975403
208,-0.22460938
209,-0.22363281
210,-0.046875
211,0.114746094
212,-0.063964844
213,0.08886719
214,-0.15234375
215,0.00579834
216,-0.041748047
217,0.024047852
218,-0.24316406
219,-0.04321289
220,-0.18652344
221,-0.037597656
222,0.019042969
223,0.09472656
224,-0.032958984
225,-0.021484375
226,0.1796875
227,0.27929688
228,0.43359375
229,0.05078125
230,-0.28320312
231,-0.009155273
232,0.020385742
233,0.0056762695
234,0.0064697266
235,0.006286621
236,-0.13476562
237,0.15722656
238,0.08984375
239,0.16113281
240,-0.107910156
241,-0.103027344
242,-0.20800781
243,0.01965332
244,-0.31054688
245,0.20117188
246,-0.390625
247,-0.115722656
248,-0.06689453
249,-0.18945312
250,-0.09472656
251,0.14355469
252,0.17871094
253,-0.0041503906
254,0.17675781
255,-0.18066406
256,0.24804688
257,-0.018920898
258,0.08251953
259,0.049560547
260,0.10253906
261,0.09814453
262,0.375
263,0.16308594
264,0.22167969
265,-0.10498047
266,-0.328125
267,-0.07861328
268,0.025878906
269,-0.12060547
270,-0.33398438
271,0.44140625
272,0.22070312
273,-0.018066406
274,-0.07373047
275,0.19726562
276,-0.13769531
277,-0.05859375
278,0.08984375
279,0.15136719
280,0.21875
281,-0.1796875
282,0.1484375
283,0.25585938
284,0.013793945
285,-0.21191406
286,-0.1875
287,-0.029052734
288,-0.068847656
289,-0.05859375
290,-0.08251953
291,-0.048828125
292,-0.26757812
293,-0.23828125
294,0.11816406
295,0.4921875
296,0.009399414
297,-0.092285156
298,0.32226562
299,0.09375
