,Hungary
0,0.109375
1,-0.06201172
2,0.16015625
3,0.013793945
4,-0.12158203
5,-0.0625
6,0.079589844
7,-0.15820312
8,-0.13378906
9,0.04663086
10,-0.08251953
11,-0.18261719
12,0.011657715
13,-0.2578125
14,-0.030273438
15,-0.00014591217
16,-0.109375
17,0.22363281
18,0.060546875
19,-0.080078125
20,0.40234375
21,0.026367188
22,0.21582031
23,0.25390625
24,-0.06933594
25,0.13476562
26,-0.16503906
27,-0.021972656
28,-0.104003906
29,0.4765625
30,-0.17480469
31,-0.22753906
32,0.15917969
33,-0.052246094
34,-0.009643555
35,-0.31640625
36,-0.24804688
37,0.15820312
38,0.34960938
39,0.0025634766
40,-0.092285156
41,0.12597656
42,0.39453125
43,-0.046875
44,0.032958984
45,0.076660156
46,-0.15917969
47,0.010986328
48,0.12792969
49,0.15136719
50,-0.13867188
51,-0.024047852
52,-0.018554688
53,0.27929688
54,-0.18945312
55,0.045654297
56,-0.30078125
57,-0.018188477
58,-0.1875
59,-0.071777344
60,0.06640625
61,-0.07519531
62,0.099121094
63,-0.28125
64,0.24707031
65,-0.10205078
66,0.51953125
67,0.0027313232
68,0.09814453
69,0.03857422
70,-0.20800781
71,0.0625
72,-0.019897461
73,-0.12695312
74,-0.08544922
75,-0.20117188
76,0.015380859
77,-0.106933594
78,0.17480469
79,0.18066406
80,-0.052246094
81,-0.23046875
82,-0.052734375
83,-0.12988281
84,0.16699219
85,-0.096191406
86,-0.19042969
87,-0.0390625
88,0.02758789
89,0.036621094
90,0.13574219
91,-0.107910156
92,-0.26953125
93,0.29492188
94,-0.4140625
95,-0.16894531
96,-0.14257812
97,-0.15625
98,-0.0060424805
99,0.03857422
100,-0.061767578
101,0.125
102,0.033447266
103,0.15527344
104,0.029541016
105,-0.24511719
106,0.06347656
107,0.034179688
108,-0.16113281
109,-0.17285156
110,0.19433594
111,0.076171875
112,-0.15136719
113,-0.28320312
114,-0.03930664
115,0.09472656
116,0.025512695
117,-0.12988281
118,0.3125
119,0.36132812
120,-0.23925781
121,-0.10058594
122,0.110839844
123,0.0859375
124,-0.08203125
125,0.029052734
126,0.0034484863
127,-0.22949219
128,-0.58984375
129,0.10986328
130,-0.106933594
131,0.011413574
132,-0.09667969
133,-0.26171875
134,-0.072753906
135,0.024414062
136,-0.12695312
137,0.10595703
138,0.22949219
139,0.016357422
140,0.18652344
141,-0.0119018555
142,0.084472656
143,0.095214844
144,0.29296875
145,0.0062561035
146,7.390976e-05
147,0.24121094
148,-0.32421875
149,-0.18164062
150,0.26953125
151,-0.15429688
152,0.03857422
153,-0.20117188
154,0.16894531
155,-0.15820312
156,-0.43945312
157,0.17089844
158,0.052001953
159,0.060302734
160,0.008117676
161,0.017822266
162,-0.203125
163,-0.15332031
164,0.15722656
165,-0.046142578
166,0.007507324
167,0.2265625
168,-0.03515625
169,0.07128906
170,-0.25390625
171,-0.046142578
172,0.265625
173,0.07421875
174,-0.057373047
175,-0.25
176,0.12597656
177,-0.18164062
178,0.08935547
179,-0.24316406
180,0.032714844
181,-0.19238281
182,-0.21386719
183,-0.22558594
184,0.19140625
185,-0.05053711
186,0.079589844
187,-0.036621094
188,-0.16308594
189,0.2265625
190,-0.13085938
191,-0.15039062
192,-0.009094238
193,-0.123046875
194,0.11767578
195,0.056884766
196,-0.083496094
197,-0.16015625
198,-0.21875
199,-0.20898438
200,0.084472656
201,-0.028076172
202,-0.068359375
203,0.07763672
204,-0.14746094
205,-0.13964844
206,-0.26367188
207,0.033691406
208,-0.39648438
209,-0.08105469
210,0.046875
211,-0.26757812
212,0.09814453
213,0.19433594
214,-0.19824219
215,-0.14453125
216,0.1484375
217,-0.17285156
218,0.30273438
219,-0.04248047
220,-0.25390625
221,-0.14941406
222,-0.25390625
223,-0.14648438
224,-0.26757812
225,-0.06640625
226,0.0058898926
227,0.0072631836
228,0.25976562
229,-0.26367188
230,-0.043945312
231,0.13867188
232,0.087890625
233,-0.12792969
234,-0.03564453
235,0.29296875
236,-0.06738281
237,-0.06982422
238,0.032226562
239,0.061035156
240,0.17089844
241,0.046142578
242,-0.084472656
243,0.24902344
244,0.017700195
245,0.17089844
246,0.08203125
247,0.08544922
248,0.03564453
249,-0.21386719
250,0.19042969
251,-0.008361816
252,-0.1015625
253,0.3359375
254,-0.06640625
255,0.2578125
256,0.24609375
257,0.11621094
258,0.2578125
259,0.033203125
260,0.24902344
261,0.26757812
262,0.21289062
263,0.1640625
264,0.3828125
265,-0.0034942627
266,-0.25976562
267,0.006652832
268,0.06738281
269,0.11328125
270,0.10644531
271,-0.053710938
272,0.068847656
273,-0.13671875
274,0.10986328
275,-0.1171875
276,0.23046875
277,0.041992188
278,-0.20605469
279,0.063964844
280,0.103027344
281,0.09082031
282,0.14746094
283,0.123046875
284,-0.29492188
285,0.0058288574
286,0.03100586
287,-0.0028533936
288,-0.09375
289,0.13574219
290,-0.20410156
291,0.19921875
292,-0.328125
293,0.09033203
294,-0.14257812
295,0.14453125
296,-0.13867188
297,0.26171875
298,0.079589844
299,-0.025024414
