,Iceland
0,0.040771484
1,-0.25585938
2,-0.01977539
3,0.31054688
4,-0.15820312
5,-0.12597656
6,0.0625
7,-0.36914062
8,-0.10644531
9,-0.059326172
10,-0.22460938
11,-0.07080078
12,0.0703125
13,-0.25390625
14,0.014770508
15,-0.12207031
16,0.020263672
17,0.15625
18,0.04248047
19,0.0390625
20,0.265625
21,-0.06298828
22,-0.041015625
23,0.076171875
24,-0.106933594
25,0.061035156
26,-0.10449219
27,0.115722656
28,0.2109375
29,0.037841797
30,0.080566406
31,-0.10839844
32,0.076171875
33,-0.07861328
34,-0.04248047
35,-0.028076172
36,-0.40234375
37,0.008605957
38,0.13769531
39,0.07421875
40,0.21777344
41,-0.14648438
42,-0.020996094
43,0.084472656
44,-0.018188477
45,0.10546875
46,-0.09033203
47,-0.20117188
48,0.12792969
49,0.030761719
50,-0.09716797
51,-0.27734375
52,-0.0018920898
53,-0.04321289
54,-0.24609375
55,-0.096191406
56,-0.41796875
57,-0.019897461
58,-0.25390625
59,-0.36328125
60,-0.024169922
61,-0.02734375
62,-0.007293701
63,-0.056884766
64,0.29882812
65,-0.5078125
66,0.21972656
67,-0.111328125
68,-0.103515625
69,-0.18554688
70,-0.07763672
71,-0.33398438
72,0.26757812
73,-0.12158203
74,-0.111816406
75,-0.24511719
76,-0.026855469
77,0.057373047
78,0.109375
79,0.06738281
80,-0.045410156
81,-0.22363281
82,-0.011047363
83,-0.19042969
84,0.23339844
85,-0.027832031
86,-0.31835938
87,-0.010681152
88,0.091308594
89,-0.0056762695
90,0.05053711
91,-0.115234375
92,-0.27734375
93,0.123535156
94,-0.21484375
95,-0.15039062
96,0.09277344
97,-0.2421875
98,0.25585938
99,-0.0005455017
100,0.055419922
101,0.32617188
102,-0.15722656
103,0.16210938
104,0.15625
105,0.18652344
106,-0.080078125
107,0.0029296875
108,0.05908203
109,-0.028076172
110,0.024780273
111,0.19824219
112,0.13769531
113,-0.21679688
114,-0.061523438
115,-0.14550781
116,0.064941406
117,0.032958984
118,0.34570312
119,0.13769531
120,-0.16894531
121,-0.22167969
122,-0.020385742
123,0.008300781
124,-0.24902344
125,0.1953125
126,-0.17089844
127,0.049072266
128,-0.43164062
129,0.140625
130,-0.02331543
131,0.15429688
132,-0.078125
133,0.007171631
134,0.072753906
135,-0.16308594
136,-0.39257812
137,-0.12890625
138,0.06640625
139,-0.010437012
140,0.17578125
141,-0.17089844
142,0.14648438
143,-0.10888672
144,0.32421875
145,-0.009765625
146,-0.23925781
147,0.21875
148,0.009094238
149,0.18066406
150,0.03149414
151,-0.19335938
152,0.052246094
153,-0.25390625
154,0.19628906
155,-0.1953125
156,-0.016235352
157,-0.020019531
158,0.3984375
159,0.36523438
160,-0.107910156
161,0.20410156
162,0.19238281
163,0.04272461
164,0.26171875
165,-0.27539062
166,0.04638672
167,0.13183594
168,-0.37109375
169,0.45117188
170,-0.375
171,0.22851562
172,0.11816406
173,0.4140625
174,-0.38867188
175,-0.2734375
176,-0.010620117
177,0.09716797
178,-0.026977539
179,0.047607422
180,0.19824219
181,-0.41210938
182,-0.06689453
183,-0.25390625
184,0.06591797
185,0.080078125
186,0.016479492
187,-0.22460938
188,-0.07324219
189,0.171875
190,-0.19921875
191,-0.07128906
192,0.12695312
193,0.047851562
194,0.053710938
195,0.19726562
196,0.055908203
197,-0.122558594
198,-0.32421875
199,-0.3125
200,-0.18652344
201,0.03173828
202,0.08105469
203,-0.171875
204,0.08984375
205,0.30664062
206,0.18164062
207,0.10449219
208,-0.26367188
209,-0.20507812
210,-0.028930664
211,0.02355957
212,0.12109375
213,0.29101562
214,-0.27929688
215,-0.1953125
216,0.38671875
217,0.06201172
218,0.118652344
219,-0.099609375
220,0.024658203
221,-0.43554688
222,0.14257812
223,-0.028808594
224,-0.14746094
225,0.024047852
226,-0.07763672
227,-0.049316406
228,-0.020263672
229,-0.33398438
230,0.1015625
231,0.048339844
232,0.12890625
233,-0.06933594
234,0.25
235,0.33984375
236,-0.037353516
237,0.07421875
238,0.09667969
239,-0.072753906
240,-0.100097656
241,0.0030975342
242,-0.125
243,-0.18359375
244,0.115722656
245,-0.19238281
246,-0.0046081543
247,-0.10449219
248,0.18359375
249,-0.2421875
250,-0.123046875
251,-0.063964844
252,0.1484375
253,0.22753906
254,-0.019042969
255,0.045166016
256,0.390625
257,0.33398438
258,0.2265625
259,-0.22070312
260,0.31445312
261,0.055908203
262,-0.072753906
263,0.14746094
264,0.03857422
265,0.028198242
266,-0.3671875
267,-0.053955078
268,0.10253906
269,-0.3671875
270,-0.296875
271,0.16210938
272,0.22265625
273,0.10595703
274,0.044433594
275,0.0074768066
276,-0.11035156
277,0.19335938
278,0.012878418
279,-0.1640625
280,-0.10986328
281,-0.019897461
282,0.04663086
283,0.34765625
284,-0.15527344
285,-0.11767578
286,-0.14160156
287,-0.001335144
288,-0.0075683594
289,0.24609375
290,0.032470703
291,0.032226562
292,-0.21289062
293,-0.01159668
294,-0.1015625
295,0.33007812
296,-0.015136719
297,0.31640625
298,0.35351562
299,-0.052734375
