,India
0,-0.032470703
1,0.061035156
2,0.17285156
3,0.25390625
4,-0.19726562
5,-0.15527344
6,0.106933594
7,-0.23144531
8,-0.20996094
9,-0.025878906
10,-0.1328125
11,-0.10449219
12,0.33203125
13,-0.17480469
14,0.014587402
15,-0.07128906
16,0.016235352
17,0.06591797
18,-0.0154418945
19,0.05126953
20,7.05719e-05
21,-0.14746094
22,0.0025787354
23,-0.123046875
24,0.10253906
25,0.13964844
26,-0.38867188
27,-0.16308594
28,-0.08935547
29,0.072753906
30,-0.09667969
31,-0.27929688
32,-0.42382812
33,0.04248047
34,0.02746582
35,-0.087402344
36,-0.21777344
37,-0.053466797
38,0.29101562
39,0.034423828
40,0.084472656
41,0.08154297
42,-0.037841797
43,0.24023438
44,-0.028930664
45,-0.02331543
46,-0.22753906
47,0.07519531
48,0.18066406
49,0.029296875
50,0.052001953
51,0.15136719
52,0.0014724731
53,-0.028564453
54,0.025634766
55,0.03125
56,-0.17675781
57,-0.15527344
58,0.029296875
59,-0.21289062
60,0.011657715
61,-0.020996094
62,-0.045166016
63,-0.106933594
64,-0.12109375
65,0.21972656
66,0.057617188
67,0.0859375
68,0.026367188
69,-0.11816406
70,-0.33984375
71,0.044189453
72,-0.059814453
73,-0.028686523
74,-0.01373291
75,-0.31640625
76,0.0087890625
77,0.12597656
78,-0.15917969
79,0.16308594
80,0.0008773804
81,0.023925781
82,0.020996094
83,-0.049316406
84,-0.09277344
85,-0.0010299683
86,-0.008483887
87,-0.080078125
88,0.095214844
89,0.030151367
90,0.06738281
91,0.1015625
92,-0.3359375
93,-0.05493164
94,-0.14257812
95,-0.024780273
96,0.15136719
97,-0.10107422
98,0.2578125
99,0.0390625
100,-0.15722656
101,-0.056396484
102,0.013366699
103,0.04321289
104,0.016479492
105,-0.084472656
106,0.11669922
107,-0.043701172
108,-0.026000977
109,0.14746094
110,-0.08203125
111,0.028198242
112,-0.09765625
113,-0.14550781
114,0.23632812
115,0.14453125
116,-0.056884766
117,-0.22949219
118,0.4140625
119,0.103515625
120,-0.080078125
121,0.064941406
122,-0.17480469
123,0.12695312
124,-0.41992188
125,0.16894531
126,0.07763672
127,-0.02319336
128,-0.22753906
129,-0.064941406
130,-0.21386719
131,0.25585938
132,-0.030517578
133,-0.20898438
134,-0.025512695
135,-0.095703125
136,-0.031982422
137,0.125
138,-0.079589844
139,0.04321289
140,0.23046875
141,-0.16308594
142,0.10546875
143,0.033691406
144,-0.14355469
145,0.039794922
146,0.1328125
147,0.09375
148,0.15820312
149,0.08251953
150,0.18945312
151,-0.3046875
152,0.091796875
153,-0.23339844
154,-0.1171875
155,-0.4296875
156,-0.45117188
157,-0.031982422
158,0.1484375
159,0.09716797
160,-0.18066406
161,-0.36132812
162,-0.005004883
163,-0.15722656
164,0.21289062
165,-0.390625
166,0.016357422
167,-0.05908203
168,0.14453125
169,0.14550781
170,-0.26367188
171,0.15625
172,0.088378906
173,-0.20703125
174,0.19921875
175,-0.3359375
176,0.27148438
177,-0.30273438
178,-0.20800781
179,-0.23730469
180,0.008300781
181,-0.07910156
182,-0.09033203
183,-0.15234375
184,0.21777344
185,0.080566406
186,0.2890625
187,0.16894531
188,0.203125
189,0.099121094
190,-0.2734375
191,-0.053710938
192,-0.37109375
193,-0.107910156
194,0.091796875
195,0.19238281
196,0.084472656
197,-0.12402344
198,0.068359375
199,-0.24511719
200,0.13671875
201,-0.203125
202,0.091796875
203,-0.103027344
204,-0.004760742
205,0.23730469
206,-0.19824219
207,-0.33789062
208,0.028808594
209,-0.048095703
210,-0.0703125
211,0.007751465
212,0.005218506
213,-0.01928711
214,-0.048339844
215,0.10644531
216,0.037353516
217,0.36328125
218,-0.0859375
219,-0.07373047
220,-0.083496094
221,0.037841797
222,-0.20898438
223,0.16796875
224,-0.1953125
225,-0.010681152
226,-0.0011901855
227,-0.17285156
228,0.22753906
229,0.047851562
230,-0.31445312
231,0.099121094
232,0.31640625
233,-0.06689453
234,0.14550781
235,0.034179688
236,-0.043701172
237,0.076660156
238,-0.064453125
239,-0.104003906
240,0.14550781
241,0.06542969
242,0.042236328
243,-0.017333984
244,-0.023071289
245,0.024291992
246,-0.095703125
247,-0.29492188
248,0.13769531
249,-0.027954102
250,0.118652344
251,-0.10839844
252,0.13378906
253,0.13378906
254,0.07519531
255,0.20507812
256,0.12451172
257,-0.06347656
258,-0.037353516
259,-0.13183594
260,0.03515625
261,0.087402344
262,0.2734375
263,-0.056152344
264,0.140625
265,0.06201172
266,-0.234375
267,-0.068847656
268,0.18261719
269,-0.020507812
270,-0.110839844
271,-0.03881836
272,0.111816406
273,-0.15332031
274,0.20410156
275,-0.06225586
276,-0.03112793
277,0.140625
278,-0.10595703
279,-0.028320312
280,0.056640625
281,-0.09082031
282,-0.11767578
283,0.008544922
284,-0.04345703
285,-0.040771484
286,-0.055419922
287,0.018310547
288,-0.12060547
289,0.18359375
290,0.15820312
291,-0.04711914
292,-0.020629883
293,-0.017211914
294,-0.12060547
295,-0.09033203
296,-0.067871094
297,0.13183594
298,-0.119628906
299,-0.084472656
