,Jamaica
0,-0.28320312
1,-0.37695312
2,0.023071289
3,-0.11425781
4,0.07080078
5,-0.12207031
6,-0.12060547
7,-0.05517578
8,-0.24609375
9,-0.16113281
10,0.026733398
11,-0.08105469
12,0.44921875
13,0.0046081543
14,0.34179688
15,0.21777344
16,0.043701172
17,0.24707031
18,-0.03149414
19,0.07910156
20,0.029907227
21,-0.15820312
22,0.08251953
23,-0.004333496
24,0.044677734
25,0.25585938
26,0.08691406
27,-0.12792969
28,-0.063964844
29,0.40429688
30,0.04272461
31,-0.22851562
32,-0.18457031
33,0.047851562
34,-0.010925293
35,0.11767578
36,-0.16503906
37,-0.17675781
38,-0.07763672
39,-0.12109375
40,-0.23535156
41,0.28320312
42,0.33203125
43,0.21289062
44,-0.05859375
45,-0.05493164
46,-0.31445312
47,-0.2265625
48,0.17578125
49,0.17675781
50,0.19726562
51,-0.03930664
52,0.16503906
53,-0.24609375
54,0.07519531
55,0.09667969
56,-0.43554688
57,0.08984375
58,-0.24414062
59,-0.06347656
60,0.075683594
61,-0.056152344
62,0.030517578
63,0.01928711
64,0.1796875
65,-0.18945312
66,-0.111328125
67,-0.15917969
68,-0.052490234
69,-0.26367188
70,-0.26757812
71,-0.1796875
72,-0.03930664
73,-0.06982422
74,-0.21582031
75,-0.140625
76,0.060302734
77,-0.06347656
78,0.04638672
79,-0.021484375
80,-0.24121094
81,0.24609375
82,0.0025939941
83,-0.14746094
84,0.03930664
85,0.02331543
86,0.010925293
87,0.13378906
88,0.265625
89,0.13183594
90,0.25195312
91,0.095214844
92,-0.3125
93,-0.3125
94,-0.21289062
95,0.265625
96,0.23535156
97,-0.048583984
98,-0.14746094
99,0.041748047
100,-0.18554688
101,0.33984375
102,0.034423828
103,-0.1796875
104,0.09326172
105,-0.20800781
106,0.18066406
107,-0.2734375
108,0.05517578
109,0.03540039
110,-0.42773438
111,0.37890625
112,-0.30859375
113,0.10644531
114,-0.09814453
115,-0.035888672
116,0.0076293945
117,-0.20800781
118,0.4453125
119,0.27148438
120,-0.2734375
121,-0.12890625
122,0.19628906
123,-0.015625
124,-0.15625
125,0.27148438
126,-0.103515625
127,-0.053710938
128,-0.33984375
129,0.41015625
130,-0.13867188
131,0.22558594
132,-0.084472656
133,-0.34960938
134,-0.125
135,-0.103515625
136,-0.1796875
137,0.30664062
138,0.092285156
139,-0.059570312
140,0.024047852
141,0.09277344
142,0.0234375
143,-0.140625
144,0.21289062
145,0.12597656
146,0.009155273
147,-0.19140625
148,0.119140625
149,0.22753906
150,-0.038085938
151,-0.52734375
152,0.12792969
153,0.057861328
154,0.024780273
155,-0.13476562
156,-0.45507812
157,0.03930664
158,0.30859375
159,0.0031280518
160,-0.32226562
161,0.107421875
162,0.12402344
163,0.10253906
164,0.11816406
165,-0.092285156
166,-0.17480469
167,-0.029907227
168,0.2109375
169,-0.014831543
170,0.009155273
171,0.3671875
172,0.15820312
173,-0.24414062
174,-0.265625
175,-0.14550781
176,0.22949219
177,-0.34375
178,-0.16210938
179,-0.028442383
180,0.080078125
181,-0.04638672
182,0.030273438
183,-0.03930664
184,-0.24414062
185,-0.033447266
186,0.068359375
187,-0.10644531
188,0.27539062
189,0.25976562
190,0.296875
191,0.0076293945
192,-0.10839844
193,-0.084472656
194,-0.14160156
195,0.4296875
196,0.045898438
197,0.092285156
198,-0.040283203
199,-0.041992188
200,0.16015625
201,-0.23828125
202,0.0078125
203,-0.00032806396
204,-0.19628906
205,0.17773438
206,-0.17382812
207,-0.011474609
208,-0.08544922
209,-0.07714844
210,-0.25
211,-0.4375
212,-0.061523438
213,0.33398438
214,-0.16699219
215,0.034423828
216,0.02722168
217,0.003326416
218,-0.080078125
219,0.03930664
220,-0.23046875
221,0.0703125
222,-0.20117188
223,-0.041992188
224,-0.099121094
225,0.13769531
226,0.068359375
227,0.07861328
228,0.1953125
229,-0.080566406
230,-0.21875
231,-0.017333984
232,0.10449219
233,-0.011169434
234,-0.023803711
235,0.15820312
236,0.1015625
237,-0.21386719
238,0.23632812
239,0.17382812
240,-0.031982422
241,-0.20996094
242,-0.072265625
243,-0.21484375
244,-0.119628906
245,-0.063964844
246,-0.06542969
247,0.0032653809
248,0.22070312
249,-0.083496094
250,0.125
251,0.18066406
252,0.30078125
253,-0.008605957
254,0.20214844
255,0.13574219
256,0.18261719
257,0.171875
258,0.005340576
259,0.15332031
260,0.28515625
261,0.10595703
262,0.080566406
263,0.19726562
264,0.14160156
265,-0.22070312
266,-0.31054688
267,0.15039062
268,-0.11376953
269,0.114746094
270,-0.23144531
271,0.5390625
272,-0.018188477
273,0.14746094
274,0.17871094
275,-0.03491211
276,-0.052246094
277,-0.11230469
278,0.17382812
279,0.18847656
280,-0.053466797
281,-0.20019531
282,0.036621094
283,-0.23339844
284,-0.20898438
285,-0.15820312
286,-0.122558594
287,-0.107421875
288,-0.14257812
289,0.15332031
290,-0.032958984
291,-0.025634766
292,-0.26757812
293,-0.13964844
294,-0.30273438
295,0.04711914
296,-0.16308594
297,-0.11621094
298,0.13671875
299,-0.064453125
