,Japan
0,0.05078125
1,0.25
2,0.16699219
3,0.084472656
4,-0.265625
5,-0.07714844
6,-0.03955078
7,-0.29882812
8,0.080566406
9,0.09423828
10,-0.15234375
11,0.125
12,0.25585938
13,-0.33789062
14,-0.09814453
15,-0.15136719
16,-0.009277344
17,0.18945312
18,0.19433594
19,-0.0058898926
20,0.25195312
21,-0.036621094
22,-0.088378906
23,-0.055419922
24,-0.09765625
25,0.0013885498
26,-0.15820312
27,-0.008544922
28,-0.15820312
29,0.12451172
30,-0.0020446777
31,-0.14453125
32,-0.26171875
33,-0.18652344
34,-0.035888672
35,-0.12451172
36,-0.20507812
37,0.0154418945
38,0.26953125
39,0.05444336
40,0.06347656
41,0.036865234
42,0.064941406
43,0.15625
44,0.13574219
45,0.33203125
46,-0.033935547
47,0.20214844
48,0.03112793
49,0.007873535
50,-0.052001953
51,-0.0703125
52,0.16699219
53,0.1796875
54,-0.16113281
55,0.37695312
56,-0.31445312
57,0.024047852
58,0.25
59,-0.44335938
60,-0.106933594
61,0.15527344
62,-0.06591797
63,-0.14453125
64,0.064453125
65,-0.110839844
66,0.16699219
67,-0.12792969
68,0.18261719
69,-0.029907227
70,-0.19921875
71,0.046142578
72,0.049316406
73,0.018188477
74,-0.030029297
75,-0.20996094
76,-0.072265625
77,0.12011719
78,0.23632812
79,-0.01953125
80,0.19042969
81,-0.3359375
82,-0.0703125
83,0.07421875
84,0.061279297
85,-0.13867188
86,-0.13574219
87,0.029907227
88,0.140625
89,0.084472656
90,-0.13085938
91,0.15527344
92,-0.072265625
93,0.036621094
94,-0.05419922
95,-0.030029297
96,0.01928711
97,-0.026489258
98,0.071777344
99,0.23828125
100,-0.10546875
101,0.061279297
102,-0.0038757324
103,0.1796875
104,0.111328125
105,0.19335938
106,-0.14160156
107,-0.14257812
108,0.15136719
109,0.20019531
110,-0.013916016
111,0.12011719
112,0.017822266
113,0.04345703
114,-0.057617188
115,0.075683594
116,-0.09277344
117,-0.17773438
118,0.30859375
119,0.12792969
120,-0.19921875
121,-0.114746094
122,-0.087890625
123,0.32421875
124,-0.068847656
125,-0.122558594
126,0.024291992
127,-0.07763672
128,-0.28320312
129,-0.07763672
130,-0.14257812
131,-0.036376953
132,-0.13378906
133,-0.19042969
134,-0.15917969
135,-0.203125
136,-0.24707031
137,-0.2109375
138,0.009887695
139,-0.13671875
140,0.21777344
141,0.005859375
142,0.20898438
143,0.21386719
144,0.28320312
145,-0.03173828
146,-0.0003452301
147,0.22167969
148,-0.20507812
149,0.028442383
150,0.104003906
151,-0.18554688
152,0.21484375
153,-0.099609375
154,-0.11425781
155,-0.2578125
156,-0.29296875
157,-0.2734375
158,0.12207031
159,0.045410156
160,0.016723633
161,-0.044433594
162,0.24023438
163,0.10205078
164,0.14941406
165,-0.31054688
166,0.11621094
167,0.15917969
168,0.010192871
169,0.33203125
170,-0.040771484
171,0.076171875
172,0.13769531
173,0.125
174,0.09082031
175,-0.2890625
176,0.16015625
177,-0.0072631836
178,0.125
179,0.045166016
180,-0.00048065186
181,-0.40625
182,0.010925293
183,-0.25390625
184,0.24023438
185,0.09472656
186,0.23144531
187,-0.16113281
188,-0.16210938
189,0.14746094
190,-0.03112793
191,-0.12158203
192,0.03515625
193,-0.26757812
194,-0.0015640259
195,0.10107422
196,0.3046875
197,-0.20996094
198,-0.07519531
199,-0.51171875
200,-0.009094238
201,-0.26953125
202,-0.041259766
203,-0.018676758
204,-0.27734375
205,-0.06738281
206,-0.14453125
207,-0.40429688
208,-0.12597656
209,-0.10595703
210,-0.21679688
211,-0.0099487305
212,-0.032226562
213,0.328125
214,-0.13183594
215,-0.13183594
216,0.07080078
217,0.13183594
218,-0.09716797
219,0.096191406
220,-0.14648438
221,-0.08642578
222,-0.008056641
223,-0.033691406
224,-0.10839844
225,0.024780273
226,-0.103027344
227,-0.041015625
228,0.25
229,-0.28515625
230,-0.16308594
231,0.02355957
232,0.23828125
233,-0.045898438
234,0.24414062
235,0.25390625
236,-0.25195312
237,0.00970459
238,-0.10449219
239,-0.0703125
240,0.07861328
241,-0.028076172
242,-0.103027344
243,-0.048095703
244,-0.18847656
245,-0.17480469
246,-0.10205078
247,-0.083984375
248,0.14355469
249,-0.24804688
250,-0.19042969
251,0.011108398
252,0.14550781
253,-0.09472656
254,-0.033203125
255,0.005554199
256,0.17480469
257,-0.1015625
258,0.115234375
259,0.095214844
260,0.13378906
261,-0.080078125
262,0.04736328
263,0.080566406
264,0.025878906
265,-0.11230469
266,-0.23242188
267,-0.18359375
268,0.22070312
269,-0.13769531
270,-0.08544922
271,0.18457031
272,-0.00029945374
273,-0.056396484
274,0.21679688
275,0.1796875
276,-0.3046875
277,0.20898438
278,0.04321289
279,0.02758789
280,-0.041259766
281,-0.099121094
282,0.12597656
283,-0.103515625
284,0.10839844
285,0.11328125
286,-0.007598877
287,-0.049804688
288,-0.13769531
289,0.06347656
290,0.080566406
291,0.099609375
292,0.053955078
293,0.04272461
294,-0.13867188
295,-0.2421875
296,-0.29101562
297,0.13378906
298,0.0058288574
299,0.023925781
