,Jordan
0,0.25390625
1,0.08496094
2,-0.12011719
3,-0.11669922
4,0.053466797
5,-0.10546875
6,-0.029296875
7,-0.32226562
8,-0.012634277
9,0.051757812
10,-0.095214844
11,-0.1796875
12,0.12060547
13,-0.05883789
14,0.018920898
15,-0.15820312
16,0.12890625
17,0.076171875
18,0.064453125
19,0.068359375
20,-0.19726562
21,0.11230469
22,-0.027954102
23,0.20898438
24,-0.0008430481
25,0.012207031
26,-0.18652344
27,0.11035156
28,-0.022094727
29,0.114746094
30,-0.035888672
31,-0.107910156
32,-0.055908203
33,0.06933594
34,-0.22167969
35,-0.28125
36,0.28125
37,0.1484375
38,-0.048339844
39,0.05029297
40,0.03125
41,-0.048583984
42,-0.14746094
43,-0.087402344
44,0.030883789
45,0.11328125
46,0.0011672974
47,-0.06640625
48,-0.095703125
49,0.061035156
50,-0.12890625
51,0.10839844
52,-0.38867188
53,-0.10644531
54,0.13574219
55,0.13769531
56,-0.036376953
57,0.31835938
58,-0.035888672
59,-0.125
60,0.029052734
61,-0.032470703
62,-0.0034942627
63,0.16113281
64,0.063964844
65,-0.038330078
66,0.100097656
67,-0.18359375
68,0.008850098
69,-0.02368164
70,-0.13769531
71,-0.14550781
72,-0.022460938
73,-0.048339844
74,0.06347656
75,-0.123535156
76,-0.16308594
77,-0.14941406
78,0.203125
79,0.048583984
80,-0.043945312
81,-0.09033203
82,-0.14160156
83,-0.096191406
84,0.024169922
85,-0.04663086
86,-0.2578125
87,0.2421875
88,0.026733398
89,0.072753906
90,0.125
91,-0.16113281
92,-0.37304688
93,-0.025512695
94,0.09472656
95,-0.0015792847
96,0.007385254
97,0.063964844
98,-0.0859375
99,0.083984375
100,0.011169434
101,-0.103027344
102,-0.044677734
103,0.09033203
104,-0.14355469
105,-0.046142578
106,0.16113281
107,-0.3203125
108,0.00059890747
109,-0.04248047
110,0.13085938
111,0.19824219
112,-0.19042969
113,-0.011657715
114,-0.02368164
115,-0.20800781
116,-0.14257812
117,0.21386719
118,-0.013305664
119,0.13085938
120,-0.11621094
121,0.055908203
122,0.027954102
123,0.018676758
124,-0.125
125,-0.38867188
126,0.049804688
127,-0.14453125
128,-0.11376953
129,-0.0048828125
130,-0.24316406
131,0.10644531
132,0.033203125
133,0.12158203
134,0.088378906
135,-0.125
136,-0.055664062
137,0.2421875
138,-0.029663086
139,0.033691406
140,0.12597656
141,0.008483887
142,0.18945312
143,-0.22753906
144,0.092285156
145,0.14550781
146,-0.021850586
147,-0.15527344
148,0.045166016
149,-0.021850586
150,0.13671875
151,0.11230469
152,-0.19238281
153,0.012145996
154,0.011047363
155,0.08496094
156,-0.17285156
157,-0.010803223
158,-0.049072266
159,0.049804688
160,-0.16015625
161,0.07910156
162,0.30273438
163,-0.14648438
164,-0.0032043457
165,0.08251953
166,0.10595703
167,-0.00035476685
168,-0.0062561035
169,0.15625
170,-0.06298828
171,0.078125
172,-0.013305664
173,-0.15527344
174,0.3046875
175,0.13183594
176,0.546875
177,-0.05029297
178,-0.07470703
179,-0.033203125
180,-0.17089844
181,-0.06933594
182,0.023925781
183,0.029907227
184,-0.07763672
185,0.020629883
186,0.27929688
187,0.018432617
188,0.033203125
189,0.203125
190,0.092285156
191,0.18945312
192,-0.055419922
193,-0.13378906
194,-0.12207031
195,0.17480469
196,0.025390625
197,-0.20507812
198,0.17773438
199,-0.19824219
200,0.023803711
201,-0.034179688
202,0.15332031
203,-0.03173828
204,0.15625
205,-0.068847656
206,-0.05029297
207,0.030639648
208,0.028808594
209,0.115234375
210,0.052001953
211,-0.061035156
212,0.16699219
213,-0.012207031
214,0.053466797
215,0.234375
216,0.11816406
217,0.015380859
218,0.14648438
219,-0.18261719
220,0.123535156
221,-0.23535156
222,0.025512695
223,-0.044433594
224,0.06591797
225,0.045654297
226,-0.063964844
227,0.390625
228,-0.011169434
229,-0.23828125
230,-0.020996094
231,0.02368164
232,-0.057373047
233,-0.09765625
234,-0.096191406
235,-0.15527344
236,-0.11035156
237,-0.08496094
238,0.04711914
239,-0.0040893555
240,0.099609375
241,-0.014831543
242,-0.045166016
243,-0.19824219
244,0.15136719
245,0.35546875
246,0.01940918
247,-0.036376953
248,-0.059326172
249,0.053955078
250,-0.107421875
251,-0.012451172
252,-0.076171875
253,0.34960938
254,0.064453125
255,0.16308594
256,0.25585938
257,-0.057373047
258,-0.012390137
259,-0.09667969
260,0.032470703
261,0.10498047
262,0.0134887695
263,0.11376953
264,0.19140625
265,-0.052734375
266,-0.06982422
267,0.125
268,0.1640625
269,0.23144531
270,-0.052246094
271,0.08886719
272,-0.08984375
273,0.10644531
274,0.052246094
275,0.056884766
276,0.01940918
277,-0.04345703
278,-0.07714844
279,-0.203125
280,0.13867188
281,-0.039794922
282,0.0043029785
283,-0.028564453
284,0.02746582
285,-0.103027344
286,-0.16113281
287,-0.11816406
288,0.099609375
289,0.011291504
290,-0.103027344
291,-0.11035156
292,0.023071289
293,0.056152344
294,-0.22070312
295,-0.076171875
296,0.0065307617
297,-0.060546875
298,-0.017456055
299,0.18261719
