,Kenya
0,0.08935547
1,0.17089844
2,0.025268555
3,0.048095703
4,-0.10595703
5,-0.22753906
6,-0.028930664
7,-0.26757812
8,-0.51953125
9,-0.15722656
10,0.12695312
11,-0.043701172
12,-0.06542969
13,-0.11376953
14,0.20507812
15,0.2734375
16,-0.28515625
17,-0.07519531
18,-0.1640625
19,0.064453125
20,0.0011825562
21,-0.064941406
22,0.14746094
23,-0.171875
24,0.26953125
25,0.15917969
26,-0.16796875
27,-0.0031585693
28,0.16015625
29,-0.040283203
30,0.045410156
31,-0.36914062
32,0.014404297
33,-0.2578125
34,-0.13867188
35,0.110839844
36,-0.578125
37,-0.06982422
38,0.08300781
39,0.10595703
40,0.022949219
41,-0.024291992
42,-0.048828125
43,0.38085938
44,-0.31054688
45,0.19433594
46,-0.35742188
47,0.16210938
48,0.27539062
49,0.064941406
50,0.07128906
51,-0.42382812
52,-0.052246094
53,-0.36328125
54,0.03930664
55,0.14550781
56,-0.51953125
57,-0.044921875
58,-0.23925781
59,-0.18457031
60,-0.014587402
61,-0.20117188
62,-0.025756836
63,0.15527344
64,-0.08642578
65,-0.04736328
66,0.0625
67,-0.23046875
68,0.10107422
69,-0.20507812
70,-0.20800781
71,0.026245117
72,-0.011047363
73,0.045654297
74,-0.0049438477
75,-0.24609375
76,0.012939453
77,0.28710938
78,0.048583984
79,0.078125
80,0.033447266
81,-0.076171875
82,-0.07714844
83,0.083984375
84,0.052001953
85,-0.09472656
86,0.06542969
87,-0.017822266
88,0.053710938
89,0.1640625
90,0.040771484
91,0.26367188
92,-0.27734375
93,-0.030273438
94,0.033203125
95,-0.014160156
96,0.18359375
97,0.044433594
98,0.27734375
99,0.107910156
100,-0.13574219
101,0.03491211
102,0.3046875
103,-0.044433594
104,-0.07763672
105,0.16699219
106,0.21679688
107,0.045166016
108,-0.12597656
109,0.1328125
110,-0.12792969
111,0.18066406
112,-0.31835938
113,-0.052001953
114,0.10205078
115,-0.24707031
116,0.12109375
117,-0.12597656
118,0.32617188
119,0.067871094
120,-0.28125
121,-0.041992188
122,-0.041992188
123,-0.068359375
124,-0.33984375
125,0.32226562
126,-0.30664062
127,-0.019042969
128,-0.21484375
129,0.38671875
130,0.20117188
131,0.12695312
132,0.099609375
133,-0.26757812
134,-0.18652344
135,-0.29882812
136,-0.15039062
137,0.12792969
138,-0.040527344
139,0.14550781
140,0.118652344
141,-0.15136719
142,0.32617188
143,-0.08203125
144,0.014038086
145,0.1796875
146,-0.0390625
147,0.067871094
148,0.20117188
149,0.11621094
150,0.043945312
151,-0.09375
152,0.038330078
153,-0.15039062
154,0.20019531
155,-0.37304688
156,-0.10839844
157,0.04248047
158,0.011291504
159,-0.07080078
160,-0.26367188
161,-0.016113281
162,-0.020385742
163,0.08642578
164,0.07470703
165,-0.055908203
166,0.12109375
167,-0.18457031
168,-0.046142578
169,0.29492188
170,-0.15625
171,0.33203125
172,0.05493164
173,-0.14160156
174,-0.18164062
175,-0.41015625
176,0.3046875
177,-0.22949219
178,0.025268555
179,-0.11376953
180,-0.25585938
181,-0.11669922
182,-0.15820312
183,-0.15917969
184,-0.20507812
185,0.05102539
186,0.045166016
187,-0.13671875
188,-0.10253906
189,0.453125
190,0.028686523
191,-0.25976562
192,-0.15234375
193,-0.016479492
194,-0.15625
195,0.4375
196,0.08935547
197,-0.13671875
198,-0.043701172
199,-0.33789062
200,-0.064453125
201,-0.4375
202,0.34570312
203,-0.10888672
204,-0.099121094
205,0.25
206,0.0390625
207,-0.1328125
208,-0.060791016
209,-0.12597656
210,-0.30078125
211,0.029785156
212,-0.12792969
213,0.06298828
214,-0.20019531
215,-0.18164062
216,-0.25585938
217,-0.061767578
218,0.15039062
219,-0.25976562
220,-0.38085938
221,0.099609375
222,-0.07373047
223,0.05859375
224,0.17480469
225,0.084472656
226,-0.002105713
227,0.036865234
228,0.24511719
229,-0.26953125
230,-0.18554688
231,0.022705078
232,0.16210938
233,0.08691406
234,0.0099487305
235,0.1953125
236,0.12402344
237,0.21386719
238,0.078125
239,0.059326172
240,-0.020629883
241,-0.25195312
242,0.12109375
243,0.05102539
244,0.20605469
245,0.024536133
246,-0.29492188
247,-0.14257812
248,0.2265625
249,-0.2265625
250,0.075683594
251,0.40234375
252,0.3125
253,0.045898438
254,0.16308594
255,0.12988281
256,0.27148438
257,0.13574219
258,0.25585938
259,-0.119140625
260,0.028930664
261,0.14453125
262,0.17089844
263,0.3046875
264,-0.10595703
265,-0.007873535
266,-0.50390625
267,-0.045410156
268,0.06201172
269,0.07763672
270,0.017822266
271,0.20117188
272,0.010253906
273,0.140625
274,0.10107422
275,-0.27539062
276,0.125
277,0.011108398
278,0.25
279,-0.09033203
280,0.3671875
281,-0.37695312
282,0.01586914
283,-0.23535156
284,-0.01965332
285,-0.076660156
286,-0.041015625
287,0.08105469
288,-0.122558594
289,0.115722656
290,0.04638672
291,0.07128906
292,-0.15917969
293,-0.30273438
294,-0.15332031
295,0.35742188
296,-0.38671875
297,-0.13867188
298,0.028198242
299,0.041259766
