,Kiribati
0,0.057617188
1,-0.008178711
2,0.14941406
3,0.13671875
4,-0.42382812
5,-0.3984375
6,-0.33984375
7,0.110839844
8,-0.18261719
9,0.096191406
10,0.08984375
11,-0.26367188
12,0.009887695
13,0.080566406
14,0.08642578
15,0.2890625
16,-0.24804688
17,0.19628906
18,-0.22558594
19,0.23535156
20,0.012390137
21,-0.11425781
22,-0.020874023
23,-0.096191406
24,-0.02368164
25,-0.055908203
26,-0.056640625
27,-0.017700195
28,0.15722656
29,0.009155273
30,-0.1015625
31,-0.083984375
32,-0.15820312
33,-0.110839844
34,0.30273438
35,-0.34960938
36,-0.30859375
37,0.29882812
38,-0.1484375
39,0.18359375
40,-0.18359375
41,0.41601562
42,-0.040771484
43,0.20898438
44,-0.18457031
45,-0.063964844
46,-0.27734375
47,-0.15429688
48,-0.103027344
49,-0.20117188
50,0.1953125
51,-0.3203125
52,0.16796875
53,-0.49414062
54,-0.25390625
55,-0.32226562
56,-0.6953125
57,0.045410156
58,0.09863281
59,-0.22070312
60,-0.07373047
61,-0.036865234
62,-0.18945312
63,0.03112793
64,0.3125
65,-0.15527344
66,0.30078125
67,0.005279541
68,0.14941406
69,-0.009155273
70,-0.42382812
71,-0.35546875
72,-0.31640625
73,-0.017211914
74,-0.24121094
75,-0.41210938
76,0.31640625
77,0.032714844
78,-0.07861328
79,0.013183594
80,0.040527344
81,-0.08886719
82,-0.34765625
83,-0.12792969
84,-0.328125
85,-0.20410156
86,-0.2421875
87,-0.24316406
88,0.20507812
89,-0.0056762695
90,0.19726562
91,0.17675781
92,-0.32421875
93,0.09082031
94,-0.05053711
95,0.18457031
96,0.2734375
97,0.12158203
98,0.39648438
99,-0.35546875
100,0.0017166138
101,0.19238281
102,0.17285156
103,0.038330078
104,-0.04321289
105,0.14160156
106,0.12158203
107,-0.26953125
108,0.15820312
109,0.55859375
110,0.23828125
111,0.084472656
112,-0.25390625
113,0.32421875
114,-0.21777344
115,-0.1171875
116,0.34570312
117,-0.107421875
118,-0.010253906
119,0.125
120,-0.36914062
121,0.059326172
122,-0.13671875
123,0.053710938
124,-0.01184082
125,0.46484375
126,-0.04272461
127,0.31835938
128,-0.24511719
129,0.44140625
130,0.10107422
131,0.29492188
132,-0.15234375
133,0.078125
134,-0.46289062
135,-0.041259766
136,-0.546875
137,-0.020751953
138,0.24414062
139,0.32617188
140,-0.07128906
141,-0.19238281
142,0.28710938
143,0.11669922
144,-0.022460938
145,0.59375
146,-0.19726562
147,0.091308594
148,-0.16210938
149,0.296875
150,0.53515625
151,-0.25
152,0.22949219
153,0.30078125
154,0.41992188
155,-0.25195312
156,0.05810547
157,-0.2109375
158,0.30859375
159,0.0009498596
160,-0.4765625
161,0.30664062
162,0.05029297
163,-0.024169922
164,-0.16503906
165,-0.34179688
166,0.19433594
167,0.1875
168,-0.08691406
169,-0.0075683594
170,0.11328125
171,0.5
172,0.20117188
173,0.21484375
174,0.16015625
175,0.11425781
176,-0.006072998
177,-0.20703125
178,0.033935547
179,0.171875
180,0.13671875
181,-0.35351562
182,-0.17382812
183,0.13769531
184,-0.12451172
185,-0.020751953
186,-0.26171875
187,-0.10253906
188,0.047851562
189,0.072265625
190,-0.13671875
191,-0.35351562
192,-0.040283203
193,0.057128906
194,0.09667969
195,0.24902344
196,-0.08496094
197,-0.072753906
198,-0.111328125
199,-0.7265625
200,-0.31445312
201,-0.09716797
202,-0.10107422
203,-0.19726562
204,0.008972168
205,0.01361084
206,-0.010803223
207,0.031982422
208,-0.22070312
209,-0.09716797
210,0.17285156
211,0.06933594
212,0.13574219
213,-0.06982422
214,0.13867188
215,-0.015075684
216,0.14941406
217,-0.15917969
218,-0.016601562
219,0.045166016
220,-0.04296875
221,0.3125
222,-0.23632812
223,0.052734375
224,-0.10205078
225,-0.16210938
226,0.045410156
227,0.36132812
228,0.29882812
229,-0.15332031
230,0.099121094
231,-0.16601562
232,0.08300781
233,-0.24707031
234,0.40039062
235,0.41796875
236,0.05810547
237,0.39257812
238,0.056640625
239,0.119628906
240,0.30078125
241,-0.2421875
242,0.13378906
243,-0.064453125
244,-0.08154297
245,-0.00022602081
246,-0.13476562
247,0.055664062
248,0.02319336
249,-0.38867188
250,-0.5390625
251,-0.13378906
252,0.234375
253,0.171875
254,-0.014892578
255,0.043945312
256,0.35546875
257,-0.20019531
258,-0.12158203
259,0.22363281
260,0.32421875
261,0.072753906
262,0.095214844
263,-0.16015625
264,-0.13183594
265,-0.07128906
266,-0.27539062
267,-0.035888672
268,0.044433594
269,-0.44726562
270,-0.30273438
271,0.11328125
272,0.3828125
273,0.23535156
274,-0.030639648
275,-0.13867188
276,-0.30859375
277,-0.11767578
278,-0.063964844
279,-0.18261719
280,-0.07519531
281,-0.18554688
282,-0.056884766
283,-0.15039062
284,0.0859375
285,0.06640625
286,-0.026733398
287,0.13964844
288,0.017578125
289,0.37109375
290,0.16308594
291,0.34960938
292,-0.07763672
293,-0.026367188
294,0.26953125
295,0.18847656
296,-0.359375
297,0.12109375
298,0.125
299,0.5078125
