,Latvia
0,0.16503906
1,-0.203125
2,0.095214844
3,0.36328125
4,-0.044921875
5,-0.125
6,0.1015625
7,-0.17285156
8,-0.28710938
9,-0.19726562
10,-0.07763672
11,0.06347656
12,-0.107910156
13,0.064453125
14,-0.020874023
15,-0.19628906
16,-0.14648438
17,0.032958984
18,-0.12597656
19,0.021972656
20,0.5
21,0.13671875
22,0.06542969
23,-0.11230469
24,-0.071777344
25,0.15429688
26,-0.140625
27,0.061279297
28,-0.24902344
29,0.2734375
30,-0.30664062
31,-0.26757812
32,0.09326172
33,-0.15625
34,0.017089844
35,-0.22949219
36,-0.25585938
37,0.11230469
38,0.0546875
39,-0.072753906
40,0.14355469
41,-0.016113281
42,0.5703125
43,0.07714844
44,0.13671875
45,0.26757812
46,-0.08642578
47,-0.1484375
48,-0.02319336
49,0.23339844
50,-0.16113281
51,0.12695312
52,0.07080078
53,0.087402344
54,-0.092285156
55,-0.040283203
56,-0.49023438
57,0.24707031
58,-0.25390625
59,-0.055419922
60,0.28710938
61,-0.052978516
62,0.08154297
63,-0.15039062
64,0.27929688
65,-0.22558594
66,0.49804688
67,-0.21875
68,-0.08984375
69,-0.14355469
70,-0.099609375
71,-0.296875
72,0.08300781
73,-0.20898438
74,-0.052978516
75,-0.22753906
76,0.26367188
77,0.12792969
78,0.123535156
79,0.26757812
80,-0.22558594
81,-0.17675781
82,0.020996094
83,-0.07373047
84,0.08935547
85,-0.15234375
86,-0.34179688
87,-0.07421875
88,0.22558594
89,0.22265625
90,0.21875
91,-0.3046875
92,-0.27539062
93,0.29492188
94,-0.072753906
95,-0.46289062
96,0.014465332
97,-0.16796875
98,-0.07324219
99,-0.04345703
100,-0.107910156
101,0.20507812
102,0.012817383
103,0.31445312
104,0.017700195
105,-0.024169922
106,0.14257812
107,0.07470703
108,-0.03149414
109,-0.33789062
110,0.119628906
111,-0.052001953
112,-0.060791016
113,-0.09277344
114,-0.20605469
115,0.14355469
116,0.007507324
117,0.023071289
118,0.34960938
119,0.20898438
120,-0.25195312
121,-0.050048828
122,0.048095703
123,-0.19628906
124,0.026367188
125,0.17382812
126,0.011657715
127,0.08691406
128,-0.47265625
129,0.063964844
130,-0.01965332
131,0.05883789
132,-0.26171875
133,-0.0859375
134,-0.063964844
135,-0.12890625
136,-0.20507812
137,0.061523438
138,-0.07910156
139,-0.12402344
140,0.1328125
141,-0.055908203
142,0.014587402
143,0.15917969
144,0.036865234
145,0.088378906
146,-0.08642578
147,0.15039062
148,-0.28320312
149,0.18261719
150,0.296875
151,-0.037109375
152,0.19628906
153,-0.16015625
154,0.36523438
155,0.011413574
156,-0.30664062
157,0.09082031
158,0.23046875
159,0.083984375
160,-0.1484375
161,0.13378906
162,0.084472656
163,-0.19628906
164,0.46679688
165,-0.10253906
166,-0.25585938
167,0.15332031
168,-0.22460938
169,0.27734375
170,-0.43359375
171,0.13085938
172,-0.021362305
173,0.1328125
174,-0.079589844
175,-0.09863281
176,-0.072265625
177,-0.064941406
178,0.17382812
179,-0.234375
180,0.3515625
181,-0.21972656
182,-0.08984375
183,0.0546875
184,0.053222656
185,-0.08203125
186,0.09326172
187,-0.16601562
188,-0.032958984
189,0.15722656
190,0.013061523
191,-0.16601562
192,-0.060546875
193,0.1015625
194,0.04736328
195,0.20214844
196,0.029907227
197,0.13769531
198,-0.25585938
199,-0.37304688
200,0.010925293
201,0.01361084
202,0.07519531
203,-0.110839844
204,-0.014709473
205,-0.030761719
206,0.25390625
207,-0.13769531
208,-0.24902344
209,-0.13378906
210,0.06933594
211,-0.07080078
212,-0.0026397705
213,0.41601562
214,-0.25585938
215,0.05908203
216,0.14257812
217,-0.02319336
218,0.18261719
219,-0.13378906
220,-0.0033569336
221,0.014404297
222,0.038085938
223,-0.04248047
224,-0.27539062
225,-0.15039062
226,0.118652344
227,0.1328125
228,0.22949219
229,-0.29101562
230,0.0703125
231,-0.04345703
232,0.20117188
233,-0.042236328
234,0.0625
235,0.23144531
236,-0.10644531
237,-0.08691406
238,0.0024261475
239,-0.041503906
240,0.0703125
241,0.010681152
242,-0.19824219
243,-0.07519531
244,0.119628906
245,0.0146484375
246,0.05883789
247,0.18945312
248,0.02368164
249,-0.28710938
250,-0.057373047
251,0.10839844
252,0.099121094
253,0.19726562
254,-0.122558594
255,0.24023438
256,0.33007812
257,0.09472656
258,0.17675781
259,-0.20605469
260,0.18066406
261,0.234375
262,0.22167969
263,0.16796875
264,0.53515625
265,0.08886719
266,-0.27539062
267,-0.087890625
268,-0.059326172
269,-0.07080078
270,-0.024902344
271,0.21484375
272,0.10546875
273,-0.020874023
274,0.091308594
275,-0.057373047
276,0.083984375
277,0.049560547
278,-0.18554688
279,0.15332031
280,-0.0027923584
281,-0.16308594
282,0.21386719
283,0.03857422
284,-0.42382812
285,-0.20507812
286,-0.0013656616
287,-0.044921875
288,0.041992188
289,0.33789062
290,-0.08544922
291,0.060058594
292,-0.17675781
293,-0.13769531
294,0.032226562
295,0.25195312
296,-0.203125
297,0.1875
298,0.028442383
299,-0.099609375
