,Liberia
0,0.014953613
1,0.12890625
2,0.064453125
3,-0.091308594
4,-0.14257812
5,-0.21386719
6,-0.20605469
7,-0.59375
8,-0.2265625
9,-0.1640625
10,0.018432617
11,0.123535156
12,0.22851562
13,0.20019531
14,0.43945312
15,0.41210938
16,-0.26171875
17,-0.001914978
18,-0.017456055
19,0.18554688
20,0.068847656
21,-0.23535156
22,0.31054688
23,-0.008728027
24,0.041503906
25,0.21777344
26,-0.08300781
27,-0.19824219
28,0.115234375
29,0.092285156
30,-0.012451172
31,-0.5234375
32,-0.28320312
33,-0.16503906
34,-0.026000977
35,-0.056640625
36,-0.18359375
37,-0.18066406
38,-0.16308594
39,0.025390625
40,-0.30859375
41,0.3515625
42,0.087402344
43,0.125
44,0.0625
45,0.11279297
46,-0.07714844
47,0.0234375
48,0.13085938
49,0.12402344
50,0.14355469
51,-0.54296875
52,-0.27929688
53,-0.34570312
54,0.0095825195
55,-0.046875
56,-0.51953125
57,-0.09863281
58,-0.23730469
59,-0.25195312
60,0.025878906
61,-0.09375
62,0.011657715
63,0.20117188
64,-0.03466797
65,-0.43359375
66,0.044189453
67,-0.012756348
68,-0.171875
69,0.043945312
70,0.18554688
71,-0.03125
72,0.043701172
73,0.02758789
74,0.072265625
75,-0.19042969
76,0.15625
77,0.0023345947
78,0.08203125
79,0.16601562
80,-0.39648438
81,0.114746094
82,-0.08203125
83,-0.08691406
84,0.15527344
85,0.100097656
86,0.3203125
87,0.14648438
88,0.11621094
89,0.0059814453
90,0.078125
91,0.16601562
92,-0.038085938
93,-0.08544922
94,0.15527344
95,0.061767578
96,0.3203125
97,0.12451172
98,0.06542969
99,0.018676758
100,-0.12207031
101,0.20410156
102,0.13476562
103,-0.40625
104,-0.23730469
105,0.28710938
106,-0.011047363
107,-0.27539062
108,-0.0703125
109,0.35351562
110,-0.14257812
111,0.12011719
112,-0.25390625
113,0.11328125
114,-0.048095703
115,-0.30664062
116,0.14160156
117,0.36328125
118,0.31835938
119,0.2421875
120,-0.14453125
121,0.13476562
122,-0.33789062
123,0.122558594
124,-0.076171875
125,0.22167969
126,-0.45703125
127,0.13867188
128,-0.5
129,0.24902344
130,0.099121094
131,-0.041259766
132,-0.20507812
133,-0.04296875
134,-0.095214844
135,0.088378906
136,-0.38671875
137,-0.021606445
138,0.25585938
139,0.06738281
140,-0.18457031
141,0.04272461
142,0.0036315918
143,0.05029297
144,-0.03125
145,0.09082031
146,0.01940918
147,-0.15136719
148,0.44140625
149,-0.0048828125
150,0.265625
151,-0.06933594
152,-0.030395508
153,0.18652344
154,-0.22265625
155,0.07373047
156,-0.056884766
157,0.33007812
158,0.0859375
159,-0.056884766
160,-0.17773438
161,0.12158203
162,0.057861328
163,-0.03491211
164,-0.033935547
165,-0.14355469
166,0.12060547
167,-0.17480469
168,0.110839844
169,0.33203125
170,0.109375
171,0.2578125
172,-0.056884766
173,-0.17675781
174,0.028442383
175,-0.33789062
176,0.044921875
177,-0.31640625
178,-0.075683594
179,-0.53515625
180,-0.35351562
181,-0.08935547
182,0.068847656
183,0.0018615723
184,-0.26367188
185,-0.1875
186,0.07373047
187,-0.20117188
188,-0.111328125
189,0.017944336
190,-0.083496094
191,-0.28710938
192,-0.11035156
193,-0.38671875
194,0.014160156
195,0.5859375
196,-0.025756836
197,-0.12158203
198,-0.07763672
199,-0.16894531
200,0.15625
201,0.095703125
202,0.24414062
203,-0.004547119
204,-0.04663086
205,-0.09716797
206,-0.08496094
207,-0.125
208,0.057373047
209,0.13671875
210,-0.25390625
211,0.083496094
212,-0.09033203
213,0.2578125
214,0.036865234
215,0.13769531
216,-0.31640625
217,-0.08984375
218,-3.5762787e-05
219,0.13867188
220,-0.19433594
221,-0.16503906
222,-0.13476562
223,0.063964844
224,0.29492188
225,-0.16992188
226,0.12597656
227,0.08691406
228,0.51953125
229,-0.1171875
230,-0.015197754
231,-0.07373047
232,-0.11230469
233,-0.16210938
234,0.12988281
235,0.24316406
236,-0.053466797
237,0.053466797
238,-0.35546875
239,0.0006713867
240,0.41796875
241,-0.23535156
242,-0.13085938
243,0.08154297
244,0.02722168
245,-0.19140625
246,-0.31054688
247,-0.13574219
248,0.12890625
249,-0.15917969
250,0.06640625
251,-0.06298828
252,0.067871094
253,-0.028320312
254,-0.07910156
255,-0.12451172
256,0.04638672
257,0.09814453
258,0.25
259,0.0067443848
260,0.09716797
261,-0.07714844
262,0.36523438
263,0.06982422
264,0.007873535
265,0.12402344
266,-0.6015625
267,-0.03112793
268,-0.31445312
269,0.17089844
270,0.052246094
271,0.36914062
272,0.1953125
273,0.08886719
274,0.1953125
275,-0.0072021484
276,0.15136719
277,0.23730469
278,-0.034179688
279,-0.10107422
280,-0.04345703
281,-0.37304688
282,0.033691406
283,-0.16992188
284,-0.09082031
285,-0.25
286,-0.39257812
287,-0.12451172
288,0.1328125
289,0.13183594
290,-0.38671875
291,-0.03515625
292,-0.265625
293,-0.08984375
294,-0.053710938
295,0.19921875
296,-0.359375
297,0.010498047
298,-0.011108398
299,0.061035156
