,Malawi
0,0.038085938
1,0.17382812
2,-0.13476562
3,0.18164062
4,-0.35742188
5,0.08251953
6,0.023925781
7,-0.13476562
8,-0.32421875
9,-0.40625
10,0.37695312
11,0.115234375
12,0.20214844
13,0.16699219
14,0.10498047
15,0.15527344
16,-0.2265625
17,0.03173828
18,-0.38867188
19,0.328125
20,0.16015625
21,-0.20019531
22,0.21191406
23,-0.044677734
24,0.4921875
25,0.15332031
26,-0.03930664
27,-0.16015625
28,-0.018676758
29,0.17285156
30,-0.047607422
31,-0.31640625
32,-0.17773438
33,-0.38671875
34,0.03466797
35,0.09814453
36,-0.27148438
37,0.07714844
38,-0.024658203
39,-0.080566406
40,-0.011474609
41,-0.2109375
42,-0.20703125
43,0.25390625
44,0.10986328
45,-0.038330078
46,-0.16601562
47,-0.10546875
48,-0.07080078
49,-0.02746582
50,0.092285156
51,-0.44726562
52,-0.06738281
53,-0.13574219
54,-0.053710938
55,0.10546875
56,-0.76171875
57,-0.1015625
58,-0.33203125
59,-0.29101562
60,0.03857422
61,-0.20800781
62,0.13378906
63,0.1328125
64,0.036621094
65,-0.25195312
66,0.42382812
67,-0.26953125
68,0.27734375
69,-0.123535156
70,-0.41992188
71,-0.26757812
72,-0.0703125
73,0.16210938
74,0.053466797
75,0.17675781
76,0.22265625
77,-0.024780273
78,0.20800781
79,0.2734375
80,-0.34960938
81,-0.17480469
82,-0.18945312
83,0.22363281
84,-0.036132812
85,-0.13574219
86,0.15136719
87,-0.014526367
88,-0.05908203
89,0.0023498535
90,0.13867188
91,0.083984375
92,-0.42773438
93,0.107421875
94,0.05517578
95,-0.107421875
96,0.33984375
97,-0.2734375
98,0.115722656
99,0.057617188
100,0.068359375
101,0.140625
102,0.13085938
103,-0.09082031
104,-0.06591797
105,0.21582031
106,0.29492188
107,-0.25195312
108,-0.103027344
109,-0.3046875
110,0.06982422
111,0.091796875
112,-0.29882812
113,0.15820312
114,0.06225586
115,-0.064941406
116,0.14257812
117,-0.10595703
118,0.20019531
119,0.048339844
120,0.034179688
121,-0.2578125
122,-0.35351562
123,0.051513672
124,-0.09033203
125,0.31054688
126,-0.34570312
127,0.15039062
128,-0.38476562
129,0.18457031
130,0.25585938
131,0.068359375
132,-0.033691406
133,0.11328125
134,0.006011963
135,0.03149414
136,0.033935547
137,0.16308594
138,0.31835938
139,0.2109375
140,0.24707031
141,-0.10888672
142,0.12109375
143,-0.0015106201
144,0.18652344
145,0.29101562
146,-0.10253906
147,-0.09814453
148,0.16210938
149,-0.15722656
150,0.005126953
151,-0.34570312
152,-0.14257812
153,-0.08105469
154,0.3828125
155,-0.29882812
156,-0.26953125
157,0.22753906
158,0.0034637451
159,-0.171875
160,-0.4609375
161,0.15527344
162,0.05102539
163,0.17382812
164,0.018554688
165,-0.44726562
166,-0.0074157715
167,-0.03955078
168,-0.16015625
169,0.01977539
170,-0.123535156
171,0.3828125
172,-0.03857422
173,-0.06689453
174,-0.11767578
175,-0.28125
176,0.47851562
177,-0.40039062
178,0.12988281
179,-0.088378906
180,-0.19824219
181,-0.0006942749
182,0.092285156
183,0.056640625
184,0.024414062
185,-0.072265625
186,-0.079589844
187,-0.12792969
188,-0.203125
189,0.33789062
190,0.021728516
191,-0.3359375
192,-0.13183594
193,-0.04736328
194,-0.125
195,0.5703125
196,-0.004760742
197,-0.03540039
198,-0.265625
199,-0.008850098
200,0.06689453
201,-0.31054688
202,0.25976562
203,-0.17871094
204,-0.05444336
205,-0.072265625
206,0.13476562
207,-0.13183594
208,0.0390625
209,0.059326172
210,-0.23925781
211,0.056396484
212,0.18652344
213,-0.004760742
214,-0.08496094
215,0.046875
216,0.087890625
217,0.053955078
218,-0.03857422
219,0.0859375
220,-0.14257812
221,-0.09667969
222,-0.021240234
223,0.18554688
224,-0.03930664
225,0.16992188
226,0.03491211
227,0.122558594
228,0.43554688
229,-0.023925781
230,-0.09814453
231,0.29296875
232,-0.06591797
233,-0.24609375
234,-0.07861328
235,0.3359375
236,-0.08984375
237,0.103515625
238,0.125
239,0.12402344
240,0.016845703
241,-0.18359375
242,0.23339844
243,-0.24511719
244,-0.049072266
245,-0.17480469
246,-0.68359375
247,-0.16015625
248,0.11328125
249,-0.38867188
250,0.265625
251,0.36914062
252,0.34765625
253,0.011413574
254,0.18261719
255,0.24707031
256,0.110839844
257,0.26367188
258,0.04321289
259,-0.10986328
260,-0.14355469
261,0.28125
262,0.390625
263,0.13476562
264,-0.016357422
265,-0.007171631
266,-0.47851562
267,0.11816406
268,0.038330078
269,0.17871094
270,-0.12207031
271,0.099609375
272,0.19628906
273,0.053955078
274,0.011108398
275,-0.26367188
276,-0.06640625
277,-0.08984375
278,0.1171875
279,-0.013305664
280,0.3984375
281,-0.30859375
282,0.25
283,-0.048095703
284,0.006164551
285,-0.05493164
286,-0.203125
287,-0.095214844
288,-0.016601562
289,0.265625
290,-0.23339844
291,-0.0018844604
292,-0.3671875
293,-0.19238281
294,-0.10546875
295,0.30273438
296,-0.27734375
297,-0.091796875
298,-0.171875
299,0.012939453
