,Malaysia
0,0.10546875
1,-0.16210938
2,0.05493164
3,0.061767578
4,-0.17480469
5,-0.18945312
6,-0.0030059814
7,-0.27734375
8,-0.29296875
9,0.2890625
10,-0.026245117
11,-0.13085938
12,0.044433594
13,-0.14648438
14,0.024047852
15,-0.05810547
16,0.010803223
17,0.014282227
18,0.021850586
19,0.34179688
20,0.22949219
21,-0.15332031
22,0.021362305
23,-0.064941406
24,0.18066406
25,0.01586914
26,-0.05126953
27,-0.014709473
28,0.111816406
29,0.21875
30,-0.08105469
31,-0.12402344
32,-0.0625
33,-0.0703125
34,0.20605469
35,0.048095703
36,-0.068359375
37,0.07128906
38,0.23242188
39,-0.052246094
40,0.059326172
41,-0.034423828
42,-0.03930664
43,0.3515625
44,0.006225586
45,-0.15332031
46,-0.34375
47,0.06982422
48,0.234375
49,-0.021362305
50,-0.061767578
51,-0.0068359375
52,0.09033203
53,0.21777344
54,0.0021362305
55,0.011047363
56,-0.265625
57,-0.13085938
58,0.13085938
59,-0.079589844
60,-0.030395508
61,-0.115722656
62,0.16503906
63,0.04663086
64,0.1015625
65,0.07373047
66,0.1953125
67,-0.16992188
68,0.22265625
69,0.068847656
70,-0.37890625
71,0.16699219
72,0.16308594
73,0.11230469
74,-0.10839844
75,-0.28320312
76,-0.10498047
77,-0.053710938
78,0.10986328
79,0.1328125
80,-0.22070312
81,0.007171631
82,0.05517578
83,-0.0045166016
84,-0.16015625
85,-0.15136719
86,-0.07373047
87,0.040771484
88,0.034179688
89,0.21679688
90,0.46875
91,-0.20703125
92,-0.23828125
93,0.020019531
94,-0.09326172
95,-0.061279297
96,0.00074768066
97,-0.12988281
98,0.31054688
99,0.059326172
100,0.24023438
101,-0.06542969
102,-0.008972168
103,0.28125
104,-0.10058594
105,0.17089844
106,0.20507812
107,-0.27539062
108,0.04345703
109,0.2265625
110,-0.07910156
111,-0.0037231445
112,-0.14941406
113,-0.026611328
114,0.12011719
115,0.061767578
116,-0.11035156
117,-0.29101562
118,0.27734375
119,3.3140182e-05
120,-0.09277344
121,0.13671875
122,-0.040283203
123,0.00023269653
124,-0.31640625
125,0.0008201599
126,-0.08154297
127,-0.16992188
128,-0.20117188
129,-0.056396484
130,-0.025146484
131,0.125
132,0.17578125
133,-0.20800781
134,-0.13867188
135,-0.06933594
136,-0.118652344
137,0.095703125
138,-0.06347656
139,0.11328125
140,0.14355469
141,-0.06982422
142,0.059814453
143,0.016479492
144,0.10546875
145,-0.17578125
146,-0.091308594
147,0.05102539
148,-0.125
149,-0.03491211
150,0.23144531
151,-0.034179688
152,0.032958984
153,-0.16210938
154,0.18066406
155,-0.36914062
156,-0.34375
157,-0.32421875
158,0.25976562
159,-0.013366699
160,-0.3203125
161,-0.19628906
162,0.21289062
163,-0.08300781
164,0.030151367
165,-0.21484375
166,0.16601562
167,-0.014587402
168,-0.08642578
169,0.13769531
170,-0.203125
171,0.30078125
172,-0.006591797
173,-0.1875
174,0.012207031
175,-0.15136719
176,0.45507812
177,-0.107421875
178,0.12158203
179,-0.19042969
180,0.10986328
181,-0.28320312
182,-0.107421875
183,-0.23828125
184,-0.014404297
185,-0.018310547
186,0.119628906
187,-0.05834961
188,0.061035156
189,0.26953125
190,-0.28710938
191,-0.43554688
192,-0.08251953
193,-0.25
194,-0.010498047
195,0.328125
196,-0.010620117
197,-0.13769531
198,-0.13769531
199,-0.27929688
200,0.17285156
201,-0.20507812
202,0.12109375
203,-0.14257812
204,-0.10205078
205,-0.15039062
206,-0.31445312
207,-0.41796875
208,-0.110839844
209,0.018676758
210,0.057373047
211,-0.15527344
212,-0.0027618408
213,0.03930664
214,0.13574219
215,0.03930664
216,-0.10888672
217,0.26953125
218,0.111328125
219,-0.024047852
220,-0.15039062
221,-0.19921875
222,-0.21972656
223,-0.12695312
224,-0.25390625
225,-0.19140625
226,-0.09082031
227,0.10058594
228,0.19628906
229,-0.064941406
230,-0.14550781
231,-0.122558594
232,0.29882812
233,-0.05419922
234,0.17480469
235,0.18945312
236,-0.04663086
237,0.25585938
238,-0.0032196045
239,0.078125
240,0.16796875
241,0.022827148
242,-0.05493164
243,0.15429688
244,-0.099609375
245,-0.43164062
246,-0.06591797
247,-0.12792969
248,0.27148438
249,-0.31054688
250,0.23828125
251,0.039794922
252,-0.051513672
253,0.061523438
254,0.111816406
255,0.13085938
256,0.12890625
257,-0.024658203
258,-0.016723633
259,0.028076172
260,0.41210938
261,0.23632812
262,0.20214844
263,-0.16894531
264,0.28515625
265,-0.13183594
266,-0.13183594
267,-0.20019531
268,0.41210938
269,0.16699219
270,0.1015625
271,0.053466797
272,0.21386719
273,0.16796875
274,0.004547119
275,0.04736328
276,-0.25
277,-0.20996094
278,-0.25585938
279,0.114746094
280,0.05834961
281,-0.24609375
282,7.581711e-05
283,-0.10888672
284,0.01574707
285,-0.16894531
286,0.06982422
287,-0.09326172
288,-0.04663086
289,0.20898438
290,0.13085938
291,0.2578125
292,0.12011719
293,0.049072266
294,-0.26367188
295,0.037353516
296,-0.047851562
297,0.103515625
298,-0.104003906
299,0.064941406
