,Mauritius
0,0.030029297
1,0.014709473
2,-0.08984375
3,0.023071289
4,-0.09326172
5,-0.048095703
6,0.017822266
7,-0.26171875
8,-0.19140625
9,-0.084472656
10,0.14550781
11,-0.22558594
12,0.0099487305
13,-0.111328125
14,0.038085938
15,0.24023438
16,0.08105469
17,0.11376953
18,-0.09033203
19,0.3203125
20,0.17773438
21,-0.390625
22,0.2578125
23,-0.071777344
24,0.24804688
25,0.08691406
26,0.01953125
27,-0.15234375
28,0.004699707
29,0.14160156
30,0.0044555664
31,-0.484375
32,-0.265625
33,0.040039062
34,-0.10058594
35,-0.13183594
36,-0.33789062
37,-0.16308594
38,0.0027008057
39,-0.063964844
40,-0.092285156
41,0.028930664
42,0.076171875
43,0.4453125
44,-0.022460938
45,-0.24121094
46,-0.4375
47,-0.18066406
48,0.20410156
49,-0.0029907227
50,0.20507812
51,0.033203125
52,0.16894531
53,-0.23730469
54,-0.067871094
55,-0.034423828
56,-0.41210938
57,-0.12890625
58,-0.123535156
59,-0.17578125
60,0.023803711
61,-0.11230469
62,0.28515625
63,0.044677734
64,0.010009766
65,-0.0022277832
66,-0.041015625
67,-0.10498047
68,0.04345703
69,-0.048095703
70,-0.06640625
71,-0.123535156
72,0.14648438
73,0.111816406
74,0.17480469
75,-0.016235352
76,-0.0546875
77,-0.096191406
78,-0.076660156
79,0.26757812
80,0.021118164
81,-0.1796875
82,-0.24121094
83,-0.047607422
84,-0.06640625
85,0.32226562
86,-0.203125
87,-0.14550781
88,0.044189453
89,0.30078125
90,0.025756836
91,0.24121094
92,-0.53125
93,0.06982422
94,-0.09863281
95,-0.19628906
96,0.5234375
97,-0.28515625
98,0.18652344
99,-0.0051574707
100,0.07714844
101,-0.026977539
102,0.0625
103,-0.068847656
104,-0.10253906
105,-0.095703125
106,0.2265625
107,-0.24707031
108,0.27539062
109,0.1015625
110,-0.18164062
111,0.10498047
112,-0.17675781
113,-0.12695312
114,-0.050048828
115,0.125
116,0.027832031
117,-0.15625
118,0.4609375
119,-0.04272461
120,-0.10107422
121,0.14257812
122,-0.10888672
123,-0.022827148
124,-0.19238281
125,0.15332031
126,-0.15527344
127,-0.03466797
128,-0.22167969
129,0.20800781
130,-0.21972656
131,0.1328125
132,-0.14746094
133,-0.24121094
134,-0.12060547
135,-0.44335938
136,-0.12792969
137,0.30078125
138,-0.1484375
139,0.12207031
140,0.17578125
141,-0.13085938
142,0.09814453
143,-0.06298828
144,-0.11035156
145,0.18359375
146,-0.13574219
147,0.122558594
148,0.42578125
149,0.22753906
150,-0.06982422
151,-0.05810547
152,-0.037109375
153,0.07519531
154,0.2890625
155,-0.36328125
156,-0.16015625
157,0.2109375
158,0.22363281
159,0.06640625
160,-0.27929688
161,0.035888672
162,-0.11279297
163,-0.013183594
164,0.08886719
165,-0.22265625
166,-0.07421875
167,0.07861328
168,-0.103027344
169,0.08300781
170,-0.08984375
171,0.3359375
172,0.008483887
173,0.031982422
174,-0.14453125
175,0.05078125
176,0.16992188
177,-0.24316406
178,0.20410156
179,-0.140625
180,0.16601562
181,-0.051757812
182,-0.20800781
183,0.16796875
184,0.044189453
185,0.021484375
186,0.34960938
187,0.03515625
188,0.3203125
189,0.026489258
190,-0.25195312
191,-0.203125
192,-0.30859375
193,0.017822266
194,0.265625
195,0.453125
196,0.039794922
197,-0.036376953
198,0.15722656
199,-0.28320312
200,0.296875
201,-0.25976562
202,0.22265625
203,-0.14648438
204,-0.06738281
205,0.061523438
206,-0.03540039
207,0.041992188
208,-0.012573242
209,-0.115722656
210,-0.020507812
211,0.041748047
212,0.036621094
213,0.111328125
214,0.00970459
215,0.14941406
216,0.28515625
217,0.048583984
218,0.24902344
219,-0.1328125
220,-0.083496094
221,0.2734375
222,-0.37695312
223,0.125
224,-0.37890625
225,0.12890625
226,0.21777344
227,0.100097656
228,0.088378906
229,0.19140625
230,-0.32617188
231,-0.15527344
232,0.007659912
233,-0.140625
234,0.045898438
235,0.14550781
236,-0.0076293945
237,0.140625
238,0.095703125
239,-0.140625
240,0.21972656
241,-0.16210938
242,0.044433594
243,0.052001953
244,0.19433594
245,-0.028564453
246,-0.20507812
247,-0.0703125
248,0.20214844
249,-0.15332031
250,-0.008544922
251,0.16699219
252,0.19335938
253,0.26171875
254,0.03540039
255,-0.07714844
256,0.16503906
257,0.13476562
258,-0.030029297
259,-0.059814453
260,0.265625
261,0.31640625
262,-0.021118164
263,-0.04248047
264,0.07080078
265,0.06347656
266,-0.140625
267,-0.08300781
268,-0.087890625
269,-0.011474609
270,-0.05883789
271,-0.15039062
272,0.038085938
273,0.12597656
274,0.087890625
275,-0.07128906
276,-0.20117188
277,-0.030395508
278,-0.060791016
279,0.09814453
280,-0.27929688
281,-0.25
282,-0.16308594
283,-0.17871094
284,-0.040771484
285,0.19140625
286,-0.45898438
287,0.055664062
288,-0.22949219
289,0.2421875
290,-0.035888672
291,-0.1015625
292,-0.09033203
293,-0.07714844
294,-0.04736328
295,0.122558594
296,-0.13476562
297,-0.044433594
298,-0.19921875
299,0.012817383
