,Mayotte
0,0.28320312
1,0.107910156
2,0.041015625
3,0.01953125
4,-0.18164062
5,-0.40234375
6,0.13769531
7,-0.47460938
8,0.12695312
9,-0.35351562
10,0.122558594
11,-0.40820312
12,-0.01928711
13,-0.13378906
14,-0.0033569336
15,-0.064453125
16,0.02722168
17,0.13476562
18,-0.18457031
19,0.37890625
20,0.14257812
21,0.021972656
22,0.15136719
23,-0.13183594
24,-0.053955078
25,-0.083496094
26,-0.092285156
27,0.1171875
28,0.33984375
29,0.076660156
30,0.08544922
31,-0.33007812
32,-0.17871094
33,-0.23632812
34,0.10205078
35,-0.15527344
36,-0.0703125
37,0.08886719
38,-0.25390625
39,-0.029296875
40,0.11767578
41,0.28710938
42,0.12109375
43,0.25
44,0.11767578
45,0.060546875
46,0.007659912
47,0.22363281
48,0.01940918
49,0.11621094
50,-0.12402344
51,0.025878906
52,0.171875
53,-0.039794922
54,-0.29492188
55,-0.029296875
56,-0.18066406
57,0.15917969
58,-0.33789062
59,0.0703125
60,0.07714844
61,-0.16894531
62,0.12890625
63,-0.1875
64,0.08935547
65,0.009094238
66,-0.08691406
67,-0.25
68,-0.359375
69,0.27539062
70,0.31640625
71,0.27148438
72,0.052978516
73,0.023925781
74,0.3828125
75,-0.4296875
76,-0.017333984
77,-0.21777344
78,-0.014282227
79,0.18554688
80,-0.35742188
81,0.045898438
82,-0.107421875
83,0.28320312
84,-0.08300781
85,0.03125
86,-0.5546875
87,-0.063964844
88,0.115722656
89,-0.37890625
90,-0.34179688
91,-0.11230469
92,-0.19824219
93,0.34765625
94,0.025024414
95,0.17675781
96,0.53125
97,-0.29492188
98,-0.39648438
99,-0.103027344
100,-0.13574219
101,-0.103515625
102,0.25
103,-0.08935547
104,-0.234375
105,0.119140625
106,0.17480469
107,-0.099609375
108,0.32421875
109,0.19628906
110,0.09863281
111,-0.021606445
112,0.41601562
113,-0.26757812
114,-0.24414062
115,0.111816406
116,0.22949219
117,0.03930664
118,0.203125
119,-0.080566406
120,-0.20996094
121,-0.072265625
122,-0.19335938
123,-0.0703125
124,0.31640625
125,-0.16992188
126,-0.25976562
127,-0.20019531
128,-0.18359375
129,0.25
130,-0.023925781
131,0.33984375
132,-0.12792969
133,0.46484375
134,-0.05419922
135,-0.22753906
136,-0.140625
137,-0.111816406
138,-0.037841797
139,0.203125
140,0.13183594
141,-0.03930664
142,0.32617188
143,0.044677734
144,-0.19140625
145,0.0023040771
146,-0.013427734
147,-0.024047852
148,0.068359375
149,-0.1328125
150,0.07080078
151,0.21484375
152,-0.15136719
153,0.30664062
154,0.22460938
155,-0.032226562
156,0.33984375
157,0.032958984
158,0.37304688
159,-0.08935547
160,-0.6875
161,-0.05053711
162,0.072753906
163,-0.0066833496
164,0.24902344
165,-0.3203125
166,-0.29882812
167,0.125
168,0.89453125
169,0.107421875
170,0.41210938
171,0.359375
172,-0.3203125
173,-0.24804688
174,-0.2734375
175,0.08154297
176,-0.09082031
177,-0.06591797
178,-0.033447266
179,-0.20703125
180,0.30078125
181,-0.07421875
182,-0.16113281
183,-0.08251953
184,0.032470703
185,0.07128906
186,-0.0034484863
187,0.057861328
188,0.18261719
189,-0.25976562
190,0.24121094
191,-0.12890625
192,-0.027832031
193,0.071777344
194,-0.12597656
195,0.25195312
196,0.26171875
197,0.095214844
198,-0.091308594
199,-0.11669922
200,-0.06542969
201,-0.107421875
202,0.017211914
203,-0.111816406
204,0.13183594
205,-0.12011719
206,0.026977539
207,-0.20019531
208,0.079589844
209,0.064941406
210,-0.025390625
211,0.0025482178
212,-0.35351562
213,0.45703125
214,0.14355469
215,0.04663086
216,0.328125
217,-0.3671875
218,0.28320312
219,-0.15917969
220,0.050048828
221,0.31640625
222,0.100097656
223,-0.035888672
224,-0.053710938
225,-0.08203125
226,0.23242188
227,0.103515625
228,0.107421875
229,0.24902344
230,0.30664062
231,-0.107910156
232,0.079589844
233,0.1328125
234,-0.107910156
235,0.3671875
236,-0.083496094
237,-0.25
238,-0.103515625
239,0.032470703
240,0.08203125
241,-0.118652344
242,0.38085938
243,0.17675781
244,0.32617188
245,-0.22753906
246,-0.20800781
247,0.21191406
248,0.47265625
249,-0.31445312
250,-0.03881836
251,0.068847656
252,-0.096191406
253,0.18457031
254,0.060058594
255,-0.056396484
256,0.17578125
257,-0.22753906
258,0.19824219
259,0.033203125
260,0.49804688
261,0.54296875
262,-0.04321289
263,-0.09814453
264,0.110839844
265,-0.09326172
266,-0.36523438
267,-0.28710938
268,-0.028198242
269,0.06689453
270,-0.18457031
271,-0.15039062
272,-0.12597656
273,0.38671875
274,-0.30664062
275,-0.08935547
276,-0.08496094
277,-0.21289062
278,-0.10986328
279,0.0061035156
280,-0.5859375
281,0.052001953
282,0.34765625
283,-0.07421875
284,0.055908203
285,0.13476562
286,-0.06591797
287,0.115234375
288,-0.060546875
289,0.21386719
290,-0.14941406
291,0.45507812
292,0.12890625
293,0.04296875
294,0.10058594
295,0.114746094
296,-0.051513672
297,-0.34765625
298,-0.37109375
299,-0.23242188
