,Mexico
0,-0.15625
1,-0.12597656
2,0.12451172
3,0.076171875
4,-0.07470703
5,-0.042236328
6,-0.068847656
7,-0.15234375
8,-0.08935547
9,-0.03173828
10,0.13769531
11,-0.21679688
12,0.22949219
13,-0.17480469
14,0.359375
15,-0.2109375
16,0.03491211
17,0.37695312
18,0.15625
19,0.056152344
20,0.296875
21,-0.17773438
22,-0.13867188
23,0.27539062
24,0.09375
25,-0.09472656
26,-0.21484375
27,-0.23730469
28,-0.17480469
29,0.33203125
30,0.06347656
31,0.087402344
32,-0.17871094
33,-0.14355469
34,0.14160156
35,-9.8228455e-05
36,-0.22851562
37,-0.14160156
38,0.19628906
39,0.20996094
40,-0.037841797
41,-0.013305664
42,0.2421875
43,0.061767578
44,-0.21484375
45,0.23242188
46,0.018554688
47,0.08642578
48,0.28710938
49,0.21875
50,-0.020019531
51,-0.10253906
52,0.17773438
53,-0.07470703
54,-0.24511719
55,0.15429688
56,-0.19042969
57,0.11669922
58,0.20507812
59,-0.076171875
60,0.06347656
61,0.11279297
62,-0.328125
63,0.01965332
64,-0.15332031
65,-0.24121094
66,0.087890625
67,-0.125
68,-0.15625
69,-0.083984375
70,-0.3125
71,-0.03857422
72,-0.09863281
73,0.13964844
74,0.18652344
75,-0.055664062
76,-0.072265625
77,0.18457031
78,-0.15917969
79,0.0016326904
80,0.06689453
81,-0.11425781
82,-0.067871094
83,-0.54296875
84,-0.234375
85,-0.16796875
86,-0.26757812
87,0.011779785
88,0.018798828
89,0.17285156
90,0.10888672
91,0.22070312
92,-0.3125
93,-0.103515625
94,-0.17773438
95,0.11230469
96,0.15332031
97,-0.012817383
98,0.07080078
99,0.32226562
100,-0.013366699
101,0.12695312
102,0.123046875
103,-0.122558594
104,0.21972656
105,-0.2890625
106,0.076660156
107,-0.08203125
108,-0.106933594
109,0.15039062
110,-0.061279297
111,0.07421875
112,0.15234375
113,-0.109375
114,-0.013977051
115,0.19335938
116,0.075683594
117,0.075683594
118,0.33984375
119,0.0030670166
120,-0.22460938
121,-0.31445312
122,0.10253906
123,0.08642578
124,0.28710938
125,-0.1328125
126,-0.13085938
127,-0.18359375
128,-0.24414062
129,0.027954102
130,-0.26171875
131,-0.072753906
132,-0.0390625
133,-0.040771484
134,0.0020446777
135,-0.14257812
136,-0.43359375
137,0.23925781
138,-0.020141602
139,-0.115722656
140,-0.26757812
141,-0.20019531
142,-0.0029449463
143,-0.07714844
144,0.21484375
145,0.28125
146,0.14746094
147,-0.072753906
148,0.16308594
149,0.10205078
150,0.30273438
151,-0.44921875
152,0.15234375
153,-0.08935547
154,-0.011352539
155,-0.15039062
156,-0.23339844
157,0.12011719
158,-0.024047852
159,0.16210938
160,0.16796875
161,0.064941406
162,0.009338379
163,0.095214844
164,0.061279297
165,0.030273438
166,-0.15722656
167,-0.07519531
168,0.1953125
169,0.18359375
170,-0.19140625
171,0.028198242
172,-0.013183594
173,-0.08496094
174,0.032470703
175,-0.18164062
176,0.024047852
177,-0.16796875
178,-0.099121094
179,0.075683594
180,-0.36132812
181,-0.2890625
182,-0.06201172
183,-0.23046875
184,-0.10253906
185,-0.13867188
186,0.12402344
187,0.0060424805
188,0.23144531
189,0.27929688
190,-0.24707031
191,0.003967285
192,-0.0069885254
193,-0.053466797
194,-0.17382812
195,0.234375
196,-0.018554688
197,-0.13574219
198,-0.064453125
199,-0.12988281
200,0.23828125
201,0.11425781
202,0.028076172
203,0.02758789
204,0.00982666
205,-0.0037384033
206,-0.06933594
207,-0.04321289
208,-0.22949219
209,-0.13769531
210,-0.09814453
211,0.08544922
212,-0.071777344
213,0.099121094
214,-0.09667969
215,0.18066406
216,-0.14941406
217,0.04736328
218,-0.053222656
219,-0.013305664
220,-0.33007812
221,-0.010131836
222,0.08203125
223,-0.12597656
224,0.096191406
225,-0.20019531
226,0.10058594
227,0.26757812
228,0.19433594
229,-0.00064849854
230,-0.16992188
231,0.047607422
232,0.08984375
233,0.10449219
234,-0.083984375
235,-0.1484375
236,-0.09765625
237,-0.012390137
238,0.109375
239,-0.234375
240,-0.064453125
241,-0.05029297
242,0.1015625
243,0.20410156
244,-0.26953125
245,0.28710938
246,0.026611328
247,-0.06347656
248,-0.064941406
249,-0.071777344
250,0.18457031
251,-0.07519531
252,0.19042969
253,-0.047851562
254,0.2109375
255,-0.23046875
256,-0.022827148
257,-0.17285156
258,0.06982422
259,-0.09033203
260,0.40625
261,0.015380859
262,0.23925781
263,-0.0004081726
264,0.31445312
265,-0.14453125
266,-0.111816406
267,-0.07519531
268,-0.049804688
269,-0.08544922
270,-0.34375
271,0.21777344
272,0.13378906
273,-0.23535156
274,0.12451172
275,0.14453125
276,-0.27734375
277,0.13183594
278,0.10058594
279,-0.052734375
280,0.052490234
281,0.080078125
282,-0.06542969
283,0.056640625
284,-0.20019531
285,-0.22070312
286,0.107421875
287,-0.022705078
288,0.060546875
289,0.109375
290,0.08886719
291,-0.018066406
292,0.14257812
293,0.1015625
294,0.30273438
295,0.35742188
296,0.15820312
297,0.061035156
298,0.17285156
299,0.0013504028
