,Monaco
0,-0.033447266
1,-0.0039978027
2,-0.14355469
3,0.04296875
4,0.23242188
5,-0.08154297
6,-0.2109375
7,-0.23046875
8,-0.01977539
9,0.359375
10,-0.18164062
11,0.22265625
12,0.05908203
13,-0.20996094
14,0.234375
15,0.12060547
16,0.037353516
17,0.111816406
18,-0.021484375
19,0.5234375
20,0.051513672
21,-0.08105469
22,0.006591797
23,0.26953125
24,0.3515625
25,0.18359375
26,-0.16601562
27,-0.17480469
28,0.27539062
29,0.19921875
30,-0.16503906
31,-0.16796875
32,0.048095703
33,0.028320312
34,-0.14257812
35,-0.13378906
36,0.0037078857
37,0.07421875
38,-0.41796875
39,0.0036773682
40,-0.029907227
41,-0.016235352
42,0.17480469
43,0.2578125
44,0.107910156
45,-0.040771484
46,0.040771484
47,0.18164062
48,0.1640625
49,0.17578125
50,0.0859375
51,0.15722656
52,-0.20117188
53,-0.171875
54,-0.19921875
55,0.28320312
56,-0.19824219
57,-0.171875
58,-0.033203125
59,-0.15332031
60,0.012451172
61,0.015991211
62,-0.119628906
63,-0.014282227
64,-0.019042969
65,-0.012573242
66,0.12695312
67,-0.021728516
68,0.014160156
69,0.04296875
70,-0.087402344
71,0.003967285
72,-0.021972656
73,0.021728516
74,0.15136719
75,0.32226562
76,-0.059814453
77,-0.28515625
78,0.072753906
79,0.15234375
80,-0.14746094
81,-0.36328125
82,-0.15722656
83,0.0079956055
84,0.28125
85,-0.016601562
86,0.125
87,0.2578125
88,0.029052734
89,0.096191406
90,0.32617188
91,-5.888939e-05
92,-0.37109375
93,0.09765625
94,-0.10253906
95,-0.33203125
96,0.09326172
97,-0.50390625
98,0.13769531
99,0.17578125
100,0.056396484
101,0.0038146973
102,0.08984375
103,0.23144531
104,0.046142578
105,0.030883789
106,0.20996094
107,0.0018539429
108,0.104003906
109,0.07421875
110,0.063964844
111,0.017333984
112,0.21289062
113,-0.20410156
114,0.11425781
115,-0.21777344
116,0.15722656
117,-0.2890625
118,0.25390625
119,0.21972656
120,-0.16699219
121,-0.0014266968
122,0.011230469
123,0.13671875
124,0.40820312
125,-0.23242188
126,-0.057617188
127,-0.19042969
128,-0.09765625
129,0.045166016
130,0.014099121
131,0.024902344
132,-0.17285156
133,-0.23828125
134,0.27539062
135,-0.35351562
136,-0.08886719
137,0.107421875
138,-0.19042969
139,-0.029785156
140,0.25976562
141,0.06982422
142,0.052246094
143,-0.22949219
144,0.6015625
145,0.1015625
146,-0.23632812
147,0.12792969
148,0.017578125
149,-0.0029754639
150,-0.05444336
151,0.22949219
152,-0.12988281
153,-0.030761719
154,0.22558594
155,0.12451172
156,-0.046142578
157,0.33984375
158,-0.125
159,-0.07861328
160,0.234375
161,0.26757812
162,0.13574219
163,-0.103515625
164,-0.0390625
165,-0.20605469
166,-0.15820312
167,0.115722656
168,0.25390625
169,0.083984375
170,-0.35546875
171,0.10449219
172,0.008728027
173,-0.13671875
174,-0.059326172
175,0.25
176,-0.0390625
177,-0.0031585693
178,0.048583984
179,-0.35546875
180,0.20019531
181,-0.052978516
182,-0.06640625
183,0.107910156
184,0.09082031
185,-0.15820312
186,-0.047851562
187,0.050048828
188,0.06738281
189,0.32617188
190,-0.02709961
191,0.27539062
192,0.37304688
193,0.17480469
194,-0.020996094
195,0.20507812
196,0.24121094
197,-0.016967773
198,0.032958984
199,-0.14160156
200,0.203125
201,0.12011719
202,-0.17871094
203,-0.13085938
204,0.30859375
205,-0.21386719
206,-0.18945312
207,0.08203125
208,-0.13769531
209,0.119628906
210,-0.07373047
211,0.03515625
212,-0.13574219
213,-0.11621094
214,-0.010925293
215,-0.01159668
216,0.053222656
217,0.0703125
218,0.037109375
219,-0.15820312
220,-0.061035156
221,-0.08105469
222,-0.036865234
223,-0.09814453
224,-0.32617188
225,0.11669922
226,0.33007812
227,0.008666992
228,0.09765625
229,0.23925781
230,-0.13476562
231,-0.064941406
232,-0.12060547
233,-0.140625
234,0.13574219
235,-0.07128906
236,-0.21191406
237,0.09716797
238,0.22167969
239,0.203125
240,0.48242188
241,-0.21875
242,0.027832031
243,0.17285156
244,-0.024291992
245,0.10839844
246,-0.056884766
247,-0.11621094
248,0.16992188
249,-0.37890625
250,0.059326172
251,-0.0010910034
252,-0.041748047
253,0.2109375
254,-0.091796875
255,0.11621094
256,-0.17675781
257,-0.16601562
258,-0.22558594
259,0.29296875
260,0.4453125
261,0.29492188
262,0.27148438
263,-0.03564453
264,0.38085938
265,0.09716797
266,-0.22460938
267,0.059570312
268,-0.19433594
269,0.068359375
270,-0.022827148
271,0.091796875
272,0.12890625
273,0.16210938
274,0.08203125
275,-0.002532959
276,-0.071777344
277,-0.005218506
278,-0.09667969
279,0.13476562
280,-0.22851562
281,-0.064453125
282,0.12890625
283,-0.03149414
284,0.0026245117
285,0.24023438
286,-0.15234375
287,-0.31054688
288,-0.11621094
289,0.031982422
290,0.008666992
291,0.17382812
292,-0.35351562
293,-0.055419922
294,0.022827148
295,-0.07421875
296,0.03540039
297,0.15527344
298,0.17675781
299,-0.09667969
