,Montenegro
0,0.07519531
1,-0.20996094
2,0.17871094
3,-0.052490234
4,-0.07714844
5,-0.23144531
6,0.024414062
7,-0.453125
8,-0.06640625
9,0.0059814453
10,0.18945312
11,0.111328125
12,-0.06298828
13,0.07128906
14,0.080078125
15,-0.00089645386
16,-0.053710938
17,0.030517578
18,0.0063476562
19,0.1796875
20,0.33203125
21,-0.15917969
22,0.203125
23,0.16503906
24,-0.034179688
25,0.08642578
26,-0.09716797
27,-0.08544922
28,0.15722656
29,0.18261719
30,-0.09082031
31,-0.20410156
32,-0.0024261475
33,-0.29296875
34,-0.011291504
35,-0.00032043457
36,-0.23144531
37,0.20800781
38,0.009460449
39,-0.012878418
40,-0.028076172
41,0.18359375
42,0.47070312
43,0.18164062
44,0.111328125
45,-0.060546875
46,0.12695312
47,-0.11669922
48,0.049072266
49,0.37695312
50,-0.005645752
51,0.07470703
52,0.078125
53,0.061279297
54,-0.19726562
55,0.17382812
56,-0.45117188
57,-0.14355469
58,-0.34960938
59,0.09472656
60,-0.046142578
61,0.027832031
62,-0.068847656
63,-0.043945312
64,0.09277344
65,-0.099609375
66,0.16210938
67,-0.14257812
68,-0.041015625
69,-0.12597656
70,-0.16992188
71,-0.060058594
72,-0.009094238
73,-0.10058594
74,-0.008117676
75,-0.13378906
76,0.13183594
77,-0.012451172
78,0.07128906
79,0.09082031
80,-0.453125
81,-0.27929688
82,-0.34960938
83,-0.234375
84,-0.037353516
85,-0.29101562
86,-0.17773438
87,-0.24316406
88,0.28515625
89,0.041259766
90,0.17871094
91,-0.23828125
92,-0.609375
93,0.27734375
94,-0.18554688
95,-0.023071289
96,-0.1484375
97,-0.14160156
98,0.296875
99,-0.004760742
100,-0.20214844
101,0.27148438
102,0.18652344
103,0.013977051
104,0.22070312
105,0.18066406
106,0.18261719
107,-0.008239746
108,-0.09375
109,-0.03955078
110,0.31054688
111,0.10986328
112,-0.0001335144
113,-0.34570312
114,-0.063964844
115,0.088378906
116,0.22070312
117,0.016479492
118,0.375
119,0.12060547
120,-0.0031433105
121,0.088378906
122,-0.22070312
123,-0.032958984
124,0.19921875
125,0.034179688
126,-0.06933594
127,-0.08984375
128,-0.26367188
129,0.16210938
130,-0.11230469
131,0.19726562
132,-0.13476562
133,0.22363281
134,-0.06689453
135,-0.23046875
136,-0.32421875
137,0.22265625
138,-0.13476562
139,-0.26757812
140,-0.012145996
141,-0.20605469
142,0.05517578
143,0.057128906
144,0.16796875
145,0.2578125
146,-0.17285156
147,0.32421875
148,0.026000977
149,0.19335938
150,0.05810547
151,-0.025878906
152,0.053710938
153,-0.041015625
154,0.43359375
155,0.16015625
156,-0.028320312
157,-0.18164062
158,0.21972656
159,0.19140625
160,-0.029541016
161,-0.013427734
162,0.12011719
163,0.16503906
164,0.21582031
165,0.028442383
166,0.059570312
167,0.15917969
168,-0.11035156
169,0.07714844
170,-0.20996094
171,0.06738281
172,-0.140625
173,0.35351562
174,-0.061767578
175,-0.024902344
176,-0.029663086
177,-0.072753906
178,-0.084472656
179,0.00089263916
180,0.104003906
181,-0.27148438
182,0.06933594
183,0.07910156
184,-0.29101562
185,-0.12988281
186,-0.032714844
187,0.015991211
188,-0.03149414
189,0.041503906
190,-0.022094727
191,-0.025878906
192,-0.03125
193,0.06738281
194,0.22167969
195,0.17480469
196,-0.122558594
197,0.07128906
198,-0.06640625
199,-0.26953125
200,-0.030883789
201,0.0703125
202,-0.18847656
203,-0.020385742
204,-0.14257812
205,-0.39257812
206,0.002532959
207,-0.13964844
208,-0.0017242432
209,-0.059814453
210,-0.020629883
211,-0.015319824
212,-0.26171875
213,0.22070312
214,-0.29101562
215,0.07324219
216,0.23535156
217,0.02722168
218,-0.029541016
219,0.026977539
220,-0.24707031
221,-0.04711914
222,-0.15234375
223,-0.16992188
224,-0.1328125
225,0.119140625
226,0.24804688
227,0.25976562
228,0.19628906
229,-0.16992188
230,-0.07910156
231,-0.15332031
232,-0.061035156
233,0.051513672
234,0.1171875
235,0.4140625
236,-0.118652344
237,-0.06689453
238,0.039794922
239,0.16796875
240,-0.08544922
241,-0.13574219
242,0.06689453
243,0.3515625
244,0.08154297
245,0.16015625
246,0.051513672
247,0.08642578
248,0.17871094
249,0.0059814453
250,0.20507812
251,0.15820312
252,0.12402344
253,0.24902344
254,0.067871094
255,0.003829956
256,0.28515625
257,0.09277344
258,0.09375
259,0.09277344
260,0.45117188
261,0.10205078
262,0.41796875
263,0.15136719
264,0.34570312
265,0.045410156
266,-0.24316406
267,0.008178711
268,-0.27929688
269,-0.17089844
270,0.072265625
271,-0.16796875
272,0.099609375
273,0.16601562
274,-0.034179688
275,-0.1796875
276,0.03149414
277,-0.051513672
278,-0.11669922
279,0.032958984
280,-0.13574219
281,0.22558594
282,-0.14746094
283,0.001953125
284,-0.2265625
285,-0.07910156
286,-0.05859375
287,-0.048583984
288,-0.0036315918
289,0.21191406
290,-0.10058594
291,0.14550781
292,-0.27539062
293,0.05078125
294,0.234375
295,0.14355469
296,-0.15332031
297,-0.09863281
298,0.3359375
299,0.32226562
