,Montserrat
0,-0.24804688
1,-0.28125
2,0.022338867
3,-0.04638672
4,-0.014221191
5,0.04345703
6,0.0045776367
7,-0.43164062
8,-0.16699219
9,-0.3046875
10,0.17480469
11,-0.30664062
12,0.091308594
13,0.05102539
14,0.38671875
15,0.08691406
16,0.25585938
17,0.18066406
18,0.18261719
19,0.6328125
20,-0.119628906
21,-0.4140625
22,0.09667969
23,-0.15917969
24,-0.122558594
25,0.038085938
26,0.265625
27,0.049072266
28,-0.033447266
29,0.100097656
30,0.14160156
31,-0.13085938
32,-0.11425781
33,-0.079589844
34,-0.010559082
35,-0.12158203
36,-0.22949219
37,-0.28710938
38,-0.27734375
39,0.13085938
40,-0.024536133
41,0.19921875
42,0.08886719
43,0.36523438
44,0.15820312
45,-0.08105469
46,-0.21386719
47,-0.15820312
48,0.15917969
49,0.23828125
50,-0.22851562
51,-0.115722656
52,0.40820312
53,-0.44921875
54,-0.41796875
55,0.27734375
56,-0.28125
57,-0.060058594
58,-0.13964844
59,-0.12890625
60,-0.06298828
61,-0.1328125
62,-0.057128906
63,-0.092285156
64,0.19824219
65,-0.2890625
66,0.044189453
67,0.0038452148
68,-0.23339844
69,0.08300781
70,-0.45507812
71,-0.40820312
72,0.13378906
73,-0.08691406
74,0.09326172
75,-0.012268066
76,-0.122558594
77,-0.10839844
78,-0.09033203
79,0.06689453
80,-0.12988281
81,0.034179688
82,-0.07519531
83,-0.16113281
84,0.115722656
85,-0.08642578
86,-0.09863281
87,0.10205078
88,0.45117188
89,0.044433594
90,0.21484375
91,-0.33398438
92,-0.2578125
93,0.053955078
94,-0.15917969
95,0.515625
96,0.39257812
97,-0.37695312
98,0.13378906
99,-0.13476562
100,-0.15527344
101,0.3203125
102,-0.023803711
103,-0.20019531
104,0.12158203
105,-0.013671875
106,0.12158203
107,-0.009399414
108,0.20214844
109,0.061035156
110,-0.51171875
111,0.29882812
112,0.16699219
113,-0.061523438
114,-0.0010986328
115,-0.040771484
116,-0.123046875
117,-0.19628906
118,0.42773438
119,0.036132812
120,0.08300781
121,0.039794922
122,0.08105469
123,-0.15625
124,-0.19335938
125,0.106933594
126,-0.006866455
127,0.078125
128,-0.18847656
129,0.45117188
130,-0.28320312
131,0.11279297
132,-0.2890625
133,-0.21582031
134,-0.08300781
135,-0.2734375
136,-0.22949219
137,-0.052978516
138,0.04345703
139,0.04296875
140,-0.18652344
141,0.05444336
142,0.111328125
143,-0.10986328
144,0.38671875
145,0.14257812
146,0.23730469
147,-0.26171875
148,-0.07861328
149,0.2578125
150,-0.24707031
151,-0.19433594
152,-0.07080078
153,0.55078125
154,0.039794922
155,-0.083496094
156,0.032226562
157,-0.010192871
158,0.068359375
159,0.18847656
160,0.019165039
161,0.453125
162,0.09082031
163,-0.014343262
164,0.15136719
165,-0.12988281
166,0.24316406
167,0.00018978119
168,-0.12890625
169,0.31835938
170,-0.0024414062
171,0.39257812
172,0.23144531
173,0.12597656
174,-0.2578125
175,0.10253906
176,0.029663086
177,-0.0070495605
178,-0.037109375
179,0.09277344
180,-0.04296875
181,-0.15820312
182,0.026733398
183,-0.28515625
184,-0.056152344
185,-0.08251953
186,0.21875
187,-0.41796875
188,0.27929688
189,0.11376953
190,-0.08496094
191,-0.11669922
192,0.037353516
193,0.17578125
194,-0.041992188
195,0.26171875
196,0.119628906
197,0.015625
198,-0.17871094
199,0.28125
200,0.110839844
201,-0.23046875
202,-0.20996094
203,-0.29882812
204,0.22265625
205,0.07519531
206,-0.009399414
207,-0.02368164
208,0.15917969
209,-0.17480469
210,-0.07373047
211,-0.12011719
212,-0.12988281
213,-0.07373047
214,-0.10253906
215,0.19042969
216,0.140625
217,-0.3203125
218,-0.01953125
219,-0.064453125
220,-0.106933594
221,-0.18359375
222,-0.1953125
223,-0.18652344
224,-0.21582031
225,0.016601562
226,0.21972656
227,0.064941406
228,0.203125
229,0.13476562
230,-0.08105469
231,-0.061279297
232,0.06982422
233,0.13574219
234,-0.052490234
235,0.111816406
236,0.0016403198
237,-0.16503906
238,0.0043029785
239,-0.15234375
240,-0.19433594
241,-0.20117188
242,0.057617188
243,-0.0055236816
244,-0.07470703
245,0.026123047
246,-0.21289062
247,-0.125
248,0.09326172
249,-0.111816406
250,-0.20800781
251,0.002029419
252,-0.103515625
253,0.20898438
254,0.20898438
255,-0.01928711
256,0.17089844
257,0.1484375
258,-0.034423828
259,0.14257812
260,0.056884766
261,0.5859375
262,0.03112793
263,0.014343262
264,-0.44140625
265,0.016845703
266,-0.1328125
267,-0.16992188
268,-0.16699219
269,-0.28320312
270,-0.06640625
271,0.27734375
272,0.08203125
273,0.27148438
274,-0.15429688
275,-0.0012359619
276,-0.09082031
277,-0.048095703
278,-0.041748047
279,0.14648438
280,-0.111328125
281,0.022827148
282,0.15234375
283,0.107910156
284,0.31445312
285,-0.26367188
286,0.16308594
287,0.067871094
288,0.017944336
289,0.080078125
290,-0.1484375
291,0.08251953
292,-0.15820312
293,-0.24707031
294,-0.04248047
295,0.40820312
296,-0.30859375
297,0.11425781
298,0.29882812
299,0.11767578
