,Morocco
0,-0.012451172
1,0.04296875
2,-0.10839844
3,0.020874023
4,0.06591797
5,0.026855469
6,-0.096191406
7,-0.24023438
8,-0.3671875
9,0.23828125
10,-0.091796875
11,-0.114746094
12,0.06201172
13,-0.19921875
14,0.067871094
15,0.015563965
16,-0.036865234
17,0.11328125
18,-0.036132812
19,0.36328125
20,0.079589844
21,-0.15136719
22,0.06982422
23,0.21582031
24,0.107910156
25,-0.083984375
26,-0.11669922
27,-0.10595703
28,0.11425781
29,0.12597656
30,-0.042236328
31,-0.0859375
32,-0.33789062
33,0.021850586
34,-0.32617188
35,0.025756836
36,-0.26757812
37,0.02331543
38,0.055664062
39,-0.09667969
40,0.15722656
41,0.17578125
42,0.064453125
43,0.22851562
44,0.13476562
45,0.122558594
46,-0.17773438
47,-0.03881836
48,-0.087402344
49,0.07080078
50,0.009216309
51,0.028808594
52,-0.10107422
53,0.04272461
54,-0.25585938
55,0.20800781
56,-0.15136719
57,0.19042969
58,-0.17480469
59,-0.14257812
60,0.052978516
61,0.012878418
62,0.16210938
63,-0.05102539
64,-0.025024414
65,-0.18945312
66,0.064453125
67,-0.30859375
68,0.13476562
69,-0.13378906
70,-0.23535156
71,0.087402344
72,-0.14355469
73,0.20410156
74,0.064941406
75,-0.20117188
76,0.00022792816
77,-0.022460938
78,-0.010498047
79,0.29492188
80,-0.080566406
81,-0.20703125
82,-0.06982422
83,-0.2578125
84,-0.0703125
85,-0.10595703
86,-0.359375
87,0.1171875
88,-0.009887695
89,0.29882812
90,0.17382812
91,-0.087890625
92,-0.45703125
93,-0.009216309
94,0.123046875
95,-0.30273438
96,0.040039062
97,-0.34960938
98,0.079589844
99,-0.046142578
100,-0.05493164
101,-0.13085938
102,-0.1953125
103,0.119140625
104,0.033935547
105,0.021484375
106,0.05029297
107,-0.26367188
108,-0.084472656
109,-0.06640625
110,-0.060546875
111,0.26953125
112,0.12109375
113,-0.15234375
114,0.09082031
115,-0.14453125
116,-0.068847656
117,0.10839844
118,0.28320312
119,-0.078125
120,-0.13769531
121,-0.08642578
122,0.013244629
123,-0.095214844
124,0.12011719
125,-0.06298828
126,-0.09667969
127,-0.15722656
128,-0.45117188
129,0.12695312
130,-0.09326172
131,0.17871094
132,-0.045654297
133,-0.08691406
134,0.110839844
135,-0.25
136,-0.17285156
137,0.09716797
138,0.045410156
139,-0.026611328
140,0.13671875
141,-0.052978516
142,0.14160156
143,0.040771484
144,0.20507812
145,0.08691406
146,-0.15625
147,0.140625
148,0.072753906
149,-0.052490234
150,-0.0022888184
151,-0.12890625
152,-0.16601562
153,-0.036376953
154,0.31640625
155,-0.32226562
156,-0.24902344
157,0.03125
158,0.26171875
159,-0.055908203
160,-0.36132812
161,0.12207031
162,0.15625
163,0.064941406
164,0.05029297
165,0.051757812
166,-0.045410156
167,0.04736328
168,-0.072265625
169,0.092285156
170,-0.068359375
171,0.34765625
172,-0.16894531
173,0.018554688
174,-0.14160156
175,0.060546875
176,0.25390625
177,-0.27539062
178,0.091796875
179,-0.04272461
180,-0.25
181,-0.30273438
182,-0.3203125
183,-0.009277344
184,0.10546875
185,0.10986328
186,0.16503906
187,0.05053711
188,-0.08935547
189,0.08300781
190,0.007385254
191,0.021606445
192,-0.080566406
193,0.02709961
194,-0.14257812
195,0.5859375
196,0.045166016
197,-0.13671875
198,-0.052734375
199,-0.25585938
200,0.041992188
201,-0.050048828
202,0.103515625
203,-0.0625
204,0.16796875
205,-0.11328125
206,-0.06591797
207,0.02331543
208,-0.037597656
209,0.10546875
210,0.04296875
211,0.03540039
212,-0.31640625
213,0.08203125
214,-0.07910156
215,0.018798828
216,0.061523438
217,-0.028930664
218,0.22851562
219,-0.26757812
220,-0.107910156
221,-0.103027344
222,-0.19628906
223,-0.08886719
224,-0.10498047
225,0.123046875
226,0.20605469
227,0.22167969
228,0.359375
229,-0.09765625
230,0.05444336
231,0.003967285
232,0.11035156
233,-0.00014305115
234,-0.018920898
235,0.044921875
236,0.15917969
237,0.25195312
238,0.029418945
239,-0.096191406
240,0.05517578
241,-0.052734375
242,0.07714844
243,0.20605469
244,0.17382812
245,-0.0015487671
246,-0.22753906
247,-0.16503906
248,-0.026367188
249,-0.103515625
250,0.2734375
251,0.33007812
252,0.05102539
253,0.10986328
254,0.2734375
255,0.037841797
256,0.03564453
257,-0.11376953
258,-0.00982666
259,0.0146484375
260,0.041503906
261,0.20800781
262,-0.041992188
263,0.18359375
264,0.3046875
265,-0.08984375
266,-0.26367188
267,-0.29101562
268,0.13574219
269,0.0859375
270,-0.0703125
271,0.110839844
272,0.16503906
273,0.0051879883
274,0.07324219
275,0.076660156
276,-0.1875
277,-0.20019531
278,-0.21582031
279,0.023803711
280,-0.083984375
281,-0.28320312
282,-0.16894531
283,-0.10839844
284,0.0020446777
285,-0.140625
286,-0.12890625
287,-0.016113281
288,-0.11376953
289,0.041259766
290,0.003250122
291,0.053955078
292,-0.040039062
293,-0.04321289
294,-0.26953125
295,0.23144531
296,-0.0063476562
297,-0.087890625
298,0.21386719
299,0.30273438
