,Netherlands
0,-0.06347656
1,-0.063964844
2,0.26367188
3,0.006591797
4,-0.19042969
5,-0.15917969
6,-0.15722656
7,-0.15722656
8,0.000415802
9,0.059814453
10,0.13671875
11,0.012573242
12,0.20117188
13,-0.017578125
14,-0.296875
15,-0.04736328
16,-0.12597656
17,0.057373047
18,-0.17773438
19,0.26171875
20,0.26953125
21,0.04248047
22,0.03564453
23,0.1875
24,0.095703125
25,0.04736328
26,0.03173828
27,-0.13671875
28,-0.20996094
29,0.032958984
30,0.16601562
31,-0.13378906
32,-0.083496094
33,-0.17773438
34,-0.171875
35,-0.046875
36,-0.4609375
37,-0.10107422
38,0.12451172
39,0.0046691895
40,0.11376953
41,0.045654297
42,0.12988281
43,0.25195312
44,-0.20410156
45,0.115722656
46,-0.12402344
47,-0.18457031
48,0.03857422
49,0.21191406
50,-0.17578125
51,-0.025390625
52,0.09667969
53,-0.09472656
54,-0.19726562
55,0.09716797
56,-0.38867188
57,0.001083374
58,-0.30273438
59,-0.0859375
60,0.071777344
61,-0.14355469
62,-0.1328125
63,-0.18261719
64,-0.013305664
65,-0.1328125
66,0.13574219
67,-0.13867188
68,-0.055419922
69,0.026733398
70,-0.18066406
71,0.34765625
72,0.13183594
73,0.052246094
74,-0.07714844
75,-0.05517578
76,0.18945312
77,-0.0234375
78,0.08203125
79,0.15917969
80,0.046142578
81,-0.06933594
82,0.08544922
83,-0.061279297
84,0.057373047
85,-0.15722656
86,-0.06689453
87,-0.1484375
88,0.234375
89,0.14648438
90,0.053466797
91,0.23632812
92,-0.07910156
93,0.28710938
94,-0.084472656
95,-0.018432617
96,0.008117676
97,-0.24121094
98,0.05908203
99,0.26757812
100,0.13183594
101,-0.13378906
102,-0.15722656
103,0.36914062
104,0.10253906
105,0.14160156
106,0.0015182495
107,-0.044677734
108,0.017333984
109,0.03125
110,0.10546875
111,-0.111816406
112,-0.18554688
113,0.011352539
114,0.1796875
115,-0.07519531
116,-0.24023438
117,-0.03930664
118,0.5625
119,0.16699219
120,-0.15332031
121,-0.22949219
122,0.06689453
123,-0.072265625
124,-0.09667969
125,-0.03564453
126,-0.15429688
127,-0.045654297
128,-0.44335938
129,0.19433594
130,0.071777344
131,0.22070312
132,-0.3359375
133,-0.2265625
134,-0.099121094
135,0.0021820068
136,0.04321289
137,-0.03881836
138,0.020385742
139,-0.17675781
140,0.115234375
141,0.04296875
142,0.21972656
143,0.107910156
144,0.019042969
145,0.20410156
146,0.01586914
147,-0.0050354004
148,-0.18066406
149,0.018310547
150,0.24902344
151,-0.039794922
152,-0.15234375
153,-0.15136719
154,0.18164062
155,-0.328125
156,-0.075683594
157,-0.087402344
158,0.09863281
159,-0.052490234
160,0.06640625
161,0.14355469
162,0.24316406
163,-0.064453125
164,0.26367188
165,-0.27539062
166,-0.083984375
167,0.057617188
168,-0.3359375
169,0.010070801
170,-0.15136719
171,0.125
172,-0.1875
173,-0.15820312
174,-0.42382812
175,-0.31054688
176,0.040283203
177,0.11376953
178,0.027954102
179,0.05517578
180,0.22753906
181,-0.13671875
182,-0.12890625
183,-0.15722656
184,0.15625
185,-0.009277344
186,0.24902344
187,0.031982422
188,-0.23339844
189,0.31445312
190,-0.16210938
191,-0.0009918213
192,0.06933594
193,-0.16113281
194,0.025024414
195,0.33789062
196,0.18261719
197,0.052978516
198,-0.23242188
199,-0.29296875
200,0.1015625
201,-0.06982422
202,0.06225586
203,-0.028076172
204,0.033203125
205,0.037109375
206,-0.025268555
207,0.0099487305
208,-0.14550781
209,0.123535156
210,-0.064453125
211,-0.15722656
212,-0.2734375
213,0.1015625
214,-0.17871094
215,-0.23339844
216,-0.012207031
217,-0.053222656
218,0.19824219
219,0.002532959
220,-0.016723633
221,-0.24804688
222,-0.1015625
223,-0.11328125
224,-0.48828125
225,0.14257812
226,0.14453125
227,-0.008605957
228,0.12011719
229,-0.10986328
230,-0.140625
231,0.001159668
232,0.14355469
233,0.08496094
234,0.0049438477
235,0.030151367
236,0.10546875
237,0.08984375
238,-0.09765625
239,-0.096191406
240,0.11816406
241,-0.1171875
242,0.13378906
243,0.12988281
244,-0.03491211
245,-0.0021362305
246,-0.20800781
247,0.047607422
248,-0.012634277
249,-0.39257812
250,0.10888672
251,0.1484375
252,-0.0069274902
253,0.14453125
254,-0.12792969
255,0.16113281
256,-0.099609375
257,0.14941406
258,0.13574219
259,0.037109375
260,0.37304688
261,0.13183594
262,-0.10205078
263,0.20117188
264,0.26953125
265,0.18164062
266,-0.1640625
267,-0.1796875
268,-0.013366699
269,0.16601562
270,0.05834961
271,-0.029541016
272,0.0859375
273,-0.20117188
274,-0.075683594
275,-0.13378906
276,-0.359375
277,0.40625
278,-0.2109375
279,0.022460938
280,-0.079589844
281,-0.2734375
282,-0.05517578
283,0.13085938
284,-0.10546875
285,0.020751953
286,0.40625
287,-0.06201172
288,-0.12988281
289,0.20703125
290,0.022827148
291,0.057617188
292,-0.083496094
293,-0.17480469
294,-0.17382812
295,0.27734375
296,0.0076904297
297,-0.032470703
298,0.33984375
299,-0.104003906
