,Nigeria
0,0.09423828
1,-0.068359375
2,-0.06738281
3,0.045898438
4,-0.15625
5,-0.15039062
6,-0.17578125
7,-0.38671875
8,-0.27148438
9,-0.095214844
10,0.20019531
11,0.1484375
12,0.13671875
13,-0.004333496
14,0.18945312
15,0.24414062
16,-0.23339844
17,-0.045654297
18,-0.23339844
19,0.0050964355
20,0.29882812
21,-0.19726562
22,0.06982422
23,0.0625
24,0.328125
25,0.13085938
26,0.13183594
27,-0.50390625
28,0.18359375
29,0.22167969
30,-0.171875
31,-0.15722656
32,-0.25195312
33,-0.17480469
34,-0.053955078
35,0.09765625
36,-0.034179688
37,-0.21679688
38,-0.009887695
39,0.2109375
40,0.044189453
41,0.20019531
42,-0.072753906
43,0.41601562
44,-0.068847656
45,0.16699219
46,-0.30078125
47,0.10205078
48,-0.022338867
49,-0.17773438
50,-0.2890625
51,-0.32617188
52,0.033691406
53,0.087890625
54,0.095214844
55,0.16210938
56,-0.47460938
57,-0.09082031
58,-0.0390625
59,-0.22363281
60,0.12792969
61,-0.16503906
62,-0.16503906
63,0.25390625
64,-0.021850586
65,-0.45898438
66,0.26953125
67,0.052490234
68,0.02722168
69,-0.12109375
70,-0.2578125
71,0.009216309
72,0.041748047
73,0.20410156
74,-0.22558594
75,-0.16503906
76,-0.071777344
77,0.119628906
78,0.0390625
79,0.25390625
80,-0.4375
81,-0.20117188
82,0.24902344
83,-0.18652344
84,0.099121094
85,-0.13769531
86,0.29882812
87,0.036865234
88,-0.11230469
89,-0.0024108887
90,0.3515625
91,-0.05859375
92,-0.18261719
93,-0.28125
94,0.03466797
95,-0.016235352
96,0.10839844
97,0.083984375
98,0.2890625
99,0.125
100,0.076171875
101,0.26171875
102,0.099121094
103,-0.21875
104,-0.24609375
105,-0.06347656
106,0.20410156
107,-0.11816406
108,-0.16601562
109,0.14160156
110,-0.19921875
111,0.037109375
112,-0.25976562
113,0.17773438
114,-0.01940918
115,0.10839844
116,0.19042969
117,0.03173828
118,0.33398438
119,0.16992188
120,-0.296875
121,0.010437012
122,-0.19824219
123,-0.19433594
124,-0.34375
125,0.037841797
126,-0.24023438
127,-0.11035156
128,-0.625
129,0.16601562
130,0.05859375
131,0.16601562
132,-0.20410156
133,-0.20214844
134,-0.16796875
135,-0.053222656
136,-0.22265625
137,0.060791016
138,-0.18652344
139,-0.10839844
140,0.14160156
141,-0.13183594
142,0.14648438
143,0.22363281
144,0.028320312
145,0.2734375
146,-0.0037384033
147,-0.16015625
148,0.30078125
149,0.022094727
150,0.022460938
151,-0.13671875
152,0.109375
153,-0.080078125
154,0.087402344
155,-0.16796875
156,-0.22851562
157,0.35742188
158,0.07519531
159,-0.11425781
160,0.026000977
161,-0.045410156
162,-0.041748047
163,0.012512207
164,0.07714844
165,0.04736328
166,-0.203125
167,-0.08154297
168,0.16699219
169,0.5625
170,-0.25
171,0.27929688
172,-0.10595703
173,-0.19140625
174,-0.17089844
175,-0.56640625
176,0.41601562
177,-0.55859375
178,0.008544922
179,-0.38476562
180,-0.15234375
181,-0.40625
182,-0.07128906
183,-0.099609375
184,-0.009094238
185,0.2421875
186,-0.14941406
187,-0.111816406
188,0.12011719
189,0.13867188
190,-0.3046875
191,-0.22949219
192,-0.060791016
193,-0.008300781
194,-0.14941406
195,0.546875
196,-0.26757812
197,0.21777344
198,-0.1484375
199,-0.14941406
200,-0.06689453
201,-0.10986328
202,-0.0859375
203,-0.25
204,-0.020629883
205,0.052246094
206,-0.24707031
207,-0.40039062
208,-0.11230469
209,-0.15039062
210,-0.13769531
211,0.04345703
212,-0.30664062
213,0.12890625
214,-0.17773438
215,-0.09667969
216,-0.296875
217,0.05053711
218,-0.09326172
219,0.114746094
220,-0.34179688
221,-0.24023438
222,-0.023803711
223,-0.12792969
224,0.33398438
225,0.28320312
226,0.023803711
227,0.019042969
228,0.34765625
229,-0.17285156
230,0.110839844
231,-0.025878906
232,0.1953125
233,0.0053100586
234,0.0027923584
235,0.26757812
236,0.16796875
237,0.21289062
238,0.014770508
239,-0.00065231323
240,0.22949219
241,-0.24902344
242,-0.02319336
243,0.005584717
244,-0.05419922
245,-0.28320312
246,-0.359375
247,-0.11767578
248,-0.14257812
249,-0.11279297
250,0.41015625
251,0.08642578
252,0.25195312
253,0.14160156
254,0.107421875
255,0.1796875
256,-0.12988281
257,0.23730469
258,0.04321289
259,-0.088378906
260,0.23535156
261,0.060546875
262,-0.000831604
263,0.087402344
264,0.056884766
265,0.140625
266,-0.25
267,-0.07763672
268,-0.23925781
269,0.38476562
270,-0.05834961
271,0.28710938
272,-0.11669922
273,0.0234375
274,0.4765625
275,-0.012451172
276,-0.043701172
277,0.04638672
278,0.09277344
279,0.08154297
280,0.028076172
281,-0.099609375
282,0.044433594
283,-0.22363281
284,-0.013305664
285,-0.16210938
286,0.09765625
287,-0.119140625
288,-0.014465332
289,-0.15527344
290,-0.016113281
291,-0.072265625
292,-0.23632812
293,-0.05419922
294,-0.07128906
295,0.18164062
296,-0.25585938
297,-0.16601562
298,-0.16113281
299,-0.27148438
