,Norway
0,-0.034179688
1,-0.08496094
2,0.024047852
3,-0.087402344
4,-0.111816406
5,-0.15527344
6,-0.018676758
7,-0.31835938
8,-0.05834961
9,0.1328125
10,-0.018066406
11,0.024536133
12,-0.011108398
13,-0.15136719
14,-0.16601562
15,-0.24023438
16,-0.11669922
17,0.008972168
18,-0.30664062
19,0.118652344
20,0.19140625
21,0.12890625
22,-0.11767578
23,0.17382812
24,0.14550781
25,0.041015625
26,-0.076660156
27,0.13574219
28,0.033691406
29,0.11035156
30,0.123046875
31,-0.15332031
32,-0.24804688
33,-0.16699219
34,0.041992188
35,-0.064941406
36,-0.2421875
37,0.13769531
38,0.359375
39,0.080566406
40,0.26367188
41,0.103027344
42,0.022338867
43,0.072753906
44,-0.041992188
45,0.4296875
46,-0.22265625
47,-0.099121094
48,0.02331543
49,0.0047912598
50,-0.07324219
51,-0.19726562
52,0.0138549805
53,0.0023498535
54,-0.13769531
55,-0.110839844
56,-0.42382812
57,-0.08496094
58,-0.16015625
59,-0.25585938
60,-0.107421875
61,-0.041992188
62,0.13964844
63,0.03881836
64,0.0107421875
65,-0.40820312
66,0.28515625
67,-0.107910156
68,-0.087890625
69,0.05126953
70,0.014343262
71,-0.09033203
72,0.26367188
73,-0.013183594
74,-0.020996094
75,-0.17578125
76,0.033935547
77,0.06542969
78,0.03540039
79,0.14160156
80,0.08154297
81,-0.1875
82,0.17480469
83,0.041992188
84,0.020874023
85,-0.17578125
86,-0.07519531
87,0.034179688
88,0.1875
89,0.28125
90,0.25390625
91,0.048583984
92,-0.12060547
93,0.17773438
94,-0.11767578
95,-0.11279297
96,-0.01159668
97,-0.21972656
98,0.23046875
99,-0.13574219
100,0.13574219
101,-0.12792969
102,-0.109375
103,0.2578125
104,-0.03491211
105,0.26367188
106,0.06689453
107,0.029785156
108,0.16894531
109,0.07519531
110,-0.083496094
111,-0.037841797
112,-0.10546875
113,-0.18164062
114,-0.15527344
115,-0.083984375
116,0.064941406
117,-0.017333984
118,0.2734375
119,0.16894531
120,-0.17578125
121,-0.091796875
122,-0.06689453
123,0.11376953
124,-0.25390625
125,0.08642578
126,-0.0068969727
127,0.22265625
128,-0.6328125
129,0.14257812
130,0.0072631836
131,0.13085938
132,0.03173828
133,0.010803223
134,0.012939453
135,-0.17871094
136,-0.30859375
137,-0.044677734
138,-0.053222656
139,-0.07421875
140,0.14648438
141,-0.008666992
142,0.12207031
143,-0.10058594
144,0.13671875
145,0.016723633
146,-0.12792969
147,0.029541016
148,-0.14257812
149,0.203125
150,0.119628906
151,0.06689453
152,0.044921875
153,-0.125
154,0.2578125
155,-0.20898438
156,0.016113281
157,0.2421875
158,0.11767578
159,0.21289062
160,0.0014724731
161,0.114746094
162,0.13476562
163,0.02746582
164,0.16015625
165,-0.20703125
166,-0.20996094
167,0.044677734
168,-0.34960938
169,0.375
170,-0.34375
171,0.21972656
172,-0.1796875
173,-0.1640625
174,-0.25390625
175,-0.20214844
176,0.125
177,0.03540039
178,-0.29296875
179,0.051757812
180,0.018798828
181,-0.3203125
182,-0.0087890625
183,-0.0048217773
184,0.13085938
185,0.09326172
186,0.09326172
187,-0.359375
188,-0.04711914
189,0.2421875
190,-0.19042969
191,-0.22265625
192,0.24414062
193,-0.09326172
194,0.11035156
195,0.19238281
196,0.08886719
197,0.15722656
198,-0.29101562
199,-0.13378906
200,-0.024414062
201,-0.011169434
202,-0.0069274902
203,-0.28710938
204,-0.0053100586
205,0.14550781
206,0.014770508
207,-0.13378906
208,-0.18554688
209,0.095703125
210,0.010620117
211,-0.07763672
212,-0.15722656
213,0.32421875
214,-0.20800781
215,0.022705078
216,0.13378906
217,-0.021240234
218,0.12451172
219,-0.028686523
220,0.043701172
221,-0.32617188
222,0.4375
223,-0.14453125
224,-0.16308594
225,0.022583008
226,-0.040039062
227,-0.055419922
228,0.053710938
229,-0.119140625
230,0.140625
231,0.18652344
232,0.051757812
233,0.068847656
234,0.029052734
235,0.041503906
236,-0.026977539
237,0.16308594
238,0.04345703
239,-0.111328125
240,0.020996094
241,-0.10449219
242,0.08496094
243,-0.16699219
244,0.024536133
245,-0.13769531
246,0.010192871
247,-0.20898438
248,0.0032348633
249,-0.50390625
250,-0.019897461
251,0.083984375
252,0.15136719
253,0.31445312
254,-0.18261719
255,0.20800781
256,0.021850586
257,-0.028442383
258,0.122558594
259,-0.12890625
260,0.44140625
261,0.20507812
262,0.0018539429
263,-0.05419922
264,0.20410156
265,-0.021118164
266,-0.46875
267,0.019897461
268,0.14746094
269,0.034423828
270,-0.019165039
271,0.10644531
272,0.15722656
273,-0.052978516
274,0.20996094
275,0.064941406
276,-0.13769531
277,0.23144531
278,-0.122558594
279,0.15527344
280,-0.115722656
281,-0.28710938
282,-0.015136719
283,0.29492188
284,-0.10839844
285,-0.23339844
286,0.23046875
287,-0.21582031
288,-0.02331543
289,0.2109375
290,0.20214844
291,-0.12597656
292,-0.11621094
293,0.11425781
294,-0.18164062
295,0.15917969
296,-0.049316406
297,0.059570312
298,0.21484375
299,-0.03881836
