,Pakistan
0,-0.30859375
1,0.029174805
2,0.18554688
3,0.17773438
4,-0.34375
5,0.12597656
6,-0.07861328
7,-0.12109375
8,-0.20507812
9,-0.064453125
10,-0.14355469
11,-0.171875
12,0.33203125
13,-0.119628906
14,0.09423828
15,-0.1796875
16,-0.24609375
17,0.00982666
18,0.115722656
19,-0.016967773
20,-0.14355469
21,-0.19335938
22,-0.05493164
23,-0.034423828
24,0.17382812
25,0.20117188
26,-0.18945312
27,-0.096191406
28,0.011108398
29,-0.09863281
30,-0.18945312
31,-0.19921875
32,-0.40234375
33,0.19824219
34,-0.22265625
35,0.09033203
36,-0.19433594
37,-0.080078125
38,0.12890625
39,0.013366699
40,0.11816406
41,0.14648438
42,0.099609375
43,-0.056884766
44,0.032714844
45,0.107910156
46,-0.0039367676
47,-0.18457031
48,-0.029418945
49,-0.025024414
50,0.09765625
51,-0.13378906
52,0.0099487305
53,-0.06640625
54,-0.28320312
55,-0.14648438
56,-0.26757812
57,0.05810547
58,-0.20703125
59,-0.27148438
60,-0.10449219
61,0.006164551
62,-0.19921875
63,-0.063964844
64,-0.037597656
65,0.13183594
66,0.20019531
67,-0.012268066
68,0.14160156
69,-0.10205078
70,-0.33398438
71,-0.020751953
72,-0.118652344
73,-0.19433594
74,-0.004058838
75,-0.47851562
76,0.13476562
77,0.17578125
78,0.10205078
79,0.051513672
80,-0.16015625
81,-0.096191406
82,0.14355469
83,-0.14648438
84,-0.07861328
85,-0.359375
86,0.013916016
87,-0.14550781
88,-0.05493164
89,0.087890625
90,-0.049804688
91,0.024169922
92,-0.33398438
93,-0.13671875
94,0.009765625
95,-0.14257812
96,0.15332031
97,-0.057128906
98,0.15625
99,0.010864258
100,-0.1953125
101,0.12207031
102,0.071777344
103,0.140625
104,0.10595703
105,0.15429688
106,-0.017700195
107,0.001876831
108,-0.02331543
109,0.33007812
110,0.017211914
111,0.049072266
112,-0.115722656
113,0.17773438
114,0.15625
115,0.061523438
116,-0.015014648
117,0.17382812
118,0.5703125
119,0.140625
120,-0.15039062
121,0.08984375
122,-0.125
123,0.171875
124,-0.26953125
125,0.1484375
126,-0.15136719
127,0.056152344
128,-0.31835938
129,0.034423828
130,-0.09863281
131,0.234375
132,-0.026489258
133,-0.10107422
134,-0.13769531
135,-0.057128906
136,-0.079589844
137,-0.087402344
138,0.10546875
139,0.22753906
140,0.10107422
141,-0.14648438
142,0.053710938
143,0.118652344
144,-0.421875
145,0.024047852
146,-0.110839844
147,0.017211914
148,0.12695312
149,0.06542969
150,0.25
151,-0.41601562
152,-0.11376953
153,-0.32421875
154,-0.11035156
155,-0.78515625
156,-0.21289062
157,-0.100097656
158,0.12792969
159,0.10839844
160,-0.30273438
161,-0.23828125
162,0.21191406
163,-0.088378906
164,-0.0035095215
165,-0.5625
166,0.20410156
167,0.007873535
168,0.34765625
169,0.42578125
170,-0.31445312
171,0.22460938
172,-0.27929688
173,-0.28515625
174,0.123535156
175,-0.16699219
176,0.19140625
177,-0.16503906
178,-0.26953125
179,-0.30078125
180,0.07128906
181,0.020874023
182,-0.04296875
183,0.011962891
184,0.14453125
185,0.10205078
186,0.28125
187,0.111328125
188,0.21679688
189,0.20996094
190,-0.16113281
191,0.06933594
192,-0.19335938
193,0.083984375
194,0.030151367
195,0.06298828
196,-0.13867188
197,0.002822876
198,0.12109375
199,-0.125
200,-0.14648438
201,-0.16015625
202,-0.17480469
203,-0.049804688
204,0.091308594
205,-0.033935547
206,-0.23828125
207,-0.22363281
208,0.064453125
209,0.03930664
210,-0.31445312
211,-0.17089844
212,-0.08300781
213,-0.0006980896
214,-0.042236328
215,0.012145996
216,-0.23046875
217,0.39648438
218,-0.26367188
219,-0.37109375
220,-0.12597656
221,-0.036865234
222,-0.09082031
223,0.059570312
224,-0.071777344
225,0.0069274902
226,-0.028564453
227,0.045410156
228,0.43359375
229,-0.20214844
230,-0.26367188
231,0.34375
232,0.43945312
233,0.05834961
234,0.18652344
235,0.084472656
236,0.12597656
237,-0.016479492
238,0.13964844
239,-0.092285156
240,0.07763672
241,0.111816406
242,-0.026000977
243,-0.21289062
244,-0.016235352
245,-0.114746094
246,0.01977539
247,-0.27148438
248,0.05029297
249,-0.053710938
250,0.15136719
251,-0.071777344
252,0.10644531
253,0.087402344
254,0.1328125
255,0.31054688
256,0.0006637573
257,0.07421875
258,-0.052490234
259,-0.017700195
260,-0.21484375
261,0.26953125
262,0.26953125
263,0.096191406
264,0.064941406
265,0.07421875
266,-0.296875
267,-0.33789062
268,0.1796875
269,-0.14257812
270,0.0059814453
271,0.32226562
272,0.15722656
273,-0.036621094
274,0.18066406
275,0.171875
276,0.25976562
277,0.020263672
278,-0.13378906
279,-0.11621094
280,0.018432617
281,0.029785156
282,-0.03466797
283,0.14355469
284,0.07080078
285,-0.29882812
286,-0.045410156
287,0.16992188
288,-0.0059814453
289,0.10888672
290,0.033935547
291,0.14941406
292,0.031982422
293,-0.1171875
294,-0.24804688
295,-0.01928711
296,-0.029663086
297,0.01965332
298,0.03955078
299,-0.015319824
