,Panama
0,-0.021118164
1,-0.06542969
2,-0.18164062
3,0.03881836
4,-0.20605469
5,-0.28125
6,-0.20019531
7,-0.0028076172
8,0.064941406
9,0.02355957
10,-0.039794922
11,-0.20410156
12,-0.048095703
13,-0.012451172
14,0.27734375
15,0.20800781
16,0.12695312
17,0.18554688
18,-0.14160156
19,0.099121094
20,0.22363281
21,-0.3515625
22,0.08691406
23,0.32617188
24,-0.016967773
25,0.027832031
26,0.05908203
27,0.026855469
28,-0.13476562
29,0.40039062
30,0.20507812
31,-0.06347656
32,-0.21582031
33,-0.17285156
34,0.27929688
35,-0.014953613
36,-0.05493164
37,-0.23144531
38,0.09765625
39,-0.12597656
40,-0.13867188
41,-0.21679688
42,0.24902344
43,0.12207031
44,-0.11376953
45,-0.040039062
46,0.13476562
47,-0.10986328
48,-0.02368164
49,0.35351562
50,0.022216797
51,0.060302734
52,0.12890625
53,-0.25
54,-0.10595703
55,0.19335938
56,-0.33007812
57,-0.053222656
58,0.18359375
59,-0.09863281
60,0.035888672
61,0.026733398
62,-0.041015625
63,0.07373047
64,0.08105469
65,-0.20800781
66,-0.203125
67,-0.14746094
68,-0.14648438
69,-0.04638672
70,-0.07128906
71,-0.029663086
72,-0.17382812
73,0.07470703
74,-0.14355469
75,0.12695312
76,0.23242188
77,-0.16113281
78,0.08544922
79,0.17675781
80,-0.29492188
81,0.10205078
82,-0.25585938
83,-0.21777344
84,-0.087402344
85,-0.12207031
86,-0.10253906
87,-0.20507812
88,0.06640625
89,-0.024902344
90,0.15722656
91,0.125
92,-0.328125
93,-0.12158203
94,-0.010681152
95,0.043701172
96,0.14160156
97,0.14355469
98,-0.063964844
99,0.25585938
100,0.005432129
101,0.088378906
102,-0.044189453
103,-0.061035156
104,0.087890625
105,0.13964844
106,0.099609375
107,-0.31835938
108,-0.11328125
109,-0.012390137
110,0.07519531
111,-0.026489258
112,-0.099121094
113,-0.27929688
114,-0.123535156
115,0.21484375
116,-0.25
117,-0.030151367
118,0.17675781
119,0.11425781
120,-0.18847656
121,-0.3125
122,0.12451172
123,0.005493164
124,0.24902344
125,0.12402344
126,-0.02355957
127,0.061035156
128,-0.18554688
129,0.30078125
130,-0.11669922
131,0.19921875
132,-0.08154297
133,-0.32617188
134,-0.032470703
135,-0.06298828
136,-0.453125
137,0.12695312
138,0.16015625
139,0.13769531
140,-0.21191406
141,-0.0017700195
142,-0.0546875
143,-0.114746094
144,0.33984375
145,0.23925781
146,-0.12988281
147,-0.043945312
148,0.11279297
149,0.11279297
150,0.3203125
151,-0.34765625
152,-0.14453125
153,0.04272461
154,0.19042969
155,-0.046875
156,-0.31835938
157,0.013061523
158,0.13964844
159,0.30859375
160,-0.007873535
161,0.16015625
162,-0.11279297
163,0.22851562
164,0.21289062
165,-0.029174805
166,-0.09667969
167,-0.04711914
168,0.088378906
169,-0.17773438
170,0.050048828
171,0.31054688
172,-0.05517578
173,-0.20800781
174,0.023925781
175,-0.010375977
176,0.18261719
177,-0.04638672
178,-0.118652344
179,-0.16015625
180,0.083984375
181,-0.29296875
182,-0.23535156
183,-0.06738281
184,-0.119140625
185,-0.36523438
186,0.37695312
187,0.22363281
188,0.21777344
189,-0.046875
190,-0.11669922
191,0.06591797
192,0.28515625
193,0.044677734
194,0.05078125
195,0.33789062
196,0.012023926
197,-0.104003906
198,-0.064453125
199,-0.16601562
200,0.32421875
201,-0.36132812
202,0.28125
203,-0.02709961
204,-0.025390625
205,-0.03930664
206,-0.19335938
207,-0.16113281
208,-0.13574219
209,0.17285156
210,0.11230469
211,0.115722656
212,-0.23046875
213,0.28515625
214,0.05419922
215,0.24414062
216,-0.08935547
217,-0.06933594
218,-0.006225586
219,-0.00039291382
220,-0.14941406
221,-0.15332031
222,-0.100097656
223,-0.296875
224,-0.025878906
225,0.018554688
226,0.12890625
227,0.296875
228,0.07470703
229,0.10205078
230,-0.25
231,-0.16503906
232,-0.111328125
233,-0.23828125
234,0.20800781
235,-0.0390625
236,0.08300781
237,0.023925781
238,0.33203125
239,0.020996094
240,-0.111816406
241,0.071777344
242,-0.23046875
243,-0.06640625
244,-0.23632812
245,0.09667969
246,-0.12011719
247,-0.026977539
248,0.095703125
249,-0.017822266
250,-0.19433594
251,0.15917969
252,-0.008178711
253,-0.12597656
254,0.10253906
255,-0.21679688
256,0.09375
257,-0.083984375
258,-0.028442383
259,0.060791016
260,0.3828125
261,-0.05493164
262,0.23730469
263,0.103515625
264,0.30078125
265,0.045898438
266,-0.328125
267,-0.27929688
268,-0.046875
269,0.22070312
270,-0.34179688
271,0.3203125
272,0.04296875
273,-0.22070312
274,0.02368164
275,0.3359375
276,-0.28515625
277,0.10546875
278,-0.08496094
279,0.064941406
280,0.09863281
281,-0.028686523
282,0.008422852
283,0.0625
284,-0.27148438
285,-0.011291504
286,-0.23925781
287,-0.0154418945
288,-0.21386719
289,0.05834961
290,-0.002670288
291,-0.36914062
292,-0.017700195
293,-0.14257812
294,0.06347656
295,0.14453125
296,-0.08496094
297,-0.12597656
298,0.24414062
299,0.14941406
