,Poland
0,0.16699219
1,0.033203125
2,0.27929688
3,0.140625
4,-0.1875
5,-0.05102539
6,0.123535156
7,-0.10253906
8,-0.067871094
9,-0.015319824
10,-0.039794922
11,-0.16210938
12,-0.140625
13,-0.111816406
14,0.22558594
15,0.0008583069
16,-0.061035156
17,0.20507812
18,0.061523438
19,-0.26757812
20,0.32617188
21,0.10595703
22,0.12158203
23,-0.00039482117
24,0.11328125
25,0.10498047
26,-0.37890625
27,0.12695312
28,-0.2109375
29,0.24804688
30,0.09277344
31,-0.103027344
32,-0.12109375
33,-0.12695312
34,0.08105469
35,-0.4375
36,-0.14746094
37,0.16601562
38,0.16601562
39,0.05126953
40,0.18847656
41,0.032226562
42,0.23535156
43,-0.13085938
44,-0.17578125
45,-0.005218506
46,-0.016601562
47,0.051513672
48,-0.08886719
49,0.1484375
50,-0.014831543
51,0.034423828
52,-0.17675781
53,0.18652344
54,-0.11035156
55,-0.03491211
56,-0.46484375
57,0.03491211
58,-0.07373047
59,0.044433594
60,0.107910156
61,-0.11767578
62,0.091308594
63,-0.16015625
64,0.016845703
65,-0.031982422
66,0.34375
67,-0.36132812
68,0.023925781
69,0.07421875
70,-0.106933594
71,0.012512207
72,-0.09716797
73,-8.8214874e-05
74,-0.10888672
75,-0.22753906
76,0.15917969
77,-0.061767578
78,0.037353516
79,0.19921875
80,0.052734375
81,-0.26171875
82,0.060546875
83,-0.28320312
84,0.16015625
85,-0.203125
86,-0.203125
87,-0.008972168
88,0.25976562
89,0.03540039
90,0.10595703
91,-0.18652344
92,-0.36132812
93,0.08154297
94,-0.28320312
95,-0.16992188
96,-0.049560547
97,-0.21679688
98,-0.021850586
99,-0.24023438
100,-0.07763672
101,0.08154297
102,0.16992188
103,0.12792969
104,-0.0546875
105,-0.15722656
106,0.080078125
107,0.12060547
108,-0.23535156
109,0.011047363
110,0.20800781
111,-0.0009460449
112,-0.17578125
113,-0.19335938
114,-0.05908203
115,0.014038086
116,0.0028839111
117,-0.0020446777
118,0.36328125
119,0.23925781
120,-0.27734375
121,-0.20605469
122,0.04248047
123,-0.03112793
124,-0.23535156
125,0.052734375
126,0.05493164
127,-0.04711914
128,-0.57421875
129,0.057861328
130,-0.28320312
131,0.029418945
132,-0.12060547
133,-0.22558594
134,0.068359375
135,0.012634277
136,0.029418945
137,-0.1015625
138,0.16601562
139,-0.07861328
140,-0.09033203
141,-0.080078125
142,0.17675781
143,0.15039062
144,0.03564453
145,-0.013061523
146,0.15625
147,0.079589844
148,-0.31445312
149,-0.106933594
150,0.30664062
151,-0.25195312
152,0.25
153,0.026733398
154,0.13183594
155,0.06640625
156,-0.28125
157,0.24511719
158,0.16015625
159,0.2734375
160,-0.095214844
161,-0.07373047
162,-0.140625
163,-0.16699219
164,0.36328125
165,0.040039062
166,-0.080078125
167,0.26171875
168,-0.020507812
169,0.14160156
170,-0.4140625
171,0.08642578
172,0.21679688
173,-0.057861328
174,-0.1796875
175,-0.21679688
176,0.14746094
177,-0.080566406
178,-0.045410156
179,-0.17382812
180,0.14257812
181,-0.16699219
182,-0.043945312
183,-0.118652344
184,0.375
185,0.12890625
186,0.28515625
187,0.012756348
188,-0.019165039
189,0.06225586
190,-0.03125
191,-0.13378906
192,0.003692627
193,-0.071777344
194,-0.09863281
195,0.13378906
196,0.059570312
197,-0.16992188
198,-0.23242188
199,-0.27539062
200,0.024658203
201,-0.06640625
202,-0.032470703
203,0.18554688
204,-0.125
205,-0.0390625
206,0.10107422
207,-0.028686523
208,-0.37109375
209,0.05053711
210,0.125
211,-0.111328125
212,0.053710938
213,0.20996094
214,-0.14648438
215,-0.084472656
216,0.26757812
217,0.087890625
218,0.34765625
219,-0.15234375
220,-0.27148438
221,-0.24609375
222,-0.06347656
223,-0.18554688
224,-0.21582031
225,-0.16699219
226,-0.017700195
227,-0.044433594
228,0.14160156
229,-0.36914062
230,-0.087890625
231,-0.010559082
232,0.08154297
233,-0.004058838
234,0.096191406
235,0.22070312
236,-0.21972656
237,0.0024871826
238,-0.23828125
239,-0.22460938
240,-0.16601562
241,-0.1484375
242,-0.07080078
243,0.06298828
244,-0.032226562
245,0.24902344
246,0.048339844
247,0.018188477
248,0.017333984
249,-0.09033203
250,0.028442383
251,0.13378906
252,0.07714844
253,0.15039062
254,0.03149414
255,0.110839844
256,0.3125
257,0.15429688
258,0.21386719
259,-0.036621094
260,0.18359375
261,0.123046875
262,0.19335938
263,0.13085938
264,0.31445312
265,-0.0703125
266,-0.27539062
267,-0.12109375
268,0.053710938
269,0.05859375
270,-0.02722168
271,-0.06298828
272,-0.045410156
273,-0.10839844
274,0.17871094
275,-0.008483887
276,0.26171875
277,0.16113281
278,-0.12207031
279,0.111816406
280,0.072265625
281,0.33789062
282,-0.030395508
283,0.2421875
284,-0.29492188
285,0.0074157715
286,-0.11035156
287,-0.0028839111
288,-0.103027344
289,-0.045166016
290,-0.14746094
291,-0.008056641
292,-0.27148438
293,-0.07910156
294,-0.1796875
295,0.33007812
296,-0.05419922
297,-0.083496094
298,0.21582031
299,0.011413574
