,Romania
0,0.11376953
1,-0.095214844
2,0.0032043457
3,0.05883789
4,-0.04736328
5,0.12695312
6,-0.01940918
7,-0.036865234
8,-0.10205078
9,0.0625
10,0.017578125
11,-0.123046875
12,0.09472656
13,-0.14746094
14,-0.06933594
15,-0.007171631
16,-0.17871094
17,0.21289062
18,-0.14160156
19,0.022216797
20,0.24804688
21,-0.23339844
22,0.17773438
23,-0.0077819824
24,0.09667969
25,-0.067871094
26,-0.29296875
27,-0.12109375
28,-0.1796875
29,0.29101562
30,-0.20214844
31,-0.23242188
32,-0.012329102
33,-0.16894531
34,0.05126953
35,-0.35351562
36,-0.24609375
37,0.06738281
38,0.18945312
39,-0.25195312
40,0.080566406
41,0.00047683716
42,0.34179688
43,-0.009460449
44,0.053955078
45,0.13671875
46,0.006072998
47,-0.111328125
48,-0.067871094
49,0.18066406
50,-0.15429688
51,0.08691406
52,-0.13671875
53,0.26171875
54,-0.15917969
55,-0.08691406
56,-0.31054688
57,-0.01574707
58,-0.22753906
59,-0.04345703
60,0.029785156
61,-0.13183594
62,-0.080566406
63,-0.15820312
64,0.16503906
65,-0.099609375
66,0.34765625
67,-0.12597656
68,0.07373047
69,-0.030639648
70,-0.27734375
71,0.072753906
72,-0.17773438
73,0.061523438
74,-0.14550781
75,-0.08642578
76,0.31054688
77,-0.045410156
78,0.06738281
79,0.3125
80,-0.1953125
81,-0.26953125
82,-0.016723633
83,-0.171875
84,0.111816406
85,-0.099609375
86,-0.13964844
87,-0.13964844
88,0.0625
89,0.15136719
90,0.09863281
91,-0.16796875
92,-0.3828125
93,0.27929688
94,-0.09033203
95,-0.328125
96,-0.083496094
97,-0.25585938
98,-0.022216797
99,0.0033874512
100,-0.25195312
101,0.10986328
102,-0.17480469
103,0.029052734
104,0.042236328
105,-0.12207031
106,0.034423828
107,0.042236328
108,-0.16015625
109,-0.118652344
110,0.3203125
111,-0.047851562
112,-0.118652344
113,-0.1640625
114,0.004058838
115,0.09716797
116,0.07128906
117,0.09814453
118,0.40234375
119,0.23046875
120,-0.23046875
121,-0.27148438
122,-0.008300781
123,-0.0034637451
124,0.047607422
125,-0.063964844
126,-0.07128906
127,-0.021850586
128,-0.5703125
129,0.09863281
130,-0.21582031
131,0.11279297
132,-0.22363281
133,-0.107421875
134,-0.048339844
135,-0.02746582
136,-0.020874023
137,0.009521484
138,0.1328125
139,-0.07910156
140,0.21679688
141,-0.29492188
142,0.10595703
143,0.3359375
144,0.119628906
145,0.07373047
146,0.0099487305
147,0.16992188
148,-0.16210938
149,-0.11767578
150,0.26757812
151,-0.21386719
152,0.103027344
153,-0.08642578
154,0.22363281
155,-0.045410156
156,-0.29296875
157,0.075683594
158,0.13085938
159,-0.08984375
160,-0.0095825195
161,0.053466797
162,-0.171875
163,-0.22265625
164,0.15917969
165,-0.14550781
166,-0.041992188
167,0.20117188
168,-0.24609375
169,-0.107910156
170,-0.3125
171,0.09765625
172,0.07861328
173,0.035888672
174,0.011413574
175,-0.140625
176,0.19628906
177,-0.13183594
178,0.29296875
179,-0.28125
180,0.095214844
181,-0.15722656
182,-0.16113281
183,-0.09033203
184,0.110839844
185,0.008483887
186,0.13964844
187,0.012268066
188,-0.3046875
189,0.046875
190,-0.16210938
191,-0.26367188
192,-0.08105469
193,0.043945312
194,0.09716797
195,0.3046875
196,0.009399414
197,-0.111816406
198,-0.15332031
199,-0.19238281
200,0.16015625
201,-0.040771484
202,0.05053711
203,0.01550293
204,-0.060058594
205,-0.12158203
206,0.07373047
207,0.056152344
208,-0.20507812
209,-0.018188477
210,0.11816406
211,0.07080078
212,-0.15722656
213,0.20898438
214,-0.14550781
215,0.068847656
216,0.16699219
217,-0.10107422
218,0.27539062
219,-0.057861328
220,-0.14648438
221,-0.087890625
222,-0.20996094
223,-0.13476562
224,-0.13867188
225,-0.02709961
226,0.09423828
227,0.24804688
228,0.32617188
229,-0.13867188
230,-0.048095703
231,0.08203125
232,0.122558594
233,-0.14550781
234,0.08935547
235,0.3046875
236,-0.037353516
237,0.02734375
238,0.05908203
239,-0.076660156
240,-0.07470703
241,0.043701172
242,0.0005569458
243,0.34765625
244,-0.064453125
245,0.25
246,0.028198242
247,0.052734375
248,-0.083496094
249,-0.16601562
250,0.15527344
251,0.115234375
252,0.040039062
253,0.18261719
254,0.0154418945
255,0.31054688
256,0.16992188
257,0.04736328
258,0.26367188
259,-0.034423828
260,0.13183594
261,0.19042969
262,0.22265625
263,0.265625
264,0.3828125
265,-0.106933594
266,-0.3203125
267,-0.0043640137
268,-0.0073547363
269,0.17773438
270,0.007446289
271,0.0079956055
272,0.025756836
273,-0.055419922
274,0.03564453
275,-0.036865234
276,0.16699219
277,0.012145996
278,-0.1640625
279,0.056640625
280,0.033935547
281,0.16210938
282,0.010925293
283,0.095703125
284,-0.20410156
285,0.12207031
286,-0.038085938
287,0.21484375
288,0.027954102
289,0.03930664
290,-0.25195312
291,0.20898438
292,-0.44140625
293,-0.0087890625
294,0.103515625
295,0.24804688
296,-0.14941406
297,-0.020019531
298,0.19140625
299,0.026977539
