,Russia
0,-0.07714844
1,-0.008605957
2,0.122558594
3,0.19238281
4,-0.0390625
5,0.052246094
6,0.13671875
7,-0.23242188
8,-0.119140625
9,0.14257812
10,-0.09277344
11,0.119140625
12,0.0071411133
13,-0.103027344
14,-0.28320312
15,-0.06933594
16,-0.26953125
17,-0.028198242
18,0.16894531
19,-0.27734375
20,0.48046875
21,-0.01940918
22,0.017944336
23,-0.019897461
24,0.16113281
25,0.064453125
26,-0.37109375
27,0.064941406
28,-0.12695312
29,0.265625
30,-0.16894531
31,-0.080566406
32,-0.33984375
33,-0.08203125
34,0.22167969
35,-0.08300781
36,-0.21972656
37,0.18847656
38,0.25585938
39,-0.11279297
40,0.23144531
41,-0.010192871
42,0.27539062
43,0.10839844
44,0.20996094
45,0.10839844
46,0.119140625
47,-0.0115356445
48,-0.048583984
49,0.1796875
50,-0.109375
51,0.13378906
52,-0.111328125
53,0.106933594
54,-0.13085938
55,0.11230469
56,-0.48046875
57,0.088378906
58,-0.03564453
59,-0.16601562
60,0.34570312
61,0.015319824
62,0.17285156
63,-0.056884766
64,0.018676758
65,-0.05834961
66,0.22363281
67,-0.1953125
68,0.05493164
69,-0.004333496
70,-0.1328125
71,0.040039062
72,0.038085938
73,0.03564453
74,-0.22851562
75,-0.28320312
76,0.14550781
77,0.28125
78,-0.06225586
79,0.3046875
80,-0.11621094
81,-0.047607422
82,0.21582031
83,-0.064453125
84,0.10888672
85,-0.07324219
86,-0.052246094
87,0.010681152
88,0.059570312
89,0.3359375
90,-0.03491211
91,-0.12988281
92,-0.11230469
93,0.009338379
94,-0.18164062
95,-0.296875
96,-0.15429688
97,0.051757812
98,0.004425049
99,0.07910156
100,-0.01928711
101,0.12890625
102,-0.05444336
103,0.03491211
104,0.0002861023
105,0.11279297
106,0.19042969
107,0.042236328
108,-0.20117188
109,0.12890625
110,-0.026733398
111,0.104003906
112,0.052001953
113,-0.071777344
114,-0.16113281
115,0.047851562
116,0.095703125
117,0.13476562
118,0.28515625
119,-0.0011978149
120,-0.24316406
121,-0.103515625
122,-0.05102539
123,0.05908203
124,-0.030639648
125,0.061035156
126,0.13867188
127,0.053710938
128,-0.4453125
129,-0.13476562
130,-0.100097656
131,0.203125
132,-0.08251953
133,-0.068847656
134,-0.12695312
135,0.008544922
136,-0.19042969
137,-0.02331543
138,0.008544922
139,-0.076171875
140,0.18261719
141,-0.05859375
142,0.11279297
143,0.2578125
144,0.011657715
145,0.08300781
146,0.079589844
147,0.23339844
148,-0.41210938
149,0.083496094
150,0.42382812
151,-0.034179688
152,0.14550781
153,-0.13964844
154,0.088378906
155,0.13769531
156,-0.17871094
157,0.12451172
158,0.16601562
159,0.18066406
160,-0.25
161,0.12597656
162,0.122558594
163,-0.15625
164,0.41601562
165,-0.08154297
166,-0.07861328
167,0.18847656
168,0.055908203
169,0.41992188
170,-0.40039062
171,0.045166016
172,0.06347656
173,0.032958984
174,0.05883789
175,-0.30859375
176,0.008605957
177,-0.19042969
178,-0.19335938
179,-0.421875
180,0.12109375
181,-0.18261719
182,-0.109375
183,-0.09472656
184,0.22460938
185,0.21191406
186,0.21679688
187,0.20214844
188,0.10498047
189,-0.03540039
190,-0.28125
191,-0.044433594
192,0.063964844
193,0.09082031
194,-0.083496094
195,0.06689453
196,0.04321289
197,-0.19042969
198,0.025390625
199,-0.43164062
200,0.08935547
201,0.014587402
202,0.015991211
203,0.15722656
204,-0.15429688
205,0.052490234
206,-0.06298828
207,-0.3359375
208,-0.22460938
209,-0.009216309
210,-0.109375
211,-0.06298828
212,-0.14160156
213,0.24609375
214,-0.20996094
215,-0.023071289
216,-0.08544922
217,0.18652344
218,0.16015625
219,-0.18359375
220,-0.33398438
221,-0.08105469
222,0.16015625
223,-0.009033203
224,0.022827148
225,-0.19042969
226,0.11376953
227,-0.026367188
228,0.29882812
229,-0.16210938
230,0.0019989014
231,0.047851562
232,0.36132812
233,-0.041015625
234,0.08251953
235,0.15136719
236,-0.30273438
237,-0.11376953
238,0.067871094
239,-0.26171875
240,0.011047363
241,-0.008300781
242,-0.16015625
243,-0.099609375
244,0.075683594
245,0.08544922
246,0.038330078
247,-0.18945312
248,0.07519531
249,0.032470703
250,0.02722168
251,0.00062942505
252,0.21582031
253,0.11816406
254,-0.010375977
255,0.32421875
256,0.296875
257,-0.171875
258,-0.03100586
259,0.04248047
260,0.028808594
261,-0.140625
262,-0.01928711
263,0.12158203
264,0.45703125
265,-0.06201172
266,-0.25390625
267,-0.15039062
268,-0.1015625
269,-0.013183594
270,-0.1640625
271,0.37109375
272,0.0041503906
273,-0.18457031
274,0.12890625
275,0.10546875
276,0.020385742
277,0.23242188
278,0.028930664
279,0.22949219
280,-0.041748047
281,0.09423828
282,-0.028076172
283,-0.11230469
284,-0.15722656
285,-0.22949219
286,-0.10498047
287,0.11816406
288,0.083496094
289,0.14257812
290,-0.014587402
291,0.020385742
292,0.0029144287
293,-0.032714844
294,0.11230469
295,-0.11035156
296,0.0054626465
297,0.12207031
298,0.15917969
299,0.004547119
