,Rwanda
0,0.024536133
1,0.17871094
2,0.19824219
3,-0.0010910034
4,-0.13867188
5,-0.03881836
6,0.2421875
7,-0.22753906
8,-0.20507812
9,-0.24511719
10,0.05029297
11,0.11279297
12,0.078125
13,-0.09423828
14,0.43554688
15,0.26953125
16,-0.10986328
17,0.059326172
18,-0.032226562
19,0.103515625
20,0.15917969
21,-0.0053100586
22,0.18554688
23,-0.21191406
24,0.08984375
25,0.05029297
26,0.06738281
27,-0.14648438
28,0.26953125
29,0.048339844
30,-0.25390625
31,-0.46679688
32,-0.33984375
33,-0.31054688
34,-0.080566406
35,0.11621094
36,-0.26171875
37,0.13085938
38,0.09716797
39,0.008850098
40,-0.047851562
41,0.010803223
42,0.075683594
43,0.087890625
44,0.048095703
45,0.18945312
46,-0.13378906
47,0.07128906
48,0.26953125
49,0.38867188
50,0.13476562
51,-0.54296875
52,-0.44335938
53,-0.17285156
54,-0.24414062
55,-0.03564453
56,-0.46484375
57,0.013427734
58,-0.30078125
59,0.18164062
60,0.17773438
61,0.12890625
62,0.2890625
63,0.07421875
64,-0.012756348
65,-0.13085938
66,0.33789062
67,-0.20800781
68,0.14941406
69,0.13085938
70,-0.1640625
71,-0.025878906
72,0.296875
73,0.0021362305
74,-0.025390625
75,-0.24316406
76,0.19433594
77,0.18652344
78,-0.10498047
79,0.026000977
80,-0.28515625
81,-0.35546875
82,-0.109375
83,-0.053955078
84,0.12792969
85,-0.2734375
86,-0.111816406
87,-0.032470703
88,0.119628906
89,0.08642578
90,-0.24804688
91,0.29101562
92,-0.10449219
93,-0.057128906
94,-0.07324219
95,-0.18359375
96,0.34570312
97,-0.016113281
98,0.068359375
99,-0.20410156
100,-0.0057678223
101,0.063964844
102,0.171875
103,-0.20019531
104,0.032226562
105,0.0070495605
106,-0.20507812
107,-0.11376953
108,-0.106933594
109,0.24414062
110,-0.14160156
111,0.05053711
112,-0.03857422
113,0.035888672
114,0.06933594
115,-0.23339844
116,0.103515625
117,0.0038909912
118,0.20800781
119,0.080566406
120,-0.19921875
121,-0.041992188
122,-0.17382812
123,-0.006713867
124,-0.1875
125,0.34960938
126,-0.36914062
127,0.10498047
128,-0.23828125
129,0.22167969
130,0.056640625
131,0.0859375
132,-0.2890625
133,-0.055419922
134,-0.13574219
135,0.08642578
136,0.109375
137,-0.078125
138,-0.09326172
139,0.103515625
140,-0.05444336
141,-0.106933594
142,0.296875
143,-0.34765625
144,0.13476562
145,0.0039978027
146,-0.03955078
147,0.06298828
148,0.23339844
149,-0.026367188
150,-0.04663086
151,-0.28710938
152,-0.06738281
153,0.14746094
154,0.29492188
155,-0.25976562
156,-0.080078125
157,0.31054688
158,-0.23242188
159,-0.0021972656
160,-0.30078125
161,0.19140625
162,-0.056396484
163,0.053222656
164,0.12695312
165,0.16113281
166,0.15039062
167,0.033447266
168,0.09765625
169,0.19726562
170,-0.171875
171,0.22460938
172,-0.11816406
173,-0.171875
174,-0.2578125
175,-0.110839844
176,0.04711914
177,-0.29492188
178,0.24609375
179,-0.27539062
180,-0.2578125
181,-0.05102539
182,-0.22753906
183,-0.3125
184,-0.041748047
185,-0.061035156
186,0.18945312
187,-0.053955078
188,-0.31054688
189,0.21582031
190,-0.095703125
191,-0.19628906
192,0.061035156
193,-0.11230469
194,0.16699219
195,0.43945312
196,0.012084961
197,-0.24121094
198,-0.029174805
199,-0.060546875
200,0.28125
201,0.20800781
202,0.64453125
203,-0.09863281
204,0.024414062
205,0.008056641
206,0.118652344
207,-0.12695312
208,-0.22167969
209,0.20996094
210,-0.22460938
211,0.043945312
212,-0.026000977
213,0.056152344
214,-0.27539062
215,0.15429688
216,-0.19140625
217,0.096191406
218,0.032958984
219,-0.26171875
220,-0.19042969
221,-0.055664062
222,-0.055908203
223,0.15332031
224,0.052734375
225,-0.095703125
226,0.31835938
227,-0.01586914
228,0.39453125
229,-0.23242188
230,-0.14453125
231,-0.22851562
232,0.017456055
233,0.111328125
234,0.17089844
235,0.049804688
236,-0.076171875
237,0.28320312
238,-0.087890625
239,-0.052734375
240,0.13671875
241,-0.23046875
242,0.078125
243,0.21484375
244,0.37695312
245,0.040771484
246,-0.5
247,-0.1015625
248,-0.15820312
249,-0.26171875
250,0.08544922
251,0.33984375
252,0.12597656
253,0.1015625
254,0.12890625
255,-0.048828125
256,0.28515625
257,0.19140625
258,0.11669922
259,0.095214844
260,-0.053466797
261,0.20507812
262,0.17480469
263,0.16699219
264,0.080078125
265,0.043701172
266,-0.5
267,-0.30078125
268,-0.19238281
269,0.04272461
270,0.05053711
271,0.11035156
272,0.07080078
273,0.15722656
274,0.22070312
275,-0.1484375
276,0.3125
277,0.08691406
278,0.21386719
279,-0.3203125
280,-0.16992188
281,-0.4375
282,0.14355469
283,0.002105713
284,-0.007385254
285,0.061523438
286,-0.25390625
287,-0.110839844
288,0.047607422
289,-0.00793457
290,-0.13378906
291,0.33789062
292,-0.13867188
293,-0.08203125
294,-0.19140625
295,0.06738281
296,-0.14550781
297,-0.19824219
298,0.032714844
299,0.3125
