,Serbia
0,0.118652344
1,-0.06347656
2,0.28125
3,-0.011657715
4,-0.21191406
5,-0.21582031
6,-0.036621094
7,-0.34179688
8,-0.048828125
9,0.040527344
10,-0.1328125
11,0.18457031
12,0.20800781
13,-0.037597656
14,-0.07080078
15,0.057617188
16,-0.26171875
17,-0.19726562
18,0.13574219
19,-0.08935547
20,0.36914062
21,-0.026123047
22,0.22949219
23,0.0099487305
24,0.009460449
25,0.13574219
26,-0.17285156
27,-0.05126953
28,0.17382812
29,0.12792969
30,-0.021240234
31,-0.15625
32,-0.12207031
33,-0.21289062
34,0.019165039
35,0.0029449463
36,-0.31054688
37,0.28320312
38,0.059326172
39,-0.140625
40,0.24121094
41,0.16015625
42,0.31054688
43,-0.12402344
44,0.06933594
45,0.07080078
46,0.17089844
47,-0.04248047
48,0.02722168
49,0.42578125
50,-0.15234375
51,-0.10888672
52,-0.18554688
53,0.099121094
54,-0.40429688
55,0.021606445
56,-0.51171875
57,-0.19140625
58,-0.29296875
59,0.08496094
60,0.100097656
61,0.13867188
62,-0.009155273
63,-0.13867188
64,-0.11621094
65,0.13378906
66,0.5
67,-0.35742188
68,0.06982422
69,-0.23730469
70,-0.22363281
71,-0.107910156
72,0.16992188
73,-0.26953125
74,-0.22460938
75,-0.3984375
76,0.32421875
77,0.060546875
78,0.10205078
79,0.26757812
80,-0.30078125
81,-0.3359375
82,-0.04736328
83,-0.20800781
84,0.20605469
85,-0.2578125
86,-0.1015625
87,-0.07421875
88,0.23828125
89,0.041015625
90,-0.20214844
91,-0.27539062
92,-0.25
93,0.1484375
94,-0.140625
95,-0.20605469
96,-0.26171875
97,0.012329102
98,-0.08886719
99,-0.00020313263
100,-0.22070312
101,0.296875
102,0.23828125
103,-0.009094238
104,0.087890625
105,0.07421875
106,0.014587402
107,-0.04296875
108,-0.37695312
109,-0.123535156
110,0.3359375
111,0.044189453
112,-0.075683594
113,-0.08642578
114,0.11621094
115,0.12109375
116,0.17480469
117,0.11621094
118,0.24414062
119,0.10644531
120,-0.140625
121,0.048095703
122,-0.328125
123,-0.203125
124,0.02331543
125,-0.044433594
126,-0.09716797
127,0.08154297
128,-0.69140625
129,-0.041503906
130,0.060791016
131,0.26367188
132,-0.110839844
133,-0.087402344
134,-0.21484375
135,-0.23144531
136,-0.28710938
137,0.12988281
138,0.17578125
139,-0.27929688
140,0.16699219
141,-0.24902344
142,0.24902344
143,0.18164062
144,0.079589844
145,0.203125
146,0.21191406
147,0.31445312
148,0.064941406
149,0.091308594
150,0.43945312
151,0.052001953
152,-0.068847656
153,-0.15429688
154,0.25390625
155,0.004760742
156,-0.25
157,-0.12011719
158,0.1484375
159,0.21582031
160,-0.12792969
161,0.16210938
162,0.00063323975
163,0.03100586
164,0.22460938
165,-0.12695312
166,0.025390625
167,0.2109375
168,-0.022949219
169,0.119140625
170,-0.17871094
171,-0.03515625
172,-0.12890625
173,0.359375
174,-0.03491211
175,-0.35742188
176,0.052001953
177,-0.052246094
178,0.08886719
179,-0.20507812
180,0.08105469
181,-0.2265625
182,-0.012817383
183,0.051513672
184,-0.1796875
185,0.020019531
186,-0.17675781
187,0.20410156
188,-0.09667969
189,0.12207031
190,-0.09326172
191,-0.01977539
192,0.08251953
193,0.021362305
194,0.15917969
195,0.014282227
196,-0.061035156
197,-0.12890625
198,-0.17773438
199,-0.33789062
200,-0.09033203
201,-0.010375977
202,-0.23730469
203,-0.040771484
204,-0.052734375
205,-0.37695312
206,0.15722656
207,-0.48046875
208,-0.06591797
209,0.05102539
210,-0.30664062
211,-0.020751953
212,-0.18652344
213,0.43359375
214,-0.19335938
215,-0.11376953
216,0.031982422
217,-0.028442383
218,0.17480469
219,-0.39257812
220,-0.28125
221,-0.31054688
222,-0.012207031
223,-0.20800781
224,-0.11376953
225,0.08984375
226,0.16894531
227,0.20117188
228,0.4296875
229,-0.21289062
230,-0.05810547
231,0.16894531
232,0.099121094
233,0.032470703
234,0.11816406
235,0.32617188
236,-0.19824219
237,0.18847656
238,0.061279297
239,-0.035888672
240,0.103515625
241,-0.064453125
242,0.05908203
243,0.24609375
244,0.08642578
245,0.075683594
246,-0.17382812
247,0.2578125
248,0.13671875
249,-0.1953125
250,0.4609375
251,0.39648438
252,0.24316406
253,0.31445312
254,0.092285156
255,0.42578125
256,0.43359375
257,-0.083496094
258,0.091796875
259,0.04345703
260,0.34179688
261,0.037841797
262,0.15625
263,0.13769531
264,0.34960938
265,0.21191406
266,-0.13476562
267,-0.12890625
268,-0.26757812
269,-0.099121094
270,0.072265625
271,0.0390625
272,0.28515625
273,0.021606445
274,0.100097656
275,-0.049072266
276,0.21777344
277,0.06689453
278,-0.06738281
279,0.018432617
280,-0.14941406
281,0.18652344
282,0.09326172
283,-0.083496094
284,-0.37695312
285,-0.0546875
286,-0.014099121
287,0.12695312
288,-0.010620117
289,0.013183594
290,-0.17578125
291,0.43164062
292,-0.2890625
293,0.0048828125
294,0.05053711
295,0.40429688
296,-0.22460938
297,0.059570312
298,0.30859375
299,0.15429688
